Date,Open,High,Low,Close,Volume
2000-03-31,400,400.0,400.0,400,27000
2000-04-30,375,375.0,358.0,358,41900
2000-05-31,375,375.0,370.0,370,150040
2000-06-30,370,370.0,325.0,325,3140
2000-07-31,325,325.0,300.0,300,11020
2000-08-31,299,300.0,280.0,280,4420
2000-09-30,280,280.0,280.0,280,2740
2000-10-31,280,280.0,275.0,275,4540
2000-11-30,275,275.0,275.0,275,3220
2000-12-31,275,296.0,270.0,270,57560
2001-01-31,270,271.0,265.0,265,5300
2001-02-28,265,265.0,250.0,250,4420
2001-03-31,250,250.0,250.0,250,400
2001-04-30,250,250.0,250.0,250,1140
2001-05-31,250,250.0,243.0,243,6280
2001-07-31,240,240.0,225.0,240,3260
2001-08-31,225,225.0,205.0,205,10980
2001-09-30,200,200.0,200.0,200,3640
2001-10-31,199,199.0,199.0,199,200
2001-12-31,195,195.0,193.0,193,1000
2002-01-31,180,180.0,175.0,175,2520
2002-03-31,175,175.0,175.0,175,20
2002-06-30,162,162.0,162.0,162,2000
2002-07-31,145,145.0,125.0,125,4120
2002-08-31,116,116.0,116.0,116,2080
2002-09-30,116,116.0,115.0,115,2320
2002-11-30,115,115.0,115.0,115,460
2002-12-31,115,115.0,107.0,107,2260
2003-01-31,106,106.0,100.0,100,2240
2003-03-31,100,100.0,100.0,100,4240
2003-05-31,100,100.0,100.0,100,200
2003-07-31,93,93.0,93.0,93,4180
2003-08-31,93,93.0,90.0,90,8000
2003-09-30,90,90.0,90.0,90,1680
2003-10-31,90,90.0,89.0,89,1240
2003-11-30,89,89.0,89.0,89,2240
2004-01-31,83,85.0,83.0,85,13460
2004-02-29,85,85.0,85.0,85,240
2004-03-31,85,85.0,85.0,85,2160
2004-04-30,85,85.0,85.0,85,1960
2004-05-31,86,86.0,86.0,86,640
2004-07-31,85,85.0,85.0,85,1040
2004-08-31,90,91.0,90.0,91,1280
2004-09-30,93,93.0,93.0,93,11680
2004-10-31,93,93.0,93.0,93,3200
2004-11-30,93,93.0,93.0,93,3540
2004-12-31,93,93.0,93.0,93,180
2005-01-31,93,93.0,93.0,93,120
2005-02-28,93,93.0,93.0,93,4880
2005-03-31,93,93.0,93.0,93,720
2005-04-30,93,93.0,93.0,93,340
2005-05-31,93,93.0,93.0,93,1040
2005-06-30,93,93.0,85.0,85,16380
2005-07-31,85,85.0,85.0,85,11840
2005-08-31,100,100.0,100.0,100,2640
2005-09-30,100,110.0,100.0,110,3620
2005-10-31,119,119.0,110.0,110,2760
2005-12-31,110,110.0,110.0,110,3320
2006-01-31,110,110.0,110.0,110,260
2006-02-28,110,111.0,110.0,111,3060
2006-03-31,111,111.0,111.0,111,1080
2006-04-30,103,103.0,103.0,103,420
2006-05-31,110,110.0,110.0,110,1160
2006-07-31,100,100.0,100.0,100,4420
2006-08-31,100,100.0,100.0,100,4060
2006-09-30,100,100.0,100.0,100,400
2006-10-31,100,100.0,100.0,100,620
2006-11-30,100,100.0,100.0,100,680
2007-01-31,100,100.0,100.0,100,680
2007-03-31,100,100.0,100.0,100,300
2007-04-30,100,100.0,100.0,100,200
2007-05-31,100,100.0,100.0,100,60
2007-06-30,100,100.0,100.0,100,11680
2007-07-31,100,115.0,100.0,115,5980
2007-08-31,108,118.0,108.0,118,1160
2007-09-30,118,213.0,118.0,213,5740
2007-10-31,245,305.0,245.0,290,10880
2007-11-30,315,315.0,270.0,270,7520
2007-12-31,263,263.0,250.0,250,4720
2008-01-31,231,231.0,214.0,230,4380
2008-02-29,215,225.0,210.0,225,2860
2008-03-31,225,230.0,210.0,230,16600
2008-04-30,230,230.0,210.0,230,7380
2008-05-31,235,250.0,235.0,248,18260
2008-06-30,266,291.0,266.0,291,5049420
2008-07-31,310,401.0,310.0,401,14620
2008-08-31,430,818.0,428.0,818,36440
2008-09-30,879,1250.0,847.0,847,33860
2008-10-31,750,750.0,337.0,337,12120
2008-11-30,289,289.0,285.0,285,18760
2008-12-31,285,285.0,285.0,285,520
2009-01-31,285,285.0,285.0,285,40
2009-02-28,285,285.0,285.0,285,1640
2009-03-31,275,275.0,260.0,260,1360
2009-04-30,260,260.0,260.0,260,740
2009-05-31,241,241.0,223.0,223,1060
2009-06-30,223,223.0,222.0,222,820
2009-07-31,222,222.0,222.0,222,8900
2009-08-31,222,223.0,222.0,223,1120
2009-09-30,223,223.0,223.0,223,3440
2009-10-31,223,223.0,220.0,223,1340
2009-11-30,223,223.0,222.0,222,1100
2009-12-31,222,222.0,222.0,222,1180
2010-01-31,222,222.0,222.0,222,2320
2010-02-28,222,222.0,222.0,222,400
2010-03-31,222,222.0,196.0,196,3680
2010-04-30,196,196.0,170.0,170,3580
2010-05-31,170,175.0,170.0,175,5740
2010-06-30,170,211.0,170.0,200,3880
2010-07-31,200,200.0,200.0,200,1600
2010-08-31,195,210.0,195.0,210,4540
2010-09-30,210,215.0,200.0,210,3500
2010-10-31,210,225.0,210.0,225,680
2010-11-30,225,225.0,225.0,225,1420
2010-12-31,225,225.0,225.0,225,880
2011-01-31,225,225.0,210.0,210,3220
2011-03-31,200,200.0,200.0,200,220
2011-05-31,198,198.0,169.0,169,1260
2011-06-30,168,168.0,155.0,155,2420
2011-07-31,155,155.0,155.0,155,120
2011-08-31,179,193.0,179.0,193,8180
2011-09-30,195,200.0,195.0,200,1960
2011-10-31,200,225.0,200.0,225,4020
2011-11-30,225,323.0,225.0,323,32140
2011-12-31,323,372.0,300.0,372,8200
2012-01-31,430,430.0,372.0,400,1051360
2012-02-29,398,475.0,398.0,450,8840
2012-03-31,450,450.0,445.0,445,11980
2012-04-30,445,445.0,375.0,375,26400
2012-05-31,375,375.0,324.0,324,4320
2012-06-30,320,320.0,298.0,298,2940
2012-07-31,315,325.0,278.0,278,11080
2012-08-31,278,350.0,278.0,350,19820
2012-09-30,350,376.0,350.0,350,13020
2012-10-31,350,635.0,350.0,635,56120
2012-11-30,588,588.0,450.0,450,13540
2012-12-31,416,475.0,385.0,475,8480
2013-01-31,475,475.0,418.0,418,10800
2013-02-28,449,449.0,415.0,425,18140
2013-03-31,450,520.0,450.0,520,12440
2013-04-30,520,591.0,520.0,591,8540
2013-05-31,625,983.0,625.0,983,41480
2013-06-30,983,994.0,601.0,994,18780
