Date,Open,High,Low,Close,Volume
2000-03-31,400,400,400,400,27000
2000-06-30,375,375,325,325,195080
2000-09-30,325,325,280,280,18180
2000-12-31,280,296,270,270,65320
2001-03-31,270,271,250,250,10120
2001-06-30,250,250,243,243,7420
2001-09-30,240,240,200,200,17880
2001-12-31,199,199,193,193,1200
2002-03-31,180,180,175,175,2540
2002-06-30,162,162,162,162,2000
2002-09-30,145,145,115,115,8520
2002-12-31,115,115,107,107,2720
2003-03-31,106,106,100,100,6480
2003-06-30,100,100,100,100,200
2003-09-30,93,93,90,90,13860
2003-12-31,90,90,89,89,3480
2004-03-31,83,85,83,85,15860
2004-06-30,85,86,85,86,2600
2004-09-30,85,93,85,93,14000
2004-12-31,93,93,93,93,6920
2005-03-31,93,93,93,93,5720
2005-06-30,93,93,85,85,17760
2005-09-30,85,110,85,110,18100
2005-12-31,119,119,110,110,6080
2006-03-31,110,111,110,111,4400
2006-06-30,103,110,103,110,1580
2006-09-30,100,100,100,100,8880
2006-12-31,100,100,100,100,1300
2007-03-31,100,100,100,100,980
2007-06-30,100,100,100,100,11940
2007-09-30,100,213,100,213,12880
2007-12-31,245,315,245,250,23120
2008-03-31,231,231,210,230,23840
2008-06-30,230,291,210,291,5075060
2008-09-30,310,1250,310,847,84920
2008-12-31,750,750,285,285,31400
2009-03-31,285,285,260,260,3040
2009-06-30,260,260,222,222,2620
2009-09-30,222,223,222,223,13460
2009-12-31,223,223,220,222,3620
2010-03-31,222,222,196,196,6400
2010-06-30,196,211,170,200,13200
2010-09-30,200,215,195,210,9640
2010-12-31,210,225,210,225,2980
2011-03-31,225,225,200,200,3440
2011-06-30,198,198,155,155,3680
2011-09-30,155,200,155,200,10260
2011-12-31,200,372,200,372,44360
2012-03-31,430,475,372,445,1072180
2012-06-30,445,445,298,298,33660
2012-09-30,315,376,278,350,43920
2012-12-31,350,635,350,475,78140
2013-03-31,475,520,415,520,41380
2013-06-30,520,994,520,994,68800
2013-09-30,919,1050,750,950,71980
2013-12-31,969,1290,925,1151,127480
2014-03-31,1150,1416,1117,1150,51760
2014-06-30,1150,1263,1065,1150,47240
2014-09-30,1150,1613,1150,1613,76220
2014-12-31,1613,2000,1350,1945,175240
2015-03-31,1925,2982,1800,2950,196920
2015-06-30,2895,3871,2401,3750,127080
2015-09-30,3700,4250,3550,4000,137040
2015-12-31,4000,4300,3700,4250,805380
2016-03-31,4200,4250,3750,4125,164920
2016-06-30,4200,8300,4075,8000,685060
2016-09-30,7950,9317,7000,7680,166707
2016-12-31,7105,7105,4800,5375,71667
2017-03-31,5300,5395,3010,3300,62291
2017-06-30,3500,3500,1850,2600,61488
2017-09-30,2645,3000,1575,1900,69507
2017-12-31,1900,2120,1040,2000,77925
2018-03-31,2000,2005,1405,1745,34617
2018-06-30,1745,2000,1300,1500,22705
2018-09-30,1500,1720,1100,1150,21391
2018-12-31,1100,1235,870,1200,39236
2019-03-31,1200,1710,1005,1670,102699
2019-06-30,1600,1825,1220,1235,33206
2019-09-30,1225,1225,1005,1060,28252
2019-12-31,1060,1300,1050,1250,29194
2020-03-31,1250,1570,900,950,78665
2020-06-30,1000,1110,940,1100,33620
2020-09-30,1090,1375,745,850,104253
2020-12-31,850,1300,695,1240,151085
2021-03-31,1150,1150,875,905,38376
2021-06-30,970,1180,885,1070,59591
2021-09-30,1070,1820,1035,1820,70387
2021-12-31,1820,2045,1655,1750,87506
2022-03-31,1750,1880,1390,1810,73718
2022-06-30,1810,1940,1465,1590,33189
2022-09-30,1570,1685,1470,1600,26357
2022-12-31,1600,1625,1295,1295,19615
2023-03-31,1300,1460,1140,1280,69016
2023-06-30,1280,1475,1140,1465,35371
2023-09-30,1465,1470,1200,1250,45047
2023-12-31,1250,1375,1080,1330,38879
2024-03-31,1330,1420,1200,1280,32952
2024-06-30,1260,2140,1205,2000,158544
2024-09-30,2005,2900,1980,2300,120443
2024-12-31,2300,2300,1760,1900,80826
2025-03-31,1900,1910,1690,1795,84357
2025-06-30,1790,2090,1490,1720,151185
2025-09-30,1725,1840,1600,1825,105466
2025-12-31,1825,3245,1785,2900,222575
2026-03-31,2900,3800,2605,3700,240706
2026-06-30,3695,3920,2805,3280,189450
2026-09-30,3300,3995,2795,3900,155752
