Date,Open,High,Low,Close,Volume
2000-04-03,400,400.0,375.0,375,29500
2000-04-10,375,375.0,375.0,375,25920
2000-04-17,375,375.0,375.0,375,7800
2000-04-24,375,375.0,375.0,375,4280
2000-05-01,358,358.0,358.0,358,1400
2000-05-08,375,375.0,375.0,375,7400
2000-05-15,375,375.0,370.0,370,1700
2000-05-22,370,370.0,370.0,370,139640
2000-05-29,370,370.0,370.0,370,1180
2000-06-05,370,370.0,370.0,370,440
2000-06-12,370,370.0,370.0,370,660
2000-06-26,325,325.0,325.0,325,1740
2000-07-03,325,325.0,325.0,325,420
2000-07-10,325,325.0,325.0,325,700
2000-07-17,310,310.0,310.0,310,2800
2000-07-24,300,300.0,300.0,300,280
2000-07-31,300,300.0,300.0,300,7240
2000-08-14,299,299.0,299.0,299,2080
2000-08-21,300,300.0,300.0,300,160
2000-08-28,280,280.0,280.0,280,2180
2000-09-11,280,280.0,280.0,280,2000
2000-09-18,280,280.0,280.0,280,400
2000-09-25,280,280.0,280.0,280,240
2000-10-02,280,280.0,280.0,280,220
2000-10-09,280,280.0,280.0,280,2460
2000-10-16,280,280.0,280.0,280,740
2000-10-23,280,280.0,275.0,275,1220
2000-11-06,275,275.0,275.0,275,1440
2000-11-13,275,275.0,275.0,275,160
2000-11-20,275,275.0,275.0,275,460
2000-11-27,275,275.0,275.0,275,1160
2000-12-04,275,275.0,275.0,275,20
2000-12-11,296,296.0,296.0,296,54740
2000-12-18,296,296.0,275.0,275,840
2000-12-25,275,275.0,270.0,270,1760
2001-01-01,270,270.0,270.0,270,200
2001-01-08,270,270.0,270.0,270,460
2001-01-15,270,270.0,270.0,270,120
2001-01-22,271,271.0,271.0,271,1960
2001-01-29,271,271.0,270.0,270,1800
2001-02-05,265,265.0,265.0,265,2960
2001-02-12,255,255.0,255.0,255,600
2001-02-19,250,250.0,250.0,250,460
2001-02-26,250,250.0,250.0,250,1360
2001-03-05,250,250.0,250.0,250,400
2001-04-09,250,250.0,250.0,250,1020
2001-04-16,250,250.0,250.0,250,120
2001-05-14,250,250.0,250.0,250,3320
2001-05-21,250,250.0,245.0,245,1700
2001-05-28,245,245.0,245.0,245,960
2001-06-04,243,243.0,243.0,243,300
2001-07-23,240,240.0,225.0,240,3260
2001-08-13,225,225.0,225.0,225,1060
2001-08-20,225,225.0,225.0,225,1200
2001-08-27,210,210.0,205.0,205,6720
2001-09-03,205,205.0,205.0,205,2000
2001-09-10,200,200.0,200.0,200,860
2001-09-17,200,200.0,200.0,200,60
2001-09-24,200,200.0,200.0,200,2720
2001-10-15,199,199.0,199.0,199,200
2001-12-17,195,195.0,193.0,193,1000
2002-01-07,180,180.0,180.0,180,1200
2002-01-14,175,175.0,175.0,175,1320
2002-03-11,175,175.0,175.0,175,20
2002-06-10,162,162.0,162.0,162,2000
2002-07-15,145,145.0,145.0,145,1960
2002-08-05,125,125.0,116.0,116,3740
2002-08-19,116,116.0,116.0,116,500
2002-09-16,116,116.0,116.0,116,600
2002-09-23,115,115.0,115.0,115,1360
2002-09-30,115,115.0,115.0,115,360
2002-11-18,115,115.0,115.0,115,460
2002-12-16,115,115.0,115.0,115,260
2002-12-30,107,107.0,107.0,107,2000
2003-01-27,106,106.0,100.0,100,700
2003-02-03,100,100.0,100.0,100,1540
2003-03-24,100,100.0,100.0,100,4240
2003-05-19,100,100.0,100.0,100,200
2003-07-21,93,93.0,93.0,93,400
2003-08-04,93,93.0,90.0,90,5200
2003-08-11,90,90.0,90.0,90,4060
2003-08-18,90,90.0,90.0,90,400
2003-08-25,90,90.0,90.0,90,1300
2003-09-01,90,90.0,90.0,90,820
2003-09-08,90,90.0,90.0,90,280
2003-09-15,90,90.0,90.0,90,200
2003-09-22,90,90.0,90.0,90,720
2003-09-29,90,90.0,90.0,90,480
2003-10-13,90,90.0,90.0,90,240
2003-10-20,89,89.0,89.0,89,400
2003-10-27,89,89.0,89.0,89,600
2003-11-17,89,89.0,89.0,89,2240
2004-01-19,83,85.0,83.0,85,13340
2004-02-02,85,85.0,85.0,85,120
2004-02-23,85,85.0,85.0,85,240
2004-03-15,85,85.0,85.0,85,2160
2004-04-05,85,85.0,85.0,85,160
2004-05-03,85,85.0,85.0,85,1800
2004-05-17,86,86.0,86.0,86,200
2004-05-24,86,86.0,86.0,86,240
2004-05-31,86,86.0,86.0,86,200
2004-07-12,85,85.0,85.0,85,180
2004-07-26,85,85.0,85.0,85,380
2004-08-02,85,85.0,85.0,85,480
2004-08-09,90,90.0,90.0,90,200
2004-08-16,90,91.0,90.0,91,320
2004-08-23,91,91.0,91.0,91,640
2004-08-30,91,91.0,91.0,91,120
2004-09-13,93,93.0,93.0,93,11540
2004-10-04,93,93.0,93.0,93,140
2004-10-18,93,93.0,93.0,93,3200
2004-11-08,93,93.0,93.0,93,3200
2004-11-29,93,93.0,93.0,93,340
2004-12-06,93,93.0,93.0,93,20
2005-01-03,93,93.0,93.0,93,160
2005-01-31,93,93.0,93.0,93,120
2005-02-07,93,93.0,93.0,93,680
2005-02-14,93,93.0,93.0,93,3300
2005-02-28,93,93.0,93.0,93,900
2005-03-21,93,93.0,93.0,93,720
2005-04-11,93,93.0,93.0,93,180
2005-05-02,93,93.0,93.0,93,160
2005-05-23,93,93.0,93.0,93,1040
2005-06-06,93,93.0,93.0,93,480
2005-06-13,93,93.0,93.0,93,1660
2005-06-20,93,93.0,93.0,93,20
2005-07-04,85,85.0,85.0,85,25220
2005-07-11,85,85.0,85.0,85,640
2005-08-01,85,85.0,85.0,85,200
2005-08-08,100,100.0,100.0,100,1240
2005-08-15,100,100.0,100.0,100,400
2005-09-05,100,100.0,100.0,100,1000
2005-09-26,100,100.0,100.0,100,2500
2005-10-03,105,110.0,105.0,110,1120
2005-10-10,119,119.0,119.0,119,240
2005-10-24,110,110.0,110.0,110,2340
2005-10-31,110,110.0,110.0,110,180
2005-12-12,110,110.0,110.0,110,2560
2005-12-19,110,110.0,110.0,110,760
2006-01-09,110,110.0,110.0,110,240
2006-01-16,110,110.0,110.0,110,20
2006-02-13,110,110.0,110.0,110,640
2006-02-20,111,111.0,111.0,111,1140
2006-02-27,111,111.0,111.0,111,960
2006-03-06,111,111.0,111.0,111,320
2006-03-13,111,111.0,111.0,111,160
2006-03-20,111,111.0,111.0,111,640
2006-03-27,111,111.0,111.0,111,280
2006-04-24,103,103.0,103.0,103,420
2006-05-15,110,110.0,110.0,110,640
2006-05-29,110,110.0,110.0,110,520
2006-07-10,100,100.0,100.0,100,2100
2006-07-17,100,100.0,100.0,100,2320
2006-08-07,100,100.0,100.0,100,760
2006-08-14,100,100.0,100.0,100,360
2006-08-28,100,100.0,100.0,100,640
2006-09-04,100,100.0,100.0,100,2300
2006-09-11,100,100.0,100.0,100,60
2006-09-18,100,100.0,100.0,100,340
2006-10-09,100,100.0,100.0,100,420
2006-10-30,100,100.0,100.0,100,200
2006-11-13,100,100.0,100.0,100,400
2006-11-27,100,100.0,100.0,100,220
2006-12-04,100,100.0,100.0,100,60
2007-01-15,100,100.0,100.0,100,680
2007-03-26,100,100.0,100.0,100,300
2007-04-30,100,100.0,100.0,100,200
2007-05-14,100,100.0,100.0,100,60
2007-06-11,100,100.0,100.0,100,120
2007-06-18,100,100.0,100.0,100,2920
2007-06-25,100,100.0,100.0,100,4640
2007-07-02,100,100.0,100.0,100,4000
2007-07-09,100,100.0,100.0,100,3040
2007-07-16,105,105.0,105.0,105,1460
2007-07-23,113,113.0,113.0,113,880
2007-07-30,115,115.0,115.0,115,180
2007-08-06,115,115.0,108.0,108,880
2007-08-27,110,110.0,110.0,110,200
2007-09-03,118,118.0,118.0,118,2560
2007-09-10,125,128.0,125.0,128,1760
2007-09-17,135,138.0,135.0,138,460
2007-09-24,171,198.0,171.0,198,600
2007-10-01,213,245.0,213.0,245,2080
2007-10-08,260,275.0,260.0,275,460
2007-10-15,290,290.0,290.0,290,440
2007-10-22,300,305.0,300.0,305,6760
2007-10-29,290,290.0,290.0,290,2000
2007-11-05,315,315.0,315.0,315,360
2007-11-12,315,315.0,315.0,315,2460
2007-11-26,292,292.0,270.0,270,4600
2007-12-03,270,270.0,263.0,263,1480
2007-12-10,250,250.0,250.0,250,3320
2007-12-17,250,250.0,250.0,250,20
2008-01-07,231,231.0,231.0,231,1860
2008-01-14,231,231.0,231.0,231,40
2008-01-21,214,214.0,214.0,214,1340
2008-01-28,230,230.0,230.0,230,940
2008-02-04,230,230.0,230.0,230,200
2008-02-18,215,215.0,215.0,215,800
2008-02-25,210,210.0,210.0,210,1080
2008-03-03,225,225.0,225.0,225,1500
2008-03-10,225,225.0,210.0,210,2000
2008-03-17,210,213.0,210.0,213,4320
2008-03-24,225,225.0,225.0,225,6880
2008-03-31,225,230.0,225.0,230,2880
2008-04-07,230,230.0,215.0,215,4200
2008-04-14,215,215.0,210.0,210,2640
2008-04-28,225,230.0,225.0,230,540
2008-05-12,235,250.0,235.0,250,1440
2008-05-19,250,250.0,250.0,250,16060
