Date,Open,High,Low,Close,Volume
2000-12-31,400,400,270,270,305580
2001-12-31,270,271,193,193,36620
2002-12-31,180,180,107,107,15780
2003-12-31,106,106,89,89,24020
2004-12-31,83,93,83,93,39380
2005-12-31,93,119,85,110,47660
2006-12-31,110,111,100,100,16160
2007-12-31,100,315,100,250,48920
2008-12-31,231,1250,210,285,5215220
2009-12-31,285,285,220,222,22740
2010-12-31,222,225,170,225,32220
2011-12-31,225,372,155,372,61740
2012-12-31,430,635,278,475,1227900
2013-12-31,475,1290,415,1151,309640
2014-12-31,1150,2000,1065,1945,350460
2015-12-31,1925,4300,1800,4250,1266420
2016-12-31,4200,9317,3750,5375,1088354
2017-12-31,5300,5395,1040,2000,271211
2018-12-31,2000,2005,870,1200,117949
2019-12-31,1200,1825,1005,1250,193351
2020-12-31,1250,1570,695,1240,367623
2021-12-31,1150,2045,875,1750,255860
2022-12-31,1750,1940,1295,1295,152879
2023-12-31,1300,1475,1080,1330,188313
2024-12-31,1330,2900,1200,1900,392765
2025-12-31,1900,3245,1490,2900,563583
2026-12-31,2900,3920,2605,3845,566837
