Date,Open,High,Low,Close,Volume
2025-04-30,5600,5640,5255,5495,10910
2025-05-31,5300,5600,5200,5350,88984
2025-06-30,5350,6155,5040,5340,51969
2025-07-31,5050,5500,4910,5300,60019
2025-08-31,5300,5300,4860,5215,26991
2025-09-30,5195,5305,4900,5245,45491
2025-10-31,5210,5300,4990,5250,98499
2025-11-30,5110,5295,4900,5000,140390
2025-12-31,4960,5170,4850,4975,80323
2026-01-31,4975,5050,4805,4900,44275
2026-02-28,4905,5295,4900,5195,58754
2026-03-31,5195,5300,5000,5100,56196
2026-04-30,5100,5500,5075,5310,48068
2026-05-31,5305,5310,5005,5250,38823
2026-06-30,5250,6000,5200,5865,511336
2026-07-31,5865,8185,5750,7585,181395
2026-08-31,7600,8990,7380,8900,406217
2026-09-30,8900,10865,8850,10400,29156
