Date,Open,High,Low,Close,Volume
2025-04-28,5600,5640,5595,5600,4977
2025-05-05,5600,5635,5255,5350,18306
2025-05-12,5500,5600,5205,5450,30253
2025-05-19,5400,5450,5310,5395,12766
2025-05-26,5375,5375,5200,5300,29102
2025-06-02,5225,5375,5225,5350,5779
2025-06-09,5350,5350,5255,5350,4044
2025-06-16,5300,6155,5260,5600,16836
2025-06-23,5650,5650,5365,5595,10929
2025-06-30,5595,5600,5040,5340,18871
2025-07-07,5050,5295,5010,5200,13772
2025-07-14,5200,5350,4910,5290,27556
2025-07-21,5270,5290,5100,5270,11024
2025-07-28,5255,5500,5250,5300,5570
2025-08-04,5300,5360,5250,5250,2497
2025-08-11,5250,5300,4860,5250,13482
2025-08-18,5240,5250,5050,5230,3655
2025-08-25,5230,5240,5125,5200,4026
2025-09-01,5165,5220,5095,5215,6610
2025-09-08,5200,5305,5090,5300,8880
2025-09-15,5195,5300,4900,5290,7638
2025-09-22,5105,5200,5010,5050,13070
2025-09-29,5055,5255,5020,5250,14207
2025-10-06,5250,5250,5000,5095,17165
2025-10-13,5095,5195,4990,5195,27835
2025-10-20,5195,5250,5000,5250,8970
2025-10-27,5150,5300,5000,5260,25709
2025-11-03,5260,5300,5100,5200,20701
2025-11-10,5100,5295,5000,5245,68831
2025-11-17,5100,5220,4900,5200,43815
2025-11-24,5200,5200,4905,4970,19002
2025-12-01,4975,5055,4905,5000,8905
2025-12-08,5000,5170,4955,5050,17376
2025-12-15,5000,5000,4850,4850,12524
2025-12-22,4885,4995,4850,4965,11455
2025-12-29,4965,5000,4900,4995,31072
2026-01-05,4995,4995,4900,4910,8263
2026-01-12,4950,4985,4900,4940,5486
2026-01-19,4910,4950,4890,4940,4487
2026-01-26,4950,5000,4900,4990,6911
2026-02-02,4905,5050,4805,4995,26564
2026-02-09,4980,4995,4900,4950,3647
2026-02-16,4950,5000,4940,4995,23929
2026-02-23,5000,5295,4955,5100,20804
2026-03-02,5100,5255,5100,5200,11273
2026-03-09,5250,5300,5195,5245,23928
2026-03-16,5250,5250,5100,5220,11996
2026-03-23,5200,5250,5050,5185,8306
2026-03-30,5185,5190,5000,5090,9212
2026-04-06,5100,5200,5075,5175,3649
2026-04-13,5105,5180,5090,5120,9867
2026-04-20,5115,5190,5100,5110,15772
2026-04-27,5110,5250,5085,5205,13535
2026-05-04,5215,5500,5205,5305,8235
2026-05-11,5260,5305,5120,5170,10000
2026-05-18,5200,5225,5100,5105,8408
2026-05-25,5005,5230,5005,5225,10143
2026-06-01,5200,5275,5180,5250,10824
2026-06-08,5250,5555,5225,5555,52758
2026-06-15,5555,5800,5200,5600,256254
2026-06-22,5600,6000,5575,5900,101254
2026-06-29,5870,5900,5600,5880,91725
2026-07-06,5880,6545,5750,6360,32421
2026-07-13,6360,6600,6250,6480,51009
2026-07-20,6480,6580,6220,6450,30276
2026-07-27,6450,8185,6450,7850,32235
2026-08-03,7850,7960,7300,7690,64485
2026-08-10,7750,7800,7470,7670,29037
2026-08-17,7670,8650,7670,8495,91260
2026-08-24,7860,8595,7860,8495,205783
