Date,Open,High,Low,Close,Volume
1998-09-16,3400,3400,3400,3400,1180
1998-09-18,3400,3400,3400,3400,110
1998-09-21,3400,3400,3400,3400,100
1998-09-23,3400,3400,3400,3400,380
1998-09-25,3400,3400,3400,3400,250
1998-09-28,3200,3200,3200,3200,250
1998-09-30,3400,3400,3400,3400,60
1998-10-02,3400,3400,3400,3400,1880
1998-10-09,3400,3400,3400,3400,310
1998-10-12,3400,3400,3400,3400,10000
1998-10-14,3400,3400,3400,3400,20
1998-10-16,3400,3400,3400,3400,110
1998-10-23,3400,3400,3400,3400,1470
1998-10-28,3400,3400,3400,3400,30
1998-11-02,3145,3145,3145,3145,650
1998-11-25,2910,2910,2910,2910,500
1998-12-04,2692,2692,2692,2692,110
1998-12-11,2400,2400,2400,2400,4070
1998-12-14,2220,2220,2220,2220,1070
1998-12-16,2300,2300,2300,2300,70580
1998-12-18,2220,2220,2220,2220,590
1998-12-21,2220,2220,2220,2220,330
1998-12-23,2220,2220,2220,2220,40
1998-12-28,2200,2200,2200,2200,1820
1998-12-30,2200,2200,2200,2200,25610
1999-01-06,2000,2000,2000,2000,1390
1999-01-08,2000,2000,2000,2000,2370
1999-01-11,2000,2000,2000,2000,1080
1999-01-13,2000,2000,2000,2000,240
1999-01-18,2000,2000,2000,2000,1500
1999-01-20,2000,2000,2000,2000,3500
1999-01-22,2000,2000,2000,2000,500
1999-01-25,1900,1900,1900,1900,300
1999-01-27,1900,1900,1900,1900,1150
1999-01-29,2000,2000,2000,2000,180
1999-02-01,1900,1900,1900,1900,70
1999-02-03,1900,1900,1900,1900,340
1999-02-05,1900,1900,1900,1900,400
1999-02-08,1900,1900,1900,1900,500
1999-02-10,2000,2000,2000,2000,500
1999-02-12,2000,2000,2000,2000,380
1999-02-15,1950,1950,1950,1950,1180
1999-02-17,1910,1910,1910,1910,1510
1999-02-19,1910,1910,1910,1910,1920
1999-02-22,1920,1920,1920,1920,180
1999-02-24,1915,1915,1915,1915,2000
1999-02-26,1920,1920,1920,1920,120
1999-03-01,1920,1920,1920,1920,1270
1999-03-03,1920,1920,1920,1920,940
1999-03-10,1930,1930,1930,1930,10190
1999-03-12,1930,1930,1930,1930,3940
1999-03-17,1950,1950,1950,1950,1350
1999-03-24,1930,1930,1930,1930,1220
1999-03-26,1950,1950,1950,1950,650
1999-03-29,1950,1950,1950,1950,450
1999-03-31,1950,1950,1950,1950,2210
1999-04-02,2000,2000,2000,2000,800
1999-04-07,2000,2000,2000,2000,150
