Date,Open,High,Low,Close,Volume
1998-09-30,3400,3400.0,3200.0,3400,2330
1998-10-31,3400,3400.0,3400.0,3400,13820
1998-11-30,3145,3145.0,2910.0,2910,1150
1998-12-31,2692,2692.0,2200.0,2200,104220
1999-01-31,2000,2000.0,1900.0,2000,12210
1999-02-28,1900,2000.0,1900.0,1920,9100
1999-03-31,1920,1950.0,1920.0,1950,22220
1999-04-30,2000,2001.0,1790.0,1790,10590
1999-05-31,1790,1790.0,1779.0,1779,5100
1999-06-30,1779,1800.0,1700.0,1800,18960
1999-07-31,1800,1800.0,1690.0,1700,9090
1999-08-31,1700,2000.0,1700.0,2000,313260
1999-09-30,2000,2000.0,2000.0,2000,25730
1999-10-31,2000,2000.0,2000.0,2000,73000
1999-11-30,2000,2002.0,2000.0,2000,16970
1999-12-31,2000,2470.0,2000.0,2470,26720
2000-01-31,2000,2000.0,2000.0,2000,24670
2000-02-29,2000,2000.0,2000.0,2000,29110
2000-03-31,2000,2000.0,2000.0,2000,20670
2000-04-30,2000,2000.0,2000.0,2000,122620
2000-05-31,2000,2000.0,2000.0,2000,8520
2000-06-30,2000,2000.0,2000.0,2000,19760
2000-07-31,2000,2000.0,2000.0,2000,26940
2000-08-31,2000,2000.0,2000.0,2000,71030
2000-09-30,2000,2000.0,1800.0,1800,2850
2000-10-31,1800,1800.0,1800.0,1800,830
2000-11-30,1800,1800.0,1760.0,1760,1230
2000-12-31,1760,1760.0,1700.0,1700,650
2001-01-31,1700,1700.0,1700.0,1700,230
2001-02-28,1700,1700.0,1700.0,1700,1100
2001-03-31,1573,1573.0,1573.0,1573,3080
2001-04-30,1573,1700.0,1573.0,1700,15200
2001-05-31,1750,1800.0,1750.0,1800,10800
2001-06-30,1800,1800.0,1800.0,1800,15720
2001-07-31,1900,1900.0,1800.0,1800,5110
2001-08-31,1800,1800.0,1800.0,1800,29060
2001-09-30,1800,1800.0,1800.0,1800,660
2001-10-31,1800,1800.0,1800.0,1800,550
2001-11-30,1800,1800.0,1800.0,1800,1410
2001-12-31,1800,2584.0,1800.0,2584,11710
2002-03-31,2211,2211.0,2211.0,2211,105010
2002-04-30,2150,2150.0,1989.0,2000,1523700
2002-05-31,2000,2000.0,1860.0,1860,50230
2002-07-31,1860,1860.0,1702.0,1702,540
2002-08-31,1690,1690.0,1690.0,1690,100
2002-09-30,1690,1690.0,1690.0,1690,240
2002-10-31,1690,1690.0,1690.0,1690,1030
2002-11-30,1690,1952.0,1690.0,1952,2600
2002-12-31,1952,3400.0,1952.0,3400,6560
2003-03-31,2301,2301.0,2301.0,2301,300
2003-04-30,2659,3302.0,2659.0,3302,3200
2003-06-30,2750,2750.0,2750.0,2750,530
2003-07-31,2750,2750.0,2750.0,2750,50
2003-08-31,2544,2544.0,2544.0,2544,2470
2003-09-30,2735,3050.0,2735.0,3050,54340
2003-10-31,3050,3050.0,3050.0,3050,2530
2003-11-30,3150,3150.0,3150.0,3150,35110
2003-12-31,3150,3630.0,3150.0,3630,10590
2004-01-31,3358,3358.0,3300.0,3300,15950
2004-02-29,3300,3300.0,3300.0,3300,50
2004-09-30,2900,2900.0,2470.0,2500,1588590
2004-10-31,2500,2500.0,2500.0,2500,860
2004-12-31,2650,2995.0,2650.0,2995,4070
2005-03-31,2800,2950.0,2800.0,2950,6470
2005-04-30,2950,2950.0,2945.0,2945,800
2005-05-31,2756,2756.0,2600.0,2600,7490
2005-06-30,2495,2495.0,2300.0,2300,12740
2005-07-31,2300,2300.0,2300.0,2300,3770
2005-08-31,2300,2300.0,2290.0,2291,2850
2005-09-30,2291,2300.0,2250.0,2250,4080
2005-10-31,2240,2240.0,2240.0,2240,25100
2005-11-30,2240,2420.0,2240.0,2420,2310
2005-12-31,2600,2750.0,2600.0,2700,1990
2006-01-31,2695,2695.0,2350.0,2350,4440
2006-02-28,2294,2300.0,2000.0,2300,180700
2006-03-31,2400,2400.0,2080.0,2150,403380
2006-04-30,2150,2156.0,2150.0,2156,5010
2006-05-31,2156,2270.0,2156.0,2181,6720
2006-06-30,2181,2260.0,2180.0,2180,5490
2006-07-31,2340,2340.0,2300.0,2300,1910
2006-08-31,2300,2300.0,2130.0,2150,2850
2006-09-30,2000,2000.0,2000.0,2000,2420
2006-10-31,2000,2000.0,1800.0,1800,10150
2006-11-30,1800,1861.0,1800.0,1850,16660
2006-12-31,1850,1993.0,1850.0,1993,4150
2007-01-31,1993,1993.0,1993.0,1993,880
2007-02-28,1993,1993.0,1900.0,1900,13310
2007-03-31,1900,1900.0,1900.0,1900,2300
2007-04-30,1800,1801.0,1800.0,1801,5290
2007-05-31,2200,2600.0,2200.0,2600,8480
2007-06-30,2500,2800.0,2250.0,2800,12490
2007-07-31,2600,3200.0,2600.0,3200,131750
2007-08-31,3200,3200.0,3000.0,3200,53910
2007-09-30,3200,3200.0,3000.0,3000,6030
2007-10-31,3000,3000.0,3000.0,3000,148030
2007-11-30,3000,3003.0,3000.0,3002,93340
2007-12-31,3001,3001.0,3000.0,3000,167860
2008-01-31,3000,3003.0,3000.0,3000,1290650
