Date,Open,High,Low,Close,Volume
1998-09-30,3400,3400.0,3200.0,3400,2330
1998-12-31,3400,3400.0,2200.0,2200,119190
1999-03-31,2000,2000.0,1900.0,1950,43530
1999-06-30,2000,2001.0,1700.0,1800,34650
1999-09-30,1800,2000.0,1690.0,2000,348080
1999-12-31,2000,2470.0,2000.0,2470,116690
2000-03-31,2000,2000.0,2000.0,2000,74450
2000-06-30,2000,2000.0,2000.0,2000,150900
2000-09-30,2000,2000.0,1800.0,1800,100820
2000-12-31,1800,1800.0,1700.0,1700,2710
2001-03-31,1700,1700.0,1573.0,1573,4410
2001-06-30,1573,1800.0,1573.0,1800,41720
2001-09-30,1900,1900.0,1800.0,1800,34830
2001-12-31,1800,2584.0,1800.0,2584,13670
2002-03-31,2211,2211.0,2211.0,2211,105010
2002-06-30,2150,2150.0,1860.0,1860,1573930
2002-09-30,1860,1860.0,1690.0,1690,880
2002-12-31,1690,3400.0,1690.0,3400,10190
2003-03-31,2301,2301.0,2301.0,2301,300
2003-06-30,2659,3302.0,2659.0,2750,3730
2003-09-30,2750,3050.0,2544.0,3050,56860
2003-12-31,3050,3630.0,3050.0,3630,48230
2004-03-31,3358,3358.0,3300.0,3300,16000
2004-09-30,2900,2900.0,2470.0,2500,1588590
2004-12-31,2500,2995.0,2500.0,2995,4930
2005-03-31,2800,2950.0,2800.0,2950,6470
2005-06-30,2950,2950.0,2300.0,2300,21030
2005-09-30,2300,2300.0,2250.0,2250,10700
2005-12-31,2240,2750.0,2240.0,2700,29400
2006-03-31,2695,2695.0,2000.0,2150,588520
2006-06-30,2150,2270.0,2150.0,2180,17220
2006-09-30,2340,2340.0,2000.0,2000,7180
2006-12-31,2000,2000.0,1800.0,1993,30960
2007-03-31,1993,1993.0,1900.0,1900,16490
2007-06-30,1800,2800.0,1800.0,2800,26260
2007-09-30,2600,3200.0,2600.0,3000,191690
2007-12-31,3000,3003.0,3000.0,3000,409230
2008-03-31,3000,3150.0,3000.0,3150,1293710
2008-06-30,3200,3700.0,3200.0,3500,98550
2008-09-30,3300,3611.0,3250.0,3500,91550
2008-12-31,3500,3500.0,2300.0,2500,63640
2009-03-31,2500,3290.0,2500.0,3290,23330
2009-06-30,3280,3280.0,2500.0,3020,41040
2009-09-30,3000,3010.0,2802.0,2950,116090
2009-12-31,2949,3224.0,2700.0,3224,55180
2010-03-31,2801,3650.0,2801.0,3650,55490
2010-06-30,3600,3900.0,3200.0,3310,30240
2010-09-30,3350,4150.0,3350.0,3800,34830
2010-12-31,3801,4472.0,3801.0,4000,27640
2011-03-31,4000,4200.0,3800.0,3800,17970
2011-06-30,4000,4000.0,3700.0,3700,3660
2011-09-30,3700,3700.0,2890.0,3145,58250
2011-12-31,3500,3500.0,2900.0,3200,28930
2012-03-31,3200,3763.0,3100.0,3700,19750
2012-06-30,3700,3700.0,3500.0,3610,15890
2012-09-30,3610,3700.0,3330.0,3600,16460
2012-12-31,3600,3851.0,3600.0,3660,88670
2013-03-31,3660,4210.0,3660.0,4201,104130
2013-06-30,4202,4317.0,4202.0,4300,11620
2013-09-30,4300,4300.0,4000.0,4200,17700
2013-12-31,3900,6396.0,3900.0,6000,62910
2014-03-31,5650,7100.0,5650.0,6650,27000
2014-06-30,6651,7000.0,6300.0,6900,35290
2014-09-30,6890,7344.0,6001.0,7140,48870
2014-12-31,7100,7848.0,6801.0,7800,1364740
2015-03-31,7644,9150.0,7644.0,8200,36680
2015-06-30,8201,9500.0,8201.0,8701,19060
2015-09-30,8751,10000.0,8200.0,10000,45380
2015-12-31,10000,10750.0,9500.0,10100,42710
2016-03-31,10000,10700.0,9500.0,10000,32070
2016-06-30,10000,10700.0,9900.0,10001,45810
2016-09-30,10000,10000.0,8550.0,8790,43080
2016-12-31,8750,9890.0,8601.0,9890,581400
2017-03-31,9740,10000.0,9010.0,9900,22440
2017-06-30,9606,10300.0,8300.0,8300,20220
2017-09-30,8923,9200.0,6400.0,7200,116230
2017-12-31,7740,9200.0,7697.0,8490,898135
2018-03-31,8300,8800.0,7300.0,7995,47333
2018-06-30,7995,8000.0,6000.0,7340,21526
2018-09-30,7300,7300.0,4000.0,4020,28579
2018-12-31,4100,8000.0,3795.0,7900,80329
2019-03-31,7700,7700.0,4800.0,4875,6570
2019-06-30,4875,4875.0,4200.0,4500,19019
2019-09-30,4500,5200.0,3710.0,5145,15720
2019-12-31,5100,6890.0,4630.0,6800,44562
2020-03-31,6500,6500.0,3900.0,4100,4498
2020-06-30,4000,4835.0,2855.0,4295,18175
2020-09-30,4250,5500.0,4200.0,5500,36053
2020-12-31,5400,6890.0,4625.0,6680,141319
2021-03-31,6680,6680.0,4280.0,5005,388122
2021-06-30,5000,5910.0,5000.0,5300,16664
2021-09-30,5500,6500.0,5350.0,6100,23251
2021-12-31,6050,7525.0,5510.0,7400,207429
2022-03-31,7250,7250.0,5700.0,6395,34113
2022-06-30,6300,6350.0,5550.0,6295,65050
2022-09-30,6295,6900.0,6000.0,6505,17422
2022-12-31,6900,7000.0,5905.0,6850,46375
2023-03-31,6840,6840.0,5585.0,6400,27782
2023-06-30,6200,7100.0,5825.0,6890,125280
2023-09-30,6740,7000.0,6100.0,6895,27564
2023-12-31,6895,7495.0,6300.0,7490,49609
2024-03-31,7450,7490.0,6800.0,7300,11368
2024-06-30,7300,11500.0,6810.0,10000,12085
2024-09-30,10640,11100.0,9185.0,10750,45656
2024-12-31,10750,14230.0,10500.0,14000,57669
2025-03-31,14100,16200.0,13655.0,15990,22206
2025-06-30,15950,18220.0,14000.0,16700,17187
2025-09-30,16580,18105.0,14500.0,16885,115339
2025-12-31,16885,20450.0,16590.0,19445,62049
2026-03-31,19300,27950.0,18850.0,25400,72726
2026-06-30,25400,29450.0,21750.0,29000,42587
2026-09-30,29000,29500.0,27280.0,29000,19750
