Date,Open,High,Low,Close,Volume
1998-09-21,3400,3400.0,3400.0,3400,1390
1998-09-28,3400,3400.0,3200.0,3200,880
1998-10-05,3400,3400.0,3400.0,3400,1940
1998-10-12,3400,3400.0,3400.0,3400,10310
1998-10-19,3400,3400.0,3400.0,3400,130
1998-10-26,3400,3400.0,3400.0,3400,1470
1998-11-02,3400,3400.0,3145.0,3145,680
1998-11-30,2910,2910.0,2910.0,2910,500
1998-12-07,2692,2692.0,2692.0,2692,110
1998-12-14,2400,2400.0,2220.0,2220,5140
1998-12-21,2300,2300.0,2220.0,2220,71500
1998-12-28,2220,2220.0,2200.0,2200,1860
1999-01-04,2200,2200.0,2200.0,2200,25610
1999-01-11,2000,2000.0,2000.0,2000,4840
1999-01-18,2000,2000.0,2000.0,2000,1740
1999-01-25,2000,2000.0,1900.0,1900,4300
1999-02-01,1900,2000.0,1900.0,1900,1400
1999-02-08,1900,1900.0,1900.0,1900,1240
1999-02-15,2000,2000.0,1950.0,1950,2060
1999-02-22,1910,1920.0,1910.0,1920,3610
1999-03-01,1915,1920.0,1915.0,1920,3390
1999-03-08,1920,1920.0,1920.0,1920,940
1999-03-15,1930,1930.0,1930.0,1930,14130
1999-03-22,1950,1950.0,1950.0,1950,1350
1999-03-29,1930,1950.0,1930.0,1950,2320
1999-04-05,1950,2000.0,1950.0,2000,3010
1999-04-12,2000,2000.0,2000.0,2000,1240
1999-04-19,2001,2001.0,1910.0,1910,1280
1999-04-26,1900,1900.0,1790.0,1790,4860
1999-05-03,1790,1790.0,1790.0,1790,2410
1999-05-10,1790,1790.0,1779.0,1779,1420
1999-05-17,1779,1779.0,1779.0,1779,290
1999-05-24,1779,1779.0,1779.0,1779,3310
1999-05-31,1779,1779.0,1779.0,1779,80
1999-06-07,1779,1779.0,1775.0,1775,2050
1999-06-21,1700,1700.0,1700.0,1700,13850
1999-06-28,1800,1800.0,1800.0,1800,3060
1999-07-05,1800,1800.0,1690.0,1690,1050
1999-07-12,1701,1701.0,1700.0,1700,1400
1999-07-19,1800,1800.0,1700.0,1700,2620
1999-07-26,1700,1700.0,1700.0,1700,4020
1999-08-02,1700,1700.0,1700.0,1700,200
