Date,Open,High,Low,Close,Volume
1998-12-31,3400,3400,2200,2200,121520
1999-12-31,2000,2470,1690,2470,542950
2000-12-31,2000,2000,1700,1700,328880
2001-12-31,1700,2584,1573,2584,94630
2002-12-31,2211,3400,1690,3400,1690010
2003-12-31,2301,3630,2301,3630,109120
2004-12-31,3358,3358,2470,2995,1609520
2005-12-31,2800,2950,2240,2700,67600
2006-12-31,2695,2695,1800,1993,643880
2007-12-31,1993,3200,1800,3000,643670
2008-12-31,3000,3700,2300,2500,1547450
2009-12-31,2500,3290,2500,3224,235640
2010-12-31,2801,4472,2801,4000,148200
2011-12-31,4000,4200,2890,3200,108810
2012-12-31,3200,3851,3100,3660,140770
2013-12-31,3660,6396,3660,6000,196360
2014-12-31,5650,7848,5650,7800,1475900
2015-12-31,7644,10750,7644,10100,143830
2016-12-31,10000,10700,8550,9890,702360
2017-12-31,9740,10300,6400,8490,1057025
2018-12-31,8300,8800,3795,7900,177767
2019-12-31,7700,7700,3710,6800,85871
2020-12-31,6500,6890,2855,6680,200045
2021-12-31,6680,7525,4280,7400,635466
2022-12-31,7250,7250,5550,6850,162960
2023-12-31,6840,7495,5585,7490,230235
2024-12-31,7450,14230,6800,14000,126778
2025-12-31,14100,20450,13655,19445,216781
2026-12-31,19300,29500,18850,28600,139363
