Date,Open,High,Low,Close,Volume
1998-09-18,1532,1532,1532,1532,20
1998-09-21,1532,1532,1532,1532,20
1998-09-23,1600,1600,1600,1600,1040
1998-09-25,1680,1680,1680,1680,1000
1998-09-28,1775,1775,1775,1775,520
1998-09-30,1775,1775,1775,1775,40
1998-10-02,1908,1908,1908,1908,6000
1998-10-07,1950,1950,1950,1950,340
1998-10-09,2050,2050,2050,2050,10000
1998-10-14,2000,2000,2000,2000,300
1998-10-16,1850,1850,1850,1850,640
1998-10-19,1850,1850,1850,1850,200
1998-10-21,1850,1850,1850,1850,1180
1998-10-23,1900,1900,1900,1900,2740
1998-10-26,1850,1850,1850,1850,600
1998-10-28,1850,1850,1850,1850,660
1998-11-02,1988,1988,1988,1988,20
1998-11-04,1988,1988,1988,1988,600
1998-11-11,1988,1988,1988,1988,60
1998-11-18,1839,1839,1839,1839,100
1998-11-27,1750,1750,1750,1750,20
1998-12-04,1750,1750,1750,1750,60
1998-12-09,1750,1750,1750,1750,140
1998-12-11,1800,1800,1800,1800,1660
1998-12-23,1800,1800,1800,1800,36140
1999-01-04,1800,1800,1800,1800,100
1999-01-08,1800,1800,1800,1800,220
1999-02-26,1750,1750,1750,1750,1600
1999-03-24,1750,1750,1750,1750,10000
1999-03-26,1748,1748,1748,1748,7760
1999-03-29,1748,1748,1748,1748,560
1999-04-12,1617,1617,1617,1617,800
1999-04-30,1615,1615,1615,1615,480
1999-05-03,1494,1494,1494,1494,2000
1999-05-07,1494,1494,1494,1494,120
1999-06-23,1293,1293,1293,1293,200
1999-06-25,1196,1196,1196,1196,200
1999-06-28,1196,1196,1196,1196,100
1999-07-12,1106,1106,1106,1106,160
1999-07-14,1024,1024,1024,1024,700
1999-07-16,950,950,950,950,3180
1999-07-21,950,950,950,950,400
1999-07-28,950,950,950,950,400
1999-08-02,879,879,879,879,160
1999-08-04,815,815,815,815,160
1999-08-06,815,815,815,815,60
1999-08-11,815,815,815,815,400
1999-08-13,815,815,815,815,200
1999-08-18,815,815,815,815,220
1999-08-20,816,816,816,816,740
1999-08-25,825,825,825,825,480
1999-08-27,825,825,825,825,1500
1999-08-30,830,830,830,830,1000
1999-09-01,825,825,825,825,3000
1999-09-03,825,825,825,825,640
1999-09-06,810,810,810,810,2120
1999-09-08,810,810,810,810,1820
1999-09-10,800,800,800,800,1320
1999-09-13,800,800,800,800,1240
1999-09-15,800,800,800,800,3460
1999-09-17,810,810,810,810,460
1999-09-20,810,810,810,810,1200
1999-09-22,810,810,810,810,240
1999-09-24,810,810,810,810,120
1999-09-29,810,810,810,810,100
1999-10-01,810,810,810,810,400
1999-10-06,810,810,810,810,1200
1999-10-15,850,850,850,850,220
1999-10-20,860,860,860,860,320
1999-10-29,875,875,875,875,1340
1999-11-03,875,875,875,875,780
1999-11-05,890,890,890,890,1060
1999-11-12,900,900,900,900,360
1999-11-17,900,900,900,900,2300
