Date,Open,High,Low,Close,Volume
1998-09-30,1532,1775.0,1532.0,1775,2640
1998-10-31,1908,2050.0,1850.0,1850,22660
1998-11-30,1988,1988.0,1750.0,1750,800
1998-12-31,1750,1800.0,1750.0,1800,38000
1999-01-31,1800,1800.0,1800.0,1800,320
1999-02-28,1750,1750.0,1750.0,1750,1600
1999-03-31,1750,1750.0,1748.0,1748,18320
1999-04-30,1617,1617.0,1615.0,1615,1280
1999-05-31,1494,1494.0,1494.0,1494,2120
1999-06-30,1293,1293.0,1196.0,1196,500
1999-07-31,1106,1106.0,950.0,950,4840
1999-08-31,879,879.0,815.0,830,4920
1999-09-30,825,825.0,800.0,810,15720
1999-10-31,810,875.0,810.0,875,3480
1999-11-30,875,900.0,875.0,900,4800
1999-12-31,900,905.0,900.0,905,6720
2000-01-31,905,905.0,905.0,905,3880
2000-03-31,850,850.0,850.0,850,6540
2000-04-30,848,848.0,848.0,848,520
2000-05-31,845,845.0,845.0,845,2000
2000-08-31,800,800.0,800.0,800,2260
2000-09-30,800,800.0,800.0,800,220
2000-11-30,750,750.0,750.0,750,400
2000-12-31,745,745.0,650.0,650,3500
2001-01-31,650,650.0,649.0,649,720
2001-02-28,649,649.0,625.0,625,1060
2001-03-31,625,625.0,625.0,625,40
2001-04-30,600,600.0,550.0,550,8120
2001-05-31,550,550.0,520.0,520,11540
2001-06-30,520,520.0,520.0,520,1720
2001-07-31,520,520.0,520.0,520,4300
2001-08-31,520,520.0,518.0,518,2240
2001-09-30,513,513.0,510.0,510,4500
2001-10-31,500,500.0,475.0,475,2000
2001-11-30,475,475.0,445.0,445,6400
2001-12-31,445,445.0,445.0,445,32300
2002-01-31,445,445.0,445.0,445,3060
2002-02-28,445,445.0,440.0,440,3220
2002-03-31,440,445.0,440.0,445,1240
2002-04-30,445,455.0,445.0,455,1520
2002-05-31,489,489.0,440.0,473,3120
2002-06-30,473,473.0,460.0,460,3640
2002-07-31,460,495.0,460.0,475,12500
2002-08-31,480,525.0,480.0,525,11880
2002-09-30,525,575.0,525.0,575,23280
2002-10-31,575,575.0,550.0,550,20880
2002-11-30,550,550.0,550.0,550,7760
2002-12-31,550,848.0,550.0,848,3620
2003-01-31,750,750.0,725.0,725,1480
2003-02-28,725,725.0,725.0,725,40
2003-03-31,722,722.0,722.0,722,400
2003-04-30,722,722.0,722.0,722,60
2003-05-31,722,722.0,700.0,700,4284260
2003-09-30,700,700.0,700.0,700,380
2003-10-31,590,590.0,590.0,590,480
2003-11-30,588,588.0,588.0,588,23140
2003-12-31,575,575.0,575.0,575,500
2004-01-31,563,563.0,563.0,563,700
2004-03-31,550,550.0,550.0,550,480
2004-04-30,545,545.0,545.0,545,480
2004-05-31,504,504.0,450.0,450,329700
2004-06-30,450,450.0,450.0,450,820
2004-07-31,455,455.0,455.0,455,1080
2004-08-31,455,455.0,455.0,455,1420
2004-09-30,455,455.0,450.0,450,6920
2004-10-31,450,450.0,450.0,450,140
2004-11-30,450,450.0,450.0,450,20
2005-02-28,425,425.0,425.0,425,2720
2005-03-31,425,425.0,425.0,425,880
2005-04-30,425,425.0,425.0,425,5480
2005-05-31,425,425.0,425.0,425,5300
2005-06-30,425,425.0,425.0,425,11940
2005-07-31,425,425.0,425.0,425,560
2005-08-31,425,425.0,395.0,395,5660
2005-09-30,395,395.0,395.0,395,4660
2005-10-31,395,395.0,395.0,395,3340
2005-11-30,395,395.0,395.0,395,2640
2005-12-31,400,400.0,400.0,400,36000
2006-02-28,400,400.0,400.0,400,1000
2006-03-31,400,400.0,400.0,400,220
2006-04-30,370,370.0,350.0,350,7340
2006-05-31,375,375.0,353.0,353,8760
2006-06-30,375,375.0,375.0,375,5980
2006-07-31,375,375.0,375.0,375,580
2006-08-31,375,375.0,375.0,375,580
2006-09-30,350,403.0,350.0,403,3820
2006-10-31,403,430.0,400.0,400,500
2006-11-30,400,460.0,400.0,460,2740
2006-12-31,490,491.0,490.0,491,4220
2007-01-31,491,491.0,491.0,491,540
2007-02-28,491,503.0,491.0,503,2300
2007-03-31,503,506.0,503.0,506,720
2007-04-30,506,560.0,506.0,560,1720
2007-05-31,560,561.0,560.0,561,1580
2007-06-30,561,625.0,561.0,625,2420
2007-07-31,650,725.0,650.0,725,4140
2007-08-31,751,860.0,751.0,860,3160
2007-09-30,925,925.0,925.0,925,3000
2007-10-31,925,1068.0,925.0,1068,4680
2007-11-30,1150,1237.0,1100.0,1100,23120
2007-12-31,1100,1100.0,1000.0,1000,29700
2008-01-31,1000,1150.0,1000.0,1135,27060
2008-02-29,1100,1200.0,1100.0,1200,4780
2008-03-31,1290,1290.0,1280.0,1280,31120
2008-04-30,1280,1285.0,1275.0,1285,2100
2008-05-31,1285,1300.0,1285.0,1300,6560
2008-06-30,1398,1502.0,1286.0,1286,9600
2008-07-31,1353,1360.0,1353.0,1360,6880
2008-08-31,1360,1667.0,1360.0,1667,6000
2008-09-30,1667,1700.0,1667.0,1700,2980
2008-10-31,1670,1670.0,1550.0,1550,9600
2008-11-30,1450,1450.0,1340.0,1340,2020
2008-12-31,1340,1340.0,1125.0,1125,24520
2009-01-31,1125,1125.0,1125.0,1125,800
2009-02-28,1100,1100.0,1100.0,1100,280
2009-03-31,1100,1100.0,1100.0,1100,200
2009-05-31,1000,1000.0,941.0,941,2320
2009-06-30,941,941.0,728.0,730,11640
2009-07-31,753,825.0,753.0,800,7700
2009-08-31,800,800.0,785.0,785,7440
2009-09-30,785,785.0,785.0,785,880
2009-10-31,785,785.0,775.0,775,3620
2009-11-30,775,776.0,775.0,776,123580
2009-12-31,834,1113.0,834.0,1113,8100
2010-01-31,1113,1113.0,1113.0,1113,20
2010-02-28,900,900.0,900.0,900,200
2010-03-31,833,833.0,800.0,800,780
2010-04-30,800,925.0,800.0,925,1000
2010-05-31,960,1109.0,960.0,1105,9060
2010-06-30,1105,1105.0,1105.0,1105,4400
2010-07-31,1105,1105.0,1022.0,1099,2040
2010-08-31,1105,1105.0,1105.0,1105,17960
2010-09-30,1105,1150.0,1105.0,1150,540
2010-10-31,1064,1064.0,900.0,900,4140
2010-11-30,925,925.0,900.0,900,4760
2010-12-31,900,968.0,900.0,967,7320
2011-01-31,967,967.0,850.0,875,4600
2011-02-28,875,875.0,875.0,875,2220
2011-04-30,875,875.0,875.0,875,160
2011-05-31,875,875.0,875.0,875,2420
2011-06-30,873,1075.0,873.0,1075,9900
2011-07-31,1156,1290.0,1150.0,1170,2960
2011-08-31,1170,1170.0,815.0,850,16240
2011-09-30,914,994.0,909.0,994,4640
2011-10-31,994,1250.0,994.0,1250,9580
2011-11-30,1344,1350.0,1150.0,1200,8720
2011-12-31,1290,1350.0,1275.0,1275,6200
2012-01-31,1275,1300.0,1275.0,1300,500
2012-02-29,1350,1450.0,1300.0,1450,6020
2012-03-31,1450,1500.0,1350.0,1500,3460
2012-04-30,1500,1525.0,1500.0,1525,6320
2012-05-31,1525,1700.0,1525.0,1700,7760
2012-06-30,1700,2456.0,1700.0,2250,34760
2012-07-31,2250,2275.0,1915.0,2050,2900
2012-08-31,2204,2250.0,2200.0,2250,13760
2012-09-30,2200,2225.0,2200.0,2225,16200
2012-10-31,2225,2225.0,2058.0,2100,16280
2012-11-30,2250,2400.0,2250.0,2400,8380
2012-12-31,2400,2500.0,2350.0,2500,2440
2013-01-31,2500,2550.0,2400.0,2550,11240
2013-02-28,2688,3400.0,2688.0,3400,1620
2013-03-31,3425,4569.0,3425.0,3950,16340
2013-04-30,3654,3654.0,3130.0,3494,19760
2013-05-31,3403,3550.0,3400.0,3550,1960
2013-06-30,3450,3750.0,3450.0,3750,5940
2013-07-31,3500,3500.0,3400.0,3500,9040
2013-08-31,3500,3505.0,3400.0,3400,3240
2013-09-30,3300,3300.0,3000.0,3100,9660
2013-10-31,3100,3175.0,3100.0,3175,3520
2013-11-30,3250,3400.0,3225.0,3276,3060
2013-12-31,3400,4375.0,3350.0,4375,7140
2014-01-31,4250,4703.0,3935.0,4150,3380
2014-02-28,4125,4150.0,3840.0,3840,2060
2014-03-31,3840,3840.0,3700.0,3800,7320
2014-04-30,3900,3950.0,3510.0,3510,7760
2014-05-31,3500,3500.0,3200.0,3325,6320
2014-06-30,3350,4450.0,3350.0,3750,22940
2014-07-31,3498,4042.0,3498.0,3500,3560
2014-08-31,3501,3763.0,3500.0,3750,820
2014-09-30,3775,4050.0,3775.0,4000,3440
2014-10-31,4000,4000.0,3550.0,3550,21620
2014-11-30,3618,3720.0,3600.0,3700,6860
2014-12-31,3978,4000.0,3701.0,3710,4880
2015-01-31,3775,4000.0,3725.0,4000,4720
2015-02-28,4000,4000.0,3876.0,4000,8300
2015-03-31,4300,4300.0,3850.0,3850,22400
2015-04-30,3850,4000.0,3800.0,3950,13800
2015-05-31,4150,4825.0,3950.0,4805,4460
2015-06-30,4805,5005.0,4805.0,5000,3900
2015-07-31,5000,5250.0,4890.0,4910,19760
2015-08-31,4915,6000.0,4915.0,6000,14500
2015-09-30,6000,6251.0,5625.0,5625,24760
2015-10-31,5725,6500.0,5625.0,6250,40240
2015-11-30,6400,8500.0,6400.0,8500,61200
2015-12-31,8500,9000.0,8350.0,8995,10060
2016-01-31,8950,9650.0,8350.0,9650,28860
2016-02-29,9500,9650.0,8280.0,9250,39000
2016-03-31,9500,10375.0,9450.0,9625,39580
2016-04-30,9700,10000.0,9000.0,9650,11080
2016-05-31,9750,11406.0,9650.0,10500,40020
2016-06-30,10300,10300.0,9500.0,9650,3560
2016-07-31,9603,9750.0,7678.0,7750,14920
2016-08-31,8100,8761.0,8050.0,8200,9260
2016-09-30,8225,8500.0,7750.0,7750,65300
2016-10-31,8000,8250.0,7650.0,8200,11820
2016-11-30,7995,9000.0,7500.0,9000,3200
2016-12-31,8325,8743.0,8087.0,8700,4700
2017-01-31,8400,8400.0,7825.0,7825,40
2017-02-28,7825,7825.0,7125.0,7350,7640
2017-03-31,6799,7325.0,6660.0,7200,3480
2017-04-30,6660,6700.0,6400.0,6700,1880
2017-05-31,6450,6600.0,5647.0,5647,1940
2017-06-30,5500,5500.0,5000.0,5400,5840
2017-07-31,5237,6000.0,4850.0,6000,1134
2017-08-31,5995,6000.0,4625.0,5000,6135
2017-09-30,5000,5050.0,3865.0,4160,2755
2017-10-31,4160,4160.0,3240.0,3695,3165
2017-11-30,3690,3690.0,2500.0,3000,5429
2017-12-31,2900,3120.0,2500.0,3100,29066
2018-01-31,3000,3000.0,2145.0,2305,10771
2018-02-28,2150,3200.0,2150.0,3100,58408
2018-03-31,3200,3200.0,2795.0,2900,42398
2018-04-30,2900,3275.0,2850.0,3200,16459
2018-05-31,3250,3250.0,2400.0,2545,4541
2018-06-30,2500,2540.0,2200.0,2400,30453
2018-07-31,2400,2700.0,2300.0,2550,9119
2018-08-31,2700,2705.0,2400.0,2400,13384
2018-09-30,2360,2360.0,2105.0,2295,6818
2018-10-31,2200,2560.0,2200.0,2425,2413
2018-11-30,2425,2435.0,2035.0,2195,4124
2018-12-31,2150,2400.0,1950.0,2400,7286
2019-01-31,2400,2450.0,2055.0,2055,756
2019-02-28,1990,1990.0,1700.0,1850,5093
2019-03-31,1825,2450.0,1810.0,2355,17542
2019-04-30,2185,2200.0,1800.0,1800,8221
2019-05-31,1855,2170.0,1665.0,1850,5044
2019-06-30,1815,1850.0,1750.0,1830,38396
2019-07-31,1815,1830.0,1650.0,1650,1409
2019-08-31,1645,1650.0,1400.0,1400,4564
2019-09-30,1490,1500.0,1225.0,1290,2700
2019-10-31,1200,1290.0,890.0,895,3532
2019-11-30,890,895.0,745.0,750,10447
2019-12-31,750,750.0,700.0,700,8187
2020-01-31,700,750.0,665.0,740,3996
2020-02-29,740,740.0,680.0,730,6677
2020-03-31,730,750.0,680.0,680,3306
2020-04-30,690,800.0,690.0,750,3680
2020-05-31,725,725.0,590.0,590,3202
