Date,Open,High,Low,Close,Volume
1998-09-30,1532,1775,1532,1775,2640
1998-12-31,1908,2050,1750,1800,61460
1999-03-31,1800,1800,1748,1748,20240
1999-06-30,1617,1617,1196,1196,3900
1999-09-30,1106,1106,800,810,25480
1999-12-31,810,905,810,905,15000
2000-03-31,905,905,850,850,10420
2000-06-30,848,848,845,845,2520
2000-09-30,800,800,800,800,2480
2000-12-31,750,750,650,650,3900
2001-03-31,650,650,625,625,1820
2001-06-30,600,600,520,520,21380
2001-09-30,520,520,510,510,11040
2001-12-31,500,500,445,445,40700
2002-03-31,445,445,440,445,7520
2002-06-30,445,489,440,460,8280
2002-09-30,460,575,460,575,47660
2002-12-31,575,848,550,848,32260
2003-03-31,750,750,722,722,1920
2003-06-30,722,722,700,700,4284320
2003-09-30,700,700,700,700,380
2003-12-31,590,590,575,575,24120
2004-03-31,563,563,550,550,1180
2004-06-30,545,545,450,450,331000
2004-09-30,455,455,450,450,9420
2004-12-31,450,450,450,450,160
2005-03-31,425,425,425,425,3600
2005-06-30,425,425,425,425,22720
2005-09-30,425,425,395,395,10880
2005-12-31,395,400,395,400,41980
2006-03-31,400,400,400,400,1220
2006-06-30,370,375,350,375,22080
2006-09-30,375,403,350,403,4980
2006-12-31,403,491,400,491,7460
2007-03-31,491,506,491,506,3560
2007-06-30,506,625,506,625,5720
2007-09-30,650,925,650,925,10300
2007-12-31,925,1237,925,1000,57500
2008-03-31,1000,1290,1000,1280,62960
2008-06-30,1280,1502,1275,1286,18260
2008-09-30,1353,1700,1353,1700,15860
2008-12-31,1670,1670,1125,1125,36140
2009-03-31,1125,1125,1100,1100,1280
2009-06-30,1000,1000,728,730,13960
2009-09-30,753,825,753,785,16020
2009-12-31,785,1113,775,1113,135300
2010-03-31,1113,1113,800,800,1000
2010-06-30,800,1109,800,1105,14460
2010-09-30,1105,1150,1022,1150,20540
2010-12-31,1064,1064,900,967,16220
2011-03-31,967,967,850,875,6820
2011-06-30,875,1075,873,1075,12480
2011-09-30,1156,1290,815,994,23840
2011-12-31,994,1350,994,1275,24500
2012-03-31,1275,1500,1275,1500,9980
2012-06-30,1500,2456,1500,2250,48840
2012-09-30,2250,2275,1915,2225,32860
2012-12-31,2225,2500,2058,2500,27100
2013-03-31,2500,4569,2400,3950,29200
2013-06-30,3654,3750,3130,3750,27660
2013-09-30,3500,3505,3000,3100,21940
2013-12-31,3100,4375,3100,4375,13720
2014-03-31,4250,4703,3700,3800,12760
2014-06-30,3900,4450,3200,3750,37020
2014-09-30,3498,4050,3498,4000,7820
2014-12-31,4000,4000,3550,3710,33360
2015-03-31,3775,4300,3725,3850,35420
2015-06-30,3850,5005,3800,5000,22160
2015-09-30,5000,6251,4890,5625,59020
2015-12-31,5725,9000,5625,8995,111500
2016-03-31,8950,10375,8280,9625,107440
2016-06-30,9700,11406,9000,9650,54660
2016-09-30,9603,9750,7678,7750,89480
2016-12-31,8000,9000,7500,8700,19720
2017-03-31,8400,8400,6660,7200,11160
2017-06-30,6660,6700,5000,5400,9660
2017-09-30,5237,6000,3865,4160,10024
2017-12-31,4160,4160,2500,3100,37660
2018-03-31,3000,3200,2145,2900,111577
2018-06-30,2900,3275,2200,2400,51453
2018-09-30,2400,2705,2105,2295,29321
2018-12-31,2200,2560,1950,2400,13823
2019-03-31,2400,2450,1700,2355,23391
2019-06-30,2185,2200,1665,1830,51661
2019-09-30,1815,1830,1225,1290,8673
2019-12-31,1200,1290,700,700,22166
2020-03-31,700,750,665,680,13979
2020-06-30,690,800,580,605,15895
2020-09-30,615,735,545,545,129112
2020-12-31,580,650,540,600,18608
2021-03-31,645,685,570,630,23221
2021-06-30,585,1990,585,1690,51381
2021-09-30,1690,2095,1600,1850,113548
2021-12-31,1820,2450,1820,2175,71800
2022-03-31,2190,2510,1960,2300,44548
2022-06-30,2295,2580,1830,2195,40326
2022-09-30,2195,2385,1950,2140,39165
2022-12-31,2200,2250,1850,2000,16469
2023-03-31,2000,2100,1800,1925,40340
2023-06-30,1925,2045,1800,1990,19039
2023-09-30,1950,2245,1715,1750,38456
2023-12-31,1840,1995,990,1000,28874
2024-03-31,1050,1450,1020,1245,31820
2024-06-30,1245,1300,925,1000,33567
2024-09-30,1000,1600,940,1075,31373
2024-12-31,1075,1200,930,1065,24630
2025-03-31,1090,1120,910,1060,35848
2025-06-30,1060,1235,865,1200,107792
2025-09-30,1200,2000,1120,1660,142197
2025-12-31,1700,2130,1205,1410,246421
2026-03-31,1365,1795,1300,1590,135327
2026-06-30,1590,2165,1265,1985,144580
2026-09-30,1995,2295,1720,2295,89005
