Date,Open,High,Low,Close,Volume
1998-09-21,1532,1532.0,1532.0,1532,40
1998-09-28,1600,1775.0,1600.0,1775,2560
1998-10-05,1775,1908.0,1775.0,1908,6040
1998-10-12,1950,2050.0,1950.0,2050,10340
1998-10-19,2000,2000.0,1850.0,1850,1140
1998-10-26,1850,1900.0,1850.0,1850,4520
1998-11-02,1850,1988.0,1850.0,1988,680
1998-11-09,1988,1988.0,1988.0,1988,600
1998-11-16,1988,1988.0,1988.0,1988,60
1998-11-23,1839,1839.0,1839.0,1839,100
1998-11-30,1750,1750.0,1750.0,1750,20
1998-12-07,1750,1750.0,1750.0,1750,60
1998-12-14,1750,1800.0,1750.0,1800,1800
1998-12-28,1800,1800.0,1800.0,1800,36140
1999-01-04,1800,1800.0,1800.0,1800,100
1999-01-11,1800,1800.0,1800.0,1800,220
1999-03-01,1750,1750.0,1750.0,1750,1600
1999-03-29,1750,1750.0,1748.0,1748,18320
1999-04-12,1617,1617.0,1617.0,1617,800
1999-05-03,1615,1615.0,1494.0,1494,2480
1999-05-10,1494,1494.0,1494.0,1494,120
1999-06-28,1293,1293.0,1196.0,1196,500
1999-07-12,1106,1106.0,1106.0,1106,160
1999-07-19,1024,1024.0,950.0,950,3880
1999-07-26,950,950.0,950.0,950,400
1999-08-02,950,950.0,879.0,879,560
1999-08-09,815,815.0,815.0,815,220
1999-08-16,815,815.0,815.0,815,600
1999-08-23,815,816.0,815.0,816,960
1999-08-30,825,830.0,825.0,830,2980
1999-09-06,825,825.0,810.0,810,5760
1999-09-13,810,810.0,800.0,800,4380
1999-09-20,800,810.0,800.0,810,5120
1999-09-27,810,810.0,810.0,810,360
1999-10-04,810,810.0,810.0,810,500
1999-10-11,810,810.0,810.0,810,1200
1999-10-18,850,850.0,850.0,850,220
1999-10-25,860,860.0,860.0,860,320
1999-11-01,875,875.0,875.0,875,1340
1999-11-08,875,890.0,875.0,890,1840
1999-11-15,900,900.0,900.0,900,360
1999-11-22,900,900.0,900.0,900,2540
1999-11-29,900,900.0,900.0,900,60
1999-12-06,900,905.0,900.0,905,2860
1999-12-20,905,905.0,905.0,905,3720
1999-12-27,905,905.0,905.0,905,140
2000-01-10,905,905.0,905.0,905,420
2000-01-17,905,905.0,905.0,905,3160
2000-01-24,905,905.0,905.0,905,300
2000-03-06,850,850.0,850.0,850,6540
2000-05-01,848,848.0,848.0,848,520
2000-05-08,845,845.0,845.0,845,2000
2000-08-07,800,800.0,800.0,800,500
2000-08-14,800,800.0,800.0,800,280
2000-08-21,800,800.0,800.0,800,1000
2000-09-04,800,800.0,800.0,800,480
2000-09-18,800,800.0,800.0,800,220
2000-11-20,750,750.0,750.0,750,200
2000-12-04,750,750.0,750.0,750,200
2000-12-11,745,745.0,745.0,745,2700
2000-12-18,689,689.0,689.0,689,200
2000-12-25,650,650.0,650.0,650,600
2001-01-15,650,650.0,650.0,650,120
2001-01-22,650,650.0,650.0,650,200
2001-01-29,649,649.0,649.0,649,200
2001-02-05,649,649.0,649.0,649,200
2001-02-12,649,649.0,649.0,649,60
2001-03-05,625,625.0,625.0,625,1000
2001-03-26,625,625.0,625.0,625,40
2001-04-02,600,600.0,600.0,600,440
2001-04-16,575,575.0,550.0,550,2200
2001-04-23,550,550.0,550.0,550,1020
2001-04-30,550,550.0,550.0,550,4460
2001-05-07,550,550.0,550.0,550,8160
2001-05-14,550,550.0,550.0,550,2960
2001-05-28,520,520.0,520.0,520,300
2001-06-04,520,520.0,520.0,520,120
2001-06-11,520,520.0,520.0,520,220
2001-06-18,520,520.0,520.0,520,300
2001-06-25,520,520.0,520.0,520,1000
2001-07-02,520,520.0,520.0,520,200
2001-07-09,520,520.0,520.0,520,1600
2001-07-16,520,520.0,520.0,520,580
2001-07-23,520,520.0,520.0,520,1600
2001-07-30,520,520.0,520.0,520,520
2001-08-13,520,520.0,520.0,520,40
2001-08-27,518,518.0,518.0,518,2200
2001-09-10,513,513.0,513.0,513,300
2001-09-17,513,513.0,510.0,510,4200
2001-10-08,500,500.0,500.0,500,400
2001-10-15,500,500.0,500.0,500,200
2001-10-22,500,500.0,500.0,500,180
2001-10-29,499,499.0,475.0,475,1220
2001-11-12,475,475.0,475.0,475,1880
2001-11-19,475,475.0,475.0,475,3280
2001-11-26,475,475.0,475.0,475,1000
2001-12-03,445,445.0,445.0,445,240
2001-12-10,445,445.0,445.0,445,460
2001-12-17,445,445.0,445.0,445,28840
2001-12-24,445,445.0,445.0,445,2340
2001-12-31,445,445.0,445.0,445,660
2002-01-07,445,445.0,445.0,445,1000
2002-01-14,445,445.0,445.0,445,900
2002-01-21,445,445.0,445.0,445,760
2002-01-28,445,445.0,445.0,445,260
2002-02-04,445,445.0,445.0,445,620
2002-02-18,440,440.0,440.0,440,1020
2002-02-25,440,440.0,440.0,440,1600
2002-03-04,440,440.0,440.0,440,120
2002-03-11,440,445.0,440.0,445,520
2002-03-18,445,445.0,445.0,445,260
2002-03-25,445,445.0,445.0,445,460
2002-04-15,445,445.0,445.0,445,540
2002-04-29,453,455.0,453.0,455,980
2002-05-06,489,489.0,489.0,489,360
2002-05-20,440,472.0,440.0,472,1700
2002-05-27,472,473.0,472.0,473,560
2002-06-03,473,473.0,473.0,473,500
2002-06-10,473,473.0,473.0,473,100
2002-06-17,473,473.0,463.0,463,1820
2002-06-24,463,463.0,462.0,462,1320
2002-07-01,460,460.0,460.0,460,400
2002-07-08,460,460.0,460.0,460,3800
2002-07-15,460,460.0,460.0,460,2300
2002-07-22,460,495.0,460.0,495,3240
2002-07-29,460,475.0,460.0,475,3160
