Date,Open,High,Low,Close,Volume
1998-12-31,1532,2050,1532,1800,64100
1999-12-31,1800,1800,800,905,64620
2000-12-31,905,905,650,650,19320
2001-12-31,650,650,445,445,74940
2002-12-31,445,848,440,848,95720
2003-12-31,750,750,575,575,4310740
2004-12-31,563,563,450,450,341760
2005-12-31,425,425,395,400,79180
2006-12-31,400,491,350,491,35740
2007-12-31,491,1237,491,1000,77080
2008-12-31,1000,1700,1000,1125,133220
2009-12-31,1125,1125,728,1113,166560
2010-12-31,1113,1150,800,967,52220
2011-12-31,967,1350,815,1275,67640
2012-12-31,1275,2500,1275,2500,118780
2013-12-31,2500,4569,2400,4375,92520
2014-12-31,4250,4703,3200,3710,90960
2015-12-31,3775,9000,3725,8995,228100
2016-12-31,8950,11406,7500,8700,271300
2017-12-31,8400,8400,2500,3100,68504
2018-12-31,3000,3275,1950,2400,206174
2019-12-31,2400,2450,700,700,105891
2020-12-31,700,800,540,600,177594
2021-12-31,645,2450,570,2175,259950
2022-12-31,2190,2580,1830,2000,140508
2023-12-31,2000,2245,990,1000,126709
2024-12-31,1050,1600,925,1065,121390
2025-12-31,1090,2130,865,1410,532258
2026-12-31,1365,2165,1265,1995,346783
