Date,Open,High,Low,Close,Volume
2000-11-30,504,537,504,537,33786
2000-12-31,537,545,537,537,19069
2001-01-31,537,559,537,559,9835
2001-02-28,559,587,559,587,243837
2001-03-31,579,579,571,579,59826
2001-04-30,579,579,579,579,7748
2001-05-31,579,579,579,579,7092
2001-06-30,579,591,579,591,121680
2001-07-31,591,598,591,598,392746
2001-08-31,598,598,598,598,11263
2001-09-30,598,598,598,598,37839
2001-10-31,598,599,598,599,82173
2001-11-30,599,604,599,604,17459
2001-12-31,604,604,604,604,22765
2002-01-31,604,613,604,613,353118
2002-02-28,613,636,613,636,35276
2002-03-31,636,655,636,655,44990
2002-04-30,658,705,658,705,91706
2002-05-31,764,764,761,764,10081
2002-06-30,764,829,764,829,15447
2002-07-31,829,829,829,829,31946
2002-08-31,829,834,829,833,25105
2002-09-30,833,833,833,833,16237
2002-10-31,833,833,822,833,28967
2002-11-30,833,833,822,822,106248
2002-12-31,833,833,822,833,215736
2003-01-31,833,833,811,811,203510
2003-02-28,833,834,833,833,139549
2003-03-31,833,833,833,833,19981
2003-04-30,833,833,833,833,21212
2003-05-31,833,833,833,833,13867
2003-06-30,833,837,822,833,29195
2003-07-31,833,833,818,833,73400
2003-08-31,822,833,822,822,6020
2003-09-30,822,833,822,833,43061
2003-10-31,831,833,831,833,47488
2003-11-30,833,833,833,833,570748
2003-12-31,833,835,833,835,25819
2004-01-31,835,844,835,844,31477
2004-02-29,844,844,844,844,62225
2004-03-31,844,844,844,844,78784
2004-04-30,844,844,844,844,25408
2004-05-31,844,844,844,844,12271
2004-06-30,844,844,804,815,28920
2004-07-31,815,833,815,833,23494
2004-08-31,833,833,833,833,27144
2004-09-30,833,835,833,833,27553
2004-10-31,833,844,833,844,28694
2004-11-30,844,844,833,833,22662
2004-12-31,833,836,833,836,29855
2005-01-31,836,841,834,841,18405
2005-02-28,841,841,841,841,275502
2005-03-31,841,847,841,847,37762
2005-04-30,841,847,841,847,11904
2005-05-31,847,847,847,847,36621
2005-06-30,847,847,836,836,50847
2005-07-31,836,847,836,847,19129
2005-08-31,836,847,836,836,44532
2005-09-30,836,836,836,836,111146
2005-10-31,836,836,825,832,36715
2005-11-30,832,832,832,832,20221
2005-12-31,832,836,832,836,24809
2006-01-31,836,838,836,836,75475
2006-02-28,836,836,836,836,75747
2006-03-31,836,836,836,836,30172
2006-04-30,836,836,836,836,32399
2006-05-31,836,836,797,836,31354
2006-06-30,836,836,814,836,37079
2006-07-31,836,836,810,836,39987
2006-08-31,836,836,825,825,74568
2006-09-30,825,836,825,836,24493
2006-10-31,825,836,825,836,24219
2006-11-30,836,836,836,836,14314
2006-12-31,836,836,814,836,36624
2007-01-31,836,836,814,825,53208
2007-02-28,825,825,803,803,37806
2007-03-31,803,836,803,821,14541
2007-04-30,821,825,821,825,22357
2007-05-31,825,825,803,803,11041
2007-06-30,803,825,803,825,60662
2007-07-31,825,825,803,825,54755
2007-08-31,825,830,825,830,110465
2007-09-30,830,830,825,825,44576
2007-10-31,827,827,825,827,269002
2007-11-30,830,830,827,827,191801
2007-12-31,830,830,814,827,24174
2008-01-31,814,825,814,825,4906
2008-02-29,825,825,814,814,20628
2008-03-31,825,836,825,836,173306
2008-04-30,880,880,880,880,148452
2008-05-31,880,880,880,880,7679
2008-06-30,830,876,830,876,22175
2008-07-31,880,880,880,880,23401
2008-08-31,880,902,880,902,81703
2008-09-30,902,911,902,911,96286
2008-10-31,911,980,911,980,68885
2008-11-30,980,980,979,979,110372
2008-12-31,979,980,979,979,124412
2009-01-31,979,984,979,984,108326
2009-02-28,984,984,984,984,127276
2009-03-31,984,984,984,984,28036
2009-04-30,984,984,984,984,36122
2009-05-31,984,1016,984,1016,14901
2009-06-30,1016,1016,1015,1015,32172
2009-07-31,1015,1015,1015,1015,111101
2009-08-31,1015,1015,990,1015,87699
2009-09-30,1015,1054,1012,1054,38081
2009-10-31,1054,1078,1054,1078,19806
2009-11-30,1078,1089,1078,1089,18901
2009-12-31,1089,1139,1089,1139,71396
2010-01-31,1139,1164,1139,1164,134382
2010-02-28,1164,1164,1139,1164,123798
2010-03-31,1164,1164,1164,1164,31061
2010-04-30,1164,1164,1164,1164,16561
2010-05-31,1164,1164,1151,1151,22620
2010-06-30,1151,1163,1151,1163,23375
2010-07-31,1163,1163,1155,1163,226960
2010-08-31,1163,1220,1161,1200,1140120
2010-09-30,1188,1200,1188,1200,145840
2010-10-31,1200,1200,1200,1200,99320
2010-11-30,1200,1200,1199,1200,21680
2010-12-31,1188,1200,1185,1200,39280
2011-01-31,1200,1200,1200,1200,62400
2011-02-28,1200,1200,1200,1200,30520
2011-03-31,1200,1200,1200,1200,38280
2011-04-30,1200,1200,1200,1200,25840
2011-05-31,1200,1200,1188,1200,88560
2011-06-30,1200,1200,1188,1188,35280
2011-07-31,1188,1200,1175,1200,110800
2011-08-31,1200,1200,1175,1200,31880
2011-09-30,1186,1200,1175,1183,40480
2011-10-31,1183,1200,1183,1200,71600
2011-11-30,1200,1200,1200,1200,55840
2011-12-31,1200,1200,1198,1200,62760
2012-01-31,1200,1200,1200,1200,132120
2012-02-29,1200,1225,1200,1225,38040
2012-03-31,1226,1375,1226,1350,26200
2012-04-30,1350,1375,1338,1338,27560
2012-05-31,1338,1350,1338,1350,68840
2012-06-30,1350,1363,1350,1363,48560
2012-07-31,1363,1363,1350,1350,61400
2012-08-31,1363,1375,1350,1364,14240
2012-09-30,1363,1400,1363,1375,137440
2012-10-31,1375,1375,1360,1360,83280
2012-11-30,1350,1478,1350,1375,148400
2012-12-31,1375,1378,1375,1375,1364160
2013-01-31,1375,1413,1375,1413,232160
2013-02-28,1413,1425,1413,1425,7760
2013-03-31,1413,1475,1413,1475,32640
2013-04-30,1465,1475,1465,1475,3640
2013-05-31,1400,1500,1400,1500,210560
2013-06-30,1525,1525,1475,1478,303360
2013-07-31,1478,1500,1475,1500,79760
2013-08-31,1478,1500,1475,1500,30680
2013-09-30,1500,1615,1478,1478,64080
2013-10-31,1478,1500,1478,1500,289800
2013-11-30,1475,1513,1475,1500,163840
2013-12-31,1613,1613,1500,1504,193360
2014-01-31,1504,1525,1500,1500,108440
2014-02-28,1500,1500,1488,1500,60600
2014-03-31,1513,1525,1500,1501,73480
2014-04-30,1505,1625,1500,1625,15960
2014-05-31,1625,1625,1463,1475,15800
2014-06-30,1463,1500,1463,1488,19240
2014-07-31,1488,1488,1425,1438,65880
2014-08-31,1450,1700,1440,1700,80040
2014-09-30,1713,1875,1588,1875,340760
2014-10-31,1875,2125,1875,1950,17680
2014-11-30,1875,2225,1800,2000,58160
2014-12-31,2000,2050,1950,2050,34680
2015-01-31,2050,2300,2000,2300,227760
2015-02-28,2300,2306,2275,2300,12560
2015-03-31,2250,3000,2250,2750,125200
