Date,Open,High,Low,Close,Volume
2000-12-31,504,545,504,537,52855
2001-03-31,537,587,537,579,313498
2001-06-30,579,591,579,591,136520
2001-09-30,591,598,591,598,441848
2001-12-31,598,604,598,604,122397
2002-03-31,604,655,604,655,433384
2002-06-30,658,829,658,829,117234
2002-09-30,829,834,829,833,73288
2002-12-31,833,833,822,833,350951
2003-03-31,833,834,811,833,363040
2003-06-30,833,837,822,833,64274
2003-09-30,833,833,818,833,122481
2003-12-31,831,835,831,835,644055
2004-03-31,835,844,835,844,172486
2004-06-30,844,844,804,815,66599
2004-09-30,815,835,815,833,78191
2004-12-31,833,844,833,836,81211
2005-03-31,836,847,834,847,331669
2005-06-30,841,847,836,836,99372
2005-09-30,836,847,836,836,174807
2005-12-31,836,836,825,836,81745
2006-03-31,836,838,836,836,181394
2006-06-30,836,836,797,836,100832
2006-09-30,836,836,810,836,139048
2006-12-31,825,836,814,836,75157
2007-03-31,836,836,803,821,105555
2007-06-30,821,825,803,825,94060
2007-09-30,825,830,803,825,209796
2007-12-31,827,830,814,827,484977
2008-03-31,814,836,814,836,198840
2008-06-30,880,880,830,876,178306
2008-09-30,880,911,880,911,201390
2008-12-31,911,980,911,979,303669
2009-03-31,979,984,979,984,263638
2009-06-30,984,1016,984,1015,83195
2009-09-30,1015,1054,990,1054,236881
2009-12-31,1054,1139,1054,1139,110103
2010-03-31,1139,1164,1139,1164,289241
2010-06-30,1164,1164,1151,1163,62556
2010-09-30,1163,1220,1155,1200,1512920
2010-12-31,1200,1200,1185,1200,160280
2011-03-31,1200,1200,1200,1200,131200
2011-06-30,1200,1200,1188,1188,149680
2011-09-30,1188,1200,1175,1183,183160
2011-12-31,1183,1200,1183,1200,190200
2012-03-31,1200,1375,1200,1350,196360
2012-06-30,1350,1375,1338,1363,144960
2012-09-30,1363,1400,1350,1375,213080
2012-12-31,1375,1478,1350,1375,1595840
2013-03-31,1375,1475,1375,1475,272560
2013-06-30,1465,1525,1400,1478,517560
2013-09-30,1478,1615,1475,1478,174520
2013-12-31,1478,1613,1475,1504,647000
2014-03-31,1504,1525,1488,1501,242520
2014-06-30,1505,1625,1463,1488,51000
2014-09-30,1488,1875,1425,1875,486680
2014-12-31,1875,2225,1800,2050,110520
2015-03-31,2050,3000,2000,2750,365520
2015-06-30,2750,3150,2524,2875,240040
2015-09-30,2875,3359,2750,3175,270800
2015-12-31,3125,3375,3000,3250,301120
2016-03-31,3253,7788,3250,5253,453720
2016-06-30,4859,5500,3925,5000,385040
2016-09-30,4813,5250,4600,4600,106240
2016-12-31,4500,4600,3816,4200,237320
2017-03-31,4200,5691,3950,5500,456400
2017-06-30,5625,5650,4700,4800,345100
2017-09-30,4750,4750,3515,3900,137260
2017-12-31,3875,3900,3185,3725,281996
2018-03-31,3600,3600,3000,3350,221094
2018-06-30,3300,3300,2105,2498,142450
2018-09-30,2498,2648,2010,2098,168336
2018-12-31,2025,2100,1303,2100,321560
2019-03-31,2000,2200,1528,2000,158784
2019-06-30,2000,2250,1550,1600,158942
2019-09-30,1595,1850,1503,1800,128596
2019-12-31,1800,2013,1598,1805,128182
2020-03-31,1850,1998,1700,1725,161256
2020-06-30,1725,1988,1500,1900,321066
2020-09-30,1875,1875,1648,1748,183676
2020-12-31,1745,1850,1703,1848,189950
2021-03-31,1800,2050,1775,2000,393960
2021-06-30,2000,2095,1795,2000,136320
2021-09-30,1950,2800,1900,2800,155352
2021-12-31,2768,3000,2545,2650,144400
2022-03-31,2625,3490,2550,3308,155122
2022-06-30,3328,3350,2700,3050,187616
2022-09-30,3100,3328,2950,2950,138946
2022-12-31,2950,3050,2720,2975,159176
2023-03-31,2995,3325,2745,3090,271732
2023-06-30,3095,3200,2798,2890,301054
2023-09-30,2890,3250,2878,3125,217392
2023-12-31,3125,3350,3100,3180,264292
2024-03-31,3180,3473,3148,3470,240046
2024-06-30,3470,3675,3150,3375,325744
2024-09-30,3375,4895,3328,4855,221602
2024-12-31,4850,4850,3245,3685,244237
2025-03-31,3685,4750,3145,4700,237441
2025-06-30,4700,4900,4210,4500,468900
2025-09-30,4500,5300,4010,4965,1239322
2025-12-31,5000,6100,4815,5850,612776
2026-03-31,5850,8000,5845,7500,285611
2026-06-30,7500,9500,7005,9025,354779
2026-09-30,9025,9995,8350,9990,235539
