Date,Open,High,Low,Close,Volume
2000-11-20,504,504.0,504.0,504,26159
2000-11-27,520,537.0,520.0,537,6495
2000-12-04,537,537.0,537.0,537,11024
2000-12-11,537,545.0,537.0,545,4171
2000-12-18,537,537.0,537.0,537,1907
2000-12-25,537,537.0,537.0,537,1311
2001-01-01,537,537.0,537.0,537,1788
2001-01-08,537,537.0,537.0,537,2384
2001-01-15,537,545.0,537.0,545,1431
2001-01-22,554,554.0,554.0,554,2742
2001-01-29,554,554.0,554.0,554,1550
2001-02-05,559,559.0,559.0,559,233824
2001-02-12,559,566.0,559.0,566,1431
2001-02-19,567,571.0,567.0,571,954
2001-02-26,579,587.0,579.0,587,1848
2001-03-05,587,587.0,579.0,579,57026
2001-03-12,579,579.0,571.0,579,3575
2001-03-19,579,579.0,579.0,579,1608
2001-03-26,579,579.0,579.0,579,1550
2001-04-02,579,579.0,579.0,579,4171
2001-04-09,579,579.0,579.0,579,1490
2001-04-16,579,579.0,579.0,579,1192
2001-04-23,579,579.0,579.0,579,2682
2001-04-30,579,579.0,579.0,579,1788
2001-05-07,579,579.0,579.0,579,1788
2001-05-14,579,579.0,579.0,579,2205
2001-05-21,579,579.0,579.0,579,1192
2001-05-28,579,579.0,579.0,579,1311
2001-06-04,579,579.0,579.0,579,1192
2001-06-11,584,587.0,584.0,587,63759
2001-06-18,587,587.0,587.0,587,3159
2001-06-25,587,589.0,587.0,589,49697
2001-07-02,589,591.0,589.0,591,30211
2001-07-09,591,592.0,591.0,592,21512
2001-07-16,592,596.0,592.0,596,13050
2001-07-23,598,598.0,598.0,598,291028
2001-07-30,598,598.0,598.0,598,41414
2001-08-06,598,598.0,598.0,598,596
2001-08-13,598,598.0,598.0,598,2503
2001-08-20,598,598.0,598.0,598,1788
2001-08-27,598,598.0,598.0,598,4350
2001-09-03,598,598.0,598.0,598,2979
2001-09-10,598,598.0,598.0,598,2265
2001-09-17,598,598.0,598.0,598,8045
2001-09-24,598,598.0,598.0,598,14599
2001-10-01,598,598.0,598.0,598,12752
2001-10-08,598,598.0,598.0,598,7151
2001-10-15,598,598.0,598.0,598,10726
2001-10-22,598,599.0,598.0,599,42427
2001-10-29,599,599.0,599.0,599,12156
2001-11-05,599,599.0,599.0,599,15492
2001-11-12,599,599.0,599.0,599,2145
2001-11-19,599,599.0,599.0,599,2086
2001-11-26,599,599.0,599.0,599,4350
2001-12-03,604,604.0,604.0,604,2920
2001-12-10,604,604.0,604.0,604,9356
2001-12-17,604,604.0,604.0,604,6257
2001-12-24,604,604.0,604.0,604,4172
2001-12-31,604,604.0,604.0,604,2384
2002-01-07,604,604.0,604.0,604,298834
2002-01-14,604,604.0,604.0,604,5482
2002-01-21,604,613.0,604.0,613,40579
2002-01-28,613,613.0,613.0,613,3158
2002-02-04,613,613.0,613.0,613,5661
2002-02-11,613,616.0,613.0,616,3992
2002-02-18,618,618.0,618.0,618,7449
2002-02-25,623,624.0,623.0,624,13705
2002-03-04,626,636.0,626.0,636,10726
2002-03-11,636,637.0,636.0,637,13109
2002-03-18,640,643.0,640.0,643,12812
2002-03-25,646,647.0,646.0,647,3933
2002-04-01,654,655.0,654.0,655,13944
2002-04-08,658,661.0,658.0,661,5125
2002-04-15,661,665.0,661.0,665,5840
2002-04-22,671,696.0,671.0,696,71446
2002-04-29,696,705.0,696.0,705,9295
2002-05-20,764,764.0,761.0,761,5546
2002-05-27,761,764.0,761.0,764,2703
2002-06-03,764,764.0,764.0,764,2290
2002-06-10,764,765.0,764.0,765,3071
2002-06-17,779,820.0,779.0,820,3300
2002-06-24,819,829.0,819.0,829,8618
2002-07-08,829,829.0,829.0,829,4813
2002-07-15,829,829.0,829.0,829,13017
2002-07-22,829,829.0,829.0,829,12191
2002-07-29,829,829.0,829.0,829,1925
2002-08-12,829,829.0,829.0,829,12284
2002-08-19,829,833.0,829.0,833,1279
2002-08-26,833,834.0,833.0,833,9124
2002-09-02,833,833.0,833.0,833,2874
2002-09-09,833,833.0,833.0,833,6843
2002-09-16,833,833.0,833.0,833,4743
2002-09-23,833,833.0,833.0,833,1915
2002-09-30,833,833.0,833.0,833,2280
2002-10-07,833,833.0,833.0,833,1824
2002-10-14,833,833.0,833.0,833,10264
2002-10-21,833,833.0,833.0,833,4608
2002-10-28,833,833.0,822.0,822,2280
2002-11-04,829,833.0,829.0,833,10447
2002-11-11,822,833.0,822.0,833,2144
2002-11-18,833,833.0,822.0,822,1049
2002-11-25,833,833.0,822.0,833,98083
2002-12-02,833,833.0,822.0,822,4516
2002-12-09,833,833.0,833.0,833,1368
2002-12-16,833,833.0,833.0,833,3741
2002-12-23,833,833.0,822.0,822,10994
2002-12-30,833,833.0,833.0,833,3468
2003-01-06,833,833.0,833.0,833,282980
2003-01-13,833,833.0,833.0,833,17791
2003-01-20,833,833.0,811.0,811,11588
2003-01-27,833,833.0,811.0,833,2509
2003-02-03,811,833.0,811.0,833,85263
2003-02-10,833,834.0,833.0,833,18887
2003-02-17,833,833.0,833.0,833,1642
2003-02-24,833,833.0,833.0,833,70436
2003-03-03,833,833.0,833.0,833,48584
2003-03-10,833,833.0,833.0,833,3056
2003-03-17,833,833.0,833.0,833,7299
2003-03-24,833,833.0,833.0,833,5018
2003-03-31,833,833.0,833.0,833,4152
2003-04-07,833,833.0,833.0,833,1779
2003-04-14,833,833.0,833.0,833,10857
2003-04-21,833,833.0,833.0,833,2007
2003-04-28,833,833.0,833.0,833,3558
2003-05-05,833,833.0,833.0,833,3832
2003-05-12,833,833.0,833.0,833,6979
2003-05-19,833,833.0,833.0,833,4562
2003-05-26,833,833.0,833.0,833,684
2003-06-02,833,833.0,833.0,833,1414
2003-06-09,833,837.0,833.0,837,3924
2003-06-16,837,837.0,833.0,837,7024
2003-06-23,837,837.0,833.0,833,15328
2003-06-30,833,833.0,822.0,833,2326
2003-07-07,833,833.0,818.0,822,3969
2003-07-14,822,822.0,822.0,822,4424
2003-07-21,822,822.0,822.0,822,10355
2003-07-28,822,822.0,822.0,822,8667
2003-08-04,822,833.0,822.0,822,48129
2003-08-11,833,833.0,833.0,833,456
2003-08-18,833,833.0,833.0,833,1368
2003-08-25,833,833.0,822.0,822,2052
2003-09-01,822,822.0,822.0,822,3786
2003-09-08,822,833.0,822.0,833,8119
2003-09-15,833,833.0,829.0,829,9809
2003-09-22,829,833.0,829.0,829,5929
2003-09-29,829,833.0,829.0,833,14369
2003-10-06,833,833.0,831.0,833,13092
2003-10-13,833,833.0,833.0,833,2007
2003-10-20,833,833.0,833.0,833,16787
2003-10-27,833,833.0,833.0,833,1551
2003-11-03,833,833.0,833.0,833,15556
2003-11-10,833,833.0,833.0,833,17883
2003-11-17,833,833.0,833.0,833,533797
2003-11-24,833,833.0,833.0,833,14781
2003-12-01,833,833.0,833.0,833,4287
2003-12-08,833,833.0,833.0,833,7983
2003-12-15,833,833.0,833.0,833,3285
2003-12-22,833,833.0,833.0,833,9032
2003-12-29,833,835.0,833.0,835,3467
2004-01-05,835,835.0,835.0,835,4333
2004-01-12,835,835.0,835.0,835,12317
2004-01-19,844,844.0,844.0,844,11725
2004-01-26,844,844.0,844.0,844,3056
2004-02-02,844,844.0,844.0,844,1642
2004-02-09,844,844.0,844.0,844,45391
2004-02-16,844,844.0,844.0,844,9945
2004-02-23,844,844.0,844.0,844,3057
2004-03-01,844,844.0,844.0,844,4151
2004-03-08,844,844.0,844.0,844,183
2004-03-15,844,844.0,844.0,844,3467
2004-03-22,844,844.0,844.0,844,65145
2004-03-29,844,844.0,844.0,844,4561
2004-04-05,844,844.0,844.0,844,8119
2004-04-12,844,844.0,844.0,844,5246
2004-04-19,844,844.0,844.0,844,2509
2004-04-26,844,844.0,844.0,844,2782
2004-05-03,844,844.0,844.0,844,12317
2004-05-10,844,844.0,844.0,844,7984
2004-05-17,844,844.0,844.0,844,1140
2004-05-24,844,844.0,844.0,844,958
2004-05-31,844,844.0,844.0,844,1733
2004-06-07,844,844.0,844.0,844,2190
2004-06-14,844,844.0,844.0,844,3238
2004-06-21,844,844.0,804.0,815,8439
2004-06-28,833,833.0,815.0,817,11632
2004-07-05,815,815.0,815.0,815,7025
2004-07-12,815,822.0,815.0,822,7208
2004-07-19,822,822.0,822.0,822,6842
2004-07-26,822,822.0,822.0,822,1825
2004-08-02,824,833.0,824.0,833,4015
2004-08-09,833,833.0,833.0,833,8577
2004-08-16,833,833.0,833.0,833,6022
2004-08-23,833,833.0,833.0,833,4973
2004-08-30,833,833.0,833.0,833,4014
2004-09-06,833,833.0,833.0,833,11176
2004-09-13,833,833.0,833.0,833,4654
2004-09-20,833,833.0,833.0,833,1231
2004-09-27,835,835.0,833.0,833,13457
2004-10-04,833,833.0,833.0,833,9717
2004-10-11,833,833.0,833.0,833,6158
2004-10-18,833,833.0,833.0,833,5885
2004-10-25,833,833.0,833.0,833,456
2004-11-01,833,844.0,833.0,844,7071
2004-11-08,844,844.0,833.0,833,11997
2004-11-15,833,833.0,833.0,833,6022
2004-11-22,833,833.0,833.0,833,2916
2004-11-29,833,833.0,833.0,833,1363
2004-12-06,833,833.0,833.0,833,2091
2004-12-13,833,833.0,833.0,833,1272
2004-12-20,833,833.0,833.0,833,7861
