Date,Open,High,Low,Close,Volume
2000-12-31,504,545,504,537,52855
2001-12-31,537,604,537,604,1014263
2002-12-31,604,834,604,833,974857
2003-12-31,833,837,811,835,1193850
2004-12-31,835,844,804,836,398487
2005-12-31,836,847,825,836,687593
2006-12-31,836,838,797,836,496431
2007-12-31,836,836,803,827,894388
2008-12-31,814,980,814,979,882205
2009-12-31,979,1139,979,1139,693817
2010-12-31,1139,1220,1139,1200,2024997
2011-12-31,1200,1200,1175,1200,654240
2012-12-31,1200,1478,1200,1375,2150240
2013-12-31,1375,1615,1375,1504,1611640
2014-12-31,1504,2225,1425,2050,890720
2015-12-31,2050,3375,2000,3250,1177480
2016-12-31,3253,7788,3250,4200,1182320
2017-12-31,4200,5691,3185,3725,1220756
2018-12-31,3600,3600,1303,2100,853440
2019-12-31,2000,2250,1503,1805,574504
2020-12-31,1850,1998,1500,1848,855948
2021-12-31,1800,3000,1775,2650,830032
2022-12-31,2625,3490,2550,2975,640860
2023-12-31,2995,3350,2745,3180,1054470
2024-12-31,3180,4895,3148,3685,1031629
2025-12-31,3685,6100,3145,5850,2558439
2026-12-31,5850,9500,5845,9400,837603
