Date,Open,High,Low,Close,Volume
2011-01-31,518,565,518,562,432208
2011-02-28,563,566,562,566,44158
2011-03-31,572,635,572,580,40244
2011-04-30,580,590,580,581,86056
2011-05-31,580,590,562,580,82196
2011-06-30,580,609,580,609,38240
2011-07-31,590,648,590,609,29507
2011-08-31,609,629,609,629,49828
2011-09-30,629,629,629,629,43475
2011-10-31,629,629,626,626,8048
2011-11-30,617,636,617,617,35936
2011-12-31,617,634,598,633,122488
2012-01-31,636,675,617,675,125444
2012-02-29,675,675,671,675,61036
2012-03-31,687,694,687,694,19290
2012-04-30,694,694,694,694,6585
2012-05-31,694,706,675,706,47659
2012-06-30,706,717,706,714,15193
2012-07-31,713,723,713,723,9024
2012-08-31,733,848,733,848,12447
2012-09-30,848,848,848,848,25358
2012-10-31,848,848,848,848,27433
2012-11-30,848,849,848,848,15401
2012-12-31,848,912,848,848,21210
2013-01-31,852,918,852,918,20484
2013-02-28,854,860,854,860,6276
2013-03-31,862,1446,862,1446,64045
2013-04-30,1446,1543,1319,1350,81105
2013-05-31,1350,1578,1350,1485,50613
2013-06-30,1562,1808,1446,1604,55787
2013-07-31,1604,1723,1604,1723,25721
2013-08-31,1757,1757,1723,1724,28044
2013-09-30,1723,1723,1687,1711,23357
2013-10-31,1712,1928,1690,1868,24848
2013-11-30,1868,1977,1868,1977,25636
2013-12-31,2049,2049,1952,1952,24973
2014-01-31,1957,1977,1952,1977,11659
2014-02-28,1979,2049,1977,2049,29538
2014-03-31,2049,2232,2049,2232,10993
2014-04-30,2266,2386,2266,2290,19745
2014-05-31,2169,2169,2001,2109,59037
2014-06-30,2097,2097,1952,2049,84216
2014-07-31,2049,2073,1965,2073,107322
2014-08-31,2049,2169,2049,2097,140676
2014-09-30,2169,2483,2169,2375,368056
2014-10-31,2275,2350,2138,2275,38800
2014-11-30,2138,2275,2138,2250,19360
2014-12-31,2250,2300,2125,2250,99320
2015-01-31,2250,2375,2250,2375,109640
2015-02-28,2300,2413,2300,2375,89960
2015-03-31,2375,2490,2375,2475,102400
2015-04-30,2475,2660,2450,2500,139120
2015-05-31,2450,2450,2000,2363,111960
2015-06-30,2364,2453,2364,2400,144080
