Date,Open,High,Low,Close,Volume
2011-01-03,518,518.0,518.0,518,15712
2011-01-10,544,544.0,535.0,542,269745
2011-01-17,541,562.0,541.0,562,74865
2011-01-24,562,565.0,562.0,565,22822
2011-01-31,562,563.0,562.0,562,49064
2011-02-07,563,564.0,562.0,562,23926
2011-02-14,562,566.0,562.0,566,20232
2011-03-07,572,635.0,572.0,635,16869
2011-03-14,635,635.0,580.0,580,13121
2011-03-21,580,580.0,580.0,580,7277
2011-03-28,580,580.0,580.0,580,2922
2011-04-04,580,580.0,580.0,580,23926
2011-04-11,580,581.0,580.0,581,24256
2011-04-18,582,590.0,582.0,590,1268
2011-05-02,581,581.0,581.0,581,36661
2011-05-09,580,580.0,562.0,562,18633
2011-05-16,580,590.0,562.0,590,33353
2011-05-23,590,590.0,581.0,581,11521
2011-05-30,580,580.0,580.0,580,18413
2011-06-06,580,580.0,580.0,580,2591
2011-06-13,590,590.0,590.0,590,827
2011-06-20,590,599.0,590.0,590,9319
2011-06-27,609,609.0,609.0,609,23784
2011-07-04,609,609.0,609.0,609,1995
2011-07-11,590,590.0,590.0,590,578
2011-07-18,590,609.0,590.0,609,19584
2011-07-25,609,648.0,609.0,648,7875
2011-08-01,609,609.0,609.0,609,1470
2011-08-08,609,609.0,609.0,609,6195
2011-08-15,629,629.0,629.0,629,21054
2011-08-22,629,629.0,629.0,629,10554
2011-08-29,629,629.0,629.0,629,11867
2011-09-05,629,629.0,629.0,629,22997
2011-09-12,629,629.0,629.0,629,5566
2011-09-19,629,629.0,629.0,629,9608
2011-09-26,629,629.0,629.0,629,3676
2011-10-03,629,629.0,629.0,629,2049
2011-10-10,629,629.0,629.0,629,473
2011-10-17,629,629.0,627.0,627,6690
2011-10-24,626,626.0,626.0,626,622
2011-11-14,617,617.0,617.0,617,1037
2011-11-28,617,636.0,617.0,617,33084
2011-12-05,617,617.0,617.0,617,2593
2011-12-12,617,617.0,613.0,613,41589
2011-12-19,617,617.0,598.0,598,46620
2011-12-26,617,633.0,617.0,617,9387
2012-01-02,634,634.0,633.0,633,24114
2012-01-09,636,636.0,617.0,634,8868
2012-01-16,636,636.0,636.0,636,112997
2012-01-23,675,675.0,675.0,675,622
2012-01-30,675,675.0,675.0,675,1453
2012-02-06,675,675.0,675.0,675,14209
2012-02-13,675,675.0,675.0,675,10060
2012-02-20,675,675.0,671.0,671,27277
2012-02-27,673,673.0,673.0,673,6379
2012-03-05,675,687.0,675.0,687,5237
2012-03-12,694,694.0,694.0,694,6742
2012-03-19,694,694.0,694.0,694,6223
2012-03-26,694,694.0,694.0,694,4200
2012-04-02,694,694.0,694.0,694,1607
2012-04-09,694,694.0,694.0,694,207
2012-04-16,694,694.0,694.0,694,2748
2012-04-23,694,694.0,694.0,694,156
2012-04-30,694,694.0,694.0,694,3370
2012-05-07,694,694.0,675.0,694,23388
2012-05-14,696,696.0,696.0,696,5653
2012-05-21,696,697.0,696.0,697,15091
2012-05-28,699,699.0,699.0,699,3060
2012-06-04,706,706.0,706.0,706,1815
2012-06-11,706,713.0,706.0,713,2022
2012-06-18,713,717.0,713.0,717,9645
2012-06-25,713,713.0,713.0,713,1504
2012-07-02,714,714.0,713.0,713,2022
2012-07-09,713,713.0,713.0,713,363
2012-07-16,713,713.0,713.0,713,104
2012-07-23,714,723.0,714.0,723,5031
2012-07-30,723,723.0,723.0,723,2178
2012-08-06,733,733.0,733.0,733,519
2012-08-13,735,735.0,735.0,735,415
2012-08-20,790,848.0,790.0,848,1608
2012-08-27,848,848.0,848.0,848,3060
2012-09-03,848,848.0,848.0,848,8764
2012-09-10,848,848.0,848.0,848,8816
2012-09-17,848,848.0,848.0,848,6741
2012-09-24,848,848.0,848.0,848,5808
2012-10-01,848,848.0,848.0,848,2126
2012-10-08,848,848.0,848.0,848,8297
2012-10-15,848,848.0,848.0,848,11616
2012-10-22,848,848.0,848.0,848,4097
2012-10-29,848,848.0,848.0,848,2386
2012-11-05,848,848.0,848.0,848,3267
2012-11-12,848,848.0,848.0,848,3941
2012-11-19,848,849.0,848.0,849,3578
2012-11-26,849,849.0,849.0,849,2178
2012-12-03,848,848.0,848.0,848,3941
2012-12-10,848,848.0,848.0,848,3215
2012-12-17,848,912.0,848.0,912,1763
2012-12-24,848,848.0,848.0,848,5238
2012-12-31,848,848.0,848.0,848,10475
2013-01-07,852,852.0,852.0,852,2230
2013-01-14,852,852.0,852.0,852,1607
2013-01-21,858,858.0,854.0,854,14676
2013-01-28,854,854.0,854.0,854,1556
2013-02-04,918,918.0,854.0,854,1452
2013-02-11,854,854.0,854.0,854,1504
2013-02-18,858,860.0,858.0,860,1712
2013-02-25,860,860.0,860.0,860,1504
2013-03-04,860,860.0,860.0,860,519
2013-03-11,862,862.0,862.0,862,2230
2013-03-18,868,1037.0,868.0,1037,4667
2013-03-25,965,1287.0,965.0,1287,43147
2013-04-01,1350,1446.0,1350.0,1446,14001
2013-04-08,1446,1543.0,1446.0,1543,74985
2013-04-15,1446,1543.0,1446.0,1543,2904
2013-04-22,1543,1543.0,1319.0,1319,2282
2013-04-29,1350,1350.0,1350.0,1350,934
2013-05-13,1350,1350.0,1350.0,1350,32463
2013-05-20,1350,1361.0,1350.0,1361,5912
2013-05-27,1464,1578.0,1464.0,1578,2385
2013-06-03,1578,1578.0,1485.0,1485,9853
2013-06-10,1562,1620.0,1446.0,1620,8868
2013-06-17,1741,1808.0,1711.0,1808,10247
2013-06-24,1808,1808.0,1516.0,1572,19788
2013-07-01,1572,1604.0,1572.0,1604,18377
2013-07-08,1604,1687.0,1604.0,1687,3071
2013-07-15,1699,1711.0,1699.0,1711,9832
2013-07-22,1711,1712.0,1711.0,1712,6555
2013-07-29,1723,1723.0,1723.0,1723,2696
2013-08-05,1723,1757.0,1723.0,1723,8006
2013-08-12,1723,1724.0,1723.0,1724,13193
2013-08-19,1724,1724.0,1723.0,1723,1659
2013-08-26,1724,1724.0,1723.0,1723,4398
2013-09-02,1723,1724.0,1723.0,1723,3277
2013-09-09,1687,1687.0,1687.0,1687,3858
2013-09-16,1687,1687.0,1687.0,1687,5435
2013-09-23,1687,1687.0,1687.0,1687,8048
2013-09-30,1687,1711.0,1687.0,1711,5601
2013-10-07,1712,1712.0,1690.0,1712,11574
2013-10-14,1712,1772.0,1712.0,1772,3485
2013-10-21,1748,1856.0,1748.0,1844,4977
2013-10-28,1856,1928.0,1856.0,1868,2572
2013-11-04,1871,1928.0,1868.0,1868,2738
2013-11-11,1928,1928.0,1883.0,1883,8255
2013-11-18,1883,1977.0,1883.0,1977,9168
2013-11-25,1928,1931.0,1928.0,1931,6637
