Date,Open,High,Low,Close,Volume
2010-04-12,602,602,602,602,23713
2010-04-22,633,633,633,633,391879
2010-05-12,685,685,685,685,854
2010-05-17,633,633,633,633,569109
2010-05-21,654,654,654,654,163429
2010-06-01,654,654,654,654,949
2010-06-04,654,654,654,654,474
2010-06-10,654,654,654,654,474
2010-06-15,654,654,654,654,711
2010-06-23,633,633,633,633,569
2010-06-24,633,633,633,633,854
2010-06-25,633,633,633,633,3557
2010-06-29,633,633,633,633,522
2010-06-30,633,633,633,633,17073
2010-07-01,633,633,633,633,19445
2010-07-02,633,633,633,633,617
2010-07-05,633,633,633,633,9485
2010-07-06,633,633,633,633,6829
2010-07-08,633,633,633,633,12331
2010-07-12,633,633,633,633,1612
2010-07-13,633,633,633,633,95
2010-07-15,611,611,611,611,1518
2010-07-16,633,633,633,633,2371
2010-07-19,633,633,633,633,1233
2010-07-20,633,633,633,633,474
2010-07-21,633,633,633,633,47
2010-07-22,633,633,633,633,3320
2010-07-23,633,633,633,633,1328
2010-07-26,633,633,633,633,2371
2010-07-27,633,633,633,633,1897
2010-07-28,633,633,633,633,1660
2010-07-29,633,633,633,633,9438
2010-07-30,633,633,633,633,20393
2010-08-02,633,633,633,633,427
2010-08-03,633,633,633,633,9533
2010-08-05,633,633,633,633,12805
2010-08-06,633,633,633,633,11382
2010-08-09,633,633,633,633,2371
2010-08-10,633,633,633,633,1470
2010-08-12,633,633,633,633,1897
2010-08-13,633,633,633,633,2893
2010-08-16,633,633,633,633,4031
2010-08-18,622,622,622,622,1328
2010-08-19,622,622,622,622,2703
2010-08-23,622,622,622,622,1186
2010-08-24,612,612,612,612,2371
2010-08-25,601,601,601,601,3462
2010-08-26,590,590,590,590,5075
2010-08-30,591,591,591,591,711
2010-08-31,590,590,590,590,569
2010-09-01,591,591,591,591,379
2010-09-02,590,590,590,590,854
2010-09-03,590,590,590,590,4837
2010-09-07,590,590,590,590,2798
2010-09-08,590,590,590,590,4743
2010-09-09,590,590,590,590,2371
2010-09-13,590,590,590,590,7114
2010-09-14,590,590,590,590,9485
2010-09-15,590,590,590,590,3083
2010-09-16,590,590,590,590,4743
2010-09-20,590,590,590,590,1612
2010-09-21,590,590,590,590,806
2010-09-22,590,590,590,590,2988
2010-09-23,590,590,590,590,949
2010-09-27,590,590,590,590,2371
2010-09-28,586,586,586,586,40359
2010-10-01,580,580,580,580,49797
2010-10-04,580,580,580,580,8537
2010-10-05,580,580,580,580,664
2010-10-06,580,580,580,580,1897
2010-10-07,580,580,580,580,2371
2010-10-08,580,580,580,580,47
2010-10-13,580,580,580,580,4268
2010-10-15,580,580,580,580,130753
2010-10-18,580,580,580,580,38415
2010-10-20,580,580,580,580,806
2010-10-21,580,580,580,580,332
2010-10-22,580,580,580,580,3557
2010-10-25,580,580,580,580,2846
2010-10-26,578,578,578,578,1897
2010-10-27,578,578,578,578,5169
2010-10-28,590,590,590,590,12141
2010-10-29,590,590,590,590,4079
2010-11-02,590,590,590,590,5739
2010-11-03,590,590,590,590,23760
2010-11-04,590,590,590,590,9485
2010-11-05,590,590,590,590,9959
2010-11-08,590,590,590,590,9817
2010-11-09,590,590,590,590,7588
2010-11-11,590,590,590,590,711
2010-11-17,590,590,590,590,1375
2010-11-18,590,590,590,590,237
2010-11-24,590,590,590,590,237
2010-11-25,590,590,590,590,95
2010-11-26,590,590,590,590,711
2010-11-30,611,611,611,611,711
2010-12-01,611,611,611,611,996
2010-12-02,611,611,611,611,95
2010-12-03,611,611,611,611,949
2010-12-08,611,611,611,611,1375
2010-12-10,611,611,611,611,2371
2010-12-13,633,633,633,633,23808
2010-12-14,611,611,611,611,1186
2010-12-15,633,633,633,633,6972
2010-12-16,633,633,633,633,2466
2010-12-17,633,633,633,633,1423
2010-12-20,633,633,633,633,1186
2010-12-21,633,633,633,633,4790
2010-12-22,633,633,633,633,996
2010-12-24,633,633,633,633,1186
2010-12-27,633,633,633,633,1186
2011-01-03,633,633,633,633,47
2011-01-06,630,630,630,630,3747
2011-01-12,630,630,630,630,1565
2011-01-18,569,569,569,569,854
2011-01-19,611,611,611,611,1897
2011-01-24,611,611,611,611,1091
2011-01-25,611,611,611,611,854
2011-01-27,611,611,611,611,2324
2011-02-02,590,590,590,590,1423
2011-02-04,630,630,630,630,474
2011-02-10,633,633,633,633,23713
2011-04-14,611,611,611,611,1423
2011-04-15,590,590,590,590,2371
2011-04-18,590,590,590,590,2846
2011-04-20,590,590,590,590,1186
2011-04-21,590,590,590,590,2087
2011-05-04,590,590,590,590,1186
2011-05-05,590,590,590,590,1328
2011-05-11,590,590,590,590,14228
2011-05-12,590,590,590,590,13753
2011-05-13,590,590,590,590,18970
2011-05-16,590,590,590,590,237
2011-05-17,611,611,611,611,7541
2011-05-25,633,633,633,633,1375
2011-05-26,633,633,633,633,4743
2011-06-01,611,611,611,611,6213
2011-06-03,633,633,633,633,11951
2011-06-07,680,680,680,680,474
2011-06-08,633,633,633,633,617
2011-06-09,633,633,633,633,47
2011-06-14,590,590,590,590,617
2011-06-15,590,590,590,590,1233
2011-06-16,611,611,611,611,1992
2011-06-17,611,611,611,611,2751
2011-06-20,611,611,611,611,4031
2011-06-21,611,611,611,611,2893
2011-06-24,611,611,611,611,1992
2011-06-28,614,614,614,614,711
2011-06-29,614,614,614,614,474
2011-07-01,622,622,622,622,4031
2011-07-04,633,633,633,633,2656
2011-07-05,633,633,633,633,474
2011-07-06,633,633,633,633,6308
2011-07-08,633,633,633,633,2134
2011-07-11,633,633,633,633,1138
2011-07-12,633,633,633,633,3415
2011-07-13,633,633,633,633,142
2011-07-25,633,633,633,633,4743
2011-07-28,654,654,654,654,1186
2011-08-03,611,611,611,611,3415
2011-08-04,611,611,611,611,1186
2011-08-05,611,611,611,611,237
2011-08-09,611,611,611,611,617
2011-08-11,611,611,611,611,949
2011-08-16,611,611,611,611,854
2011-08-18,611,611,611,611,711
2011-08-19,611,611,611,611,2466
2011-08-22,611,611,611,611,1186
2011-08-23,611,611,611,611,4743
2011-08-24,611,611,611,611,901
2011-08-25,611,611,611,611,2561
2011-08-29,611,611,611,611,2229
2011-09-02,580,580,580,580,569
2011-09-05,580,580,580,580,95
2011-09-13,580,580,580,580,3984
2011-09-14,580,580,580,580,3130
2011-09-15,580,580,580,580,1233
2011-09-16,590,590,590,590,379
2011-09-19,590,590,590,590,1518
2011-09-20,590,590,590,590,47
2011-09-22,590,590,590,590,474
2011-09-23,601,601,601,601,9390
2011-09-26,601,601,601,601,190
2011-09-28,611,611,611,611,4837
2011-09-29,611,611,611,611,3794
2011-09-30,611,611,611,611,1091
2011-10-03,611,611,611,611,237
2011-10-04,611,611,611,611,237
2011-10-07,590,590,590,590,2846
2011-10-10,611,611,611,611,2371
2011-10-19,590,590,590,590,569
2011-10-20,590,590,590,590,4743
2011-10-24,610,610,610,610,4743
2011-10-25,611,611,611,611,1043
2011-10-27,611,611,611,611,5454
2011-10-28,611,611,611,611,33577
2011-10-31,593,593,593,593,949
2011-11-03,633,633,633,633,15888
2011-11-04,633,633,633,633,54540
2011-11-10,633,633,633,633,474
2011-11-11,633,633,633,633,2419
2011-11-14,633,633,633,633,711
2011-11-16,633,633,633,633,47
2011-11-17,633,633,633,633,474
2011-11-23,633,633,633,633,569
2011-11-24,633,633,633,633,664
2011-11-25,633,633,633,633,2561
2011-11-28,633,633,633,633,237
2011-12-02,633,633,633,633,1043
2011-12-05,633,633,633,633,1186
2011-12-06,633,633,633,633,1423
2011-12-08,630,630,630,630,949
2011-12-12,678,678,678,678,2371
2011-12-14,675,675,675,675,5407
2011-12-19,580,580,580,580,379
2011-12-23,577,577,577,577,4932
2011-12-27,577,577,577,577,4743
2011-12-30,590,590,590,590,23239
2012-01-04,611,611,611,611,331980
2012-01-19,590,590,590,590,3841
2012-01-23,589,589,589,589,2846
2012-01-24,590,590,590,590,5739
2012-01-25,612,612,612,612,6308
2012-01-26,612,612,612,612,1423
2012-01-30,611,611,611,611,5833
2012-02-01,611,611,611,611,332
2012-02-02,605,605,605,605,4268
2012-02-06,590,590,590,590,901
2012-02-08,590,590,590,590,1802
2012-02-14,590,590,590,590,379
2012-02-17,580,580,580,580,617
2012-02-20,580,580,580,580,1470
2012-02-22,580,580,580,580,47
2012-02-23,580,580,580,580,12331
2012-02-24,565,565,565,565,474
2012-02-27,569,569,569,569,522
2012-02-29,569,569,569,569,25562
2012-03-02,569,569,569,569,2846
2012-03-05,569,569,569,569,379
2012-03-08,559,559,559,559,711
2012-03-09,569,569,569,569,106044
2012-03-13,590,590,590,590,949
2012-03-15,590,590,590,590,11098
2012-03-16,590,590,590,590,8442
2012-03-20,590,590,590,590,142
2012-03-21,590,590,590,590,522
2012-03-23,590,590,590,590,2371
2012-03-27,590,590,590,590,1755
2012-03-28,590,590,590,590,1802
2012-03-29,590,590,590,590,3225
2012-03-30,590,590,590,590,379
2012-04-02,590,590,590,590,237
2012-04-03,590,590,590,590,13042
2012-04-04,590,590,590,590,474
2012-04-06,546,546,546,546,949
2012-04-10,546,546,546,546,2371
2012-04-12,538,538,538,538,1138
2012-04-13,546,546,546,546,1423
2012-04-17,538,538,538,538,854
2012-04-20,548,548,548,548,474
2012-04-23,569,569,569,569,1043
2012-04-24,548,548,548,548,5169
2012-04-25,569,569,569,569,7161
2012-04-26,569,569,569,569,190
2012-04-27,569,569,569,569,4790
2012-04-30,611,611,611,611,19445
2012-05-02,611,611,611,611,142
2012-05-03,611,611,611,611,664
2012-05-04,611,611,611,611,95
2012-05-07,611,611,611,611,79675
2012-05-08,611,611,611,611,2324
2012-05-09,616,616,616,616,2371
2012-05-10,616,616,616,616,2846
2012-05-11,622,622,622,622,2182
2012-05-15,622,622,622,622,1897
2012-05-16,622,622,622,622,3178
2012-05-18,616,616,616,616,1186
2012-05-29,601,601,601,601,474
2012-06-04,601,601,601,601,1138
2012-06-05,601,601,601,601,24424
2012-06-06,605,605,605,605,47426
2012-06-14,601,601,601,601,1612
2012-06-15,622,622,622,622,711
2012-06-18,633,633,633,633,2371
2012-06-19,633,633,633,633,1233
2012-06-20,633,633,633,633,47426
2012-06-21,633,633,633,633,25989
2012-06-25,633,633,633,633,2846
2012-06-26,611,611,611,611,237129
2012-07-03,590,590,590,590,569
2012-07-04,590,590,590,590,530505
2012-07-05,590,590,590,590,36802
2012-07-06,590,590,590,590,2371
2012-07-10,590,590,590,590,2514
2012-07-11,590,590,590,590,1186
2012-07-13,590,590,590,590,4743
2012-07-17,590,590,590,590,8442
2012-07-18,590,590,590,590,1043
2012-07-19,590,590,590,590,617
2012-07-23,611,611,611,611,9580
2012-07-24,590,590,590,590,1186
2012-07-25,588,588,588,588,854
2012-07-27,591,591,591,591,854
2012-07-31,611,611,611,611,4743
2012-08-03,622,622,622,622,4743
2012-08-08,622,622,622,622,4743
2012-08-09,601,601,601,601,1423
2012-08-10,611,611,611,611,69242
2012-08-13,601,601,601,601,28455
