Date,Open,High,Low,Close,Volume
2010-04-30,602,633.0,602.0,633,415592
2010-05-31,685,685.0,633.0,654,733392
2010-06-30,654,654.0,633.0,633,25183
2010-07-31,633,633.0,611.0,633,96464
2010-08-31,633,633.0,590.0,590,64214
2010-09-30,591,591.0,586.0,586,89492
2010-10-31,580,590.0,578.0,590,267576
2010-11-30,590,611.0,590.0,611,70425
2010-12-31,611,633.0,611.0,633,50985
2011-01-31,633,633.0,569.0,611,12379
2011-02-28,590,633.0,590.0,633,25610
2011-04-30,611,611.0,590.0,590,9913
2011-05-31,590,633.0,590.0,633,63361
2011-06-30,611,680.0,590.0,614,35996
2011-07-31,622,654.0,622.0,654,26227
2011-08-31,611,611.0,611.0,611,22055
2011-09-30,580,611.0,580.0,611,30731
2011-10-31,611,611.0,590.0,593,56769
2011-11-30,633,633.0,633.0,633,78584
2011-12-31,633,678.0,577.0,590,45672
2012-01-31,611,612.0,589.0,611,357970
2012-02-29,611,611.0,565.0,569,48705
2012-03-31,569,590.0,559.0,590,140665
2012-04-30,590,611.0,538.0,611,58760
2012-05-31,611,622.0,601.0,601,97034
2012-06-30,601,633.0,601.0,611,392305
2012-07-31,590,611.0,588.0,611,606009
2012-08-31,622,622.0,595.0,595,206208
2012-09-30,591,622.0,591.0,622,53971
2012-10-31,633,725.0,633.0,725,40359
2012-11-30,738,738.0,717.0,738,154039
2012-12-31,794,816.0,683.0,780,1116830
2013-01-31,791,865.0,780.0,816,137059
2013-02-28,816,843.0,814.0,822,47521
2013-03-31,822,895.0,780.0,865,24851
2013-04-30,853,865.0,853.0,865,407054
2013-05-31,822,1077.0,822.0,1077,50413
2013-06-30,996,996.0,983.0,991,63454
2013-07-31,991,1139.0,991.0,1139,82568
2013-08-31,1077,1292.0,1075.0,1078,74696
2013-09-30,1075,1307.0,1075.0,1170,102678
2013-10-31,1258,1276.0,1083.0,1272,181593
2013-11-30,1202,1360.0,1202.0,1265,88164
2013-12-31,1307,1413.0,1265.0,1360,87692
2014-01-31,1360,1371.0,1265.0,1312,37753
2014-02-28,1314,1518.0,1314.0,1476,143700
2014-03-31,1476,1603.0,1465.0,1560,31727
2014-04-30,1560,1607.0,1560.0,1603,1375
2014-05-31,1476,1603.0,1476.0,1508,9152
2014-06-30,1506,1556.0,1434.0,1497,52549
2014-07-31,1497,1550.0,1434.0,1550,56533
2014-08-31,1539,1708.0,1539.0,1624,951029
2014-09-30,1624,1792.0,1624.0,1792,51978
2014-10-31,1792,1792.0,1645.0,1729,23286
2014-11-30,1729,1813.0,1666.0,1740,20915
2014-12-31,1752,2025.0,1752.0,1977,26632
2015-01-31,1977,2021.0,1867.0,2021,59550
2015-02-28,2032,2032.0,1900.0,1977,88322
2015-03-31,1977,2069.0,1922.0,2069,100888
2015-04-30,2087,2350.0,2087.0,2109,76076
2015-05-31,1977,2087.0,1950.0,2065,67654
2015-06-30,2043,2197.0,2043.0,2153,173820
2015-07-31,2164,2240.0,2131.0,2207,413381
2015-08-31,2207,2658.0,2207.0,2658,53358
2015-09-30,2680,2899.0,2636.0,2660,304713
2015-10-31,2680,2702.0,2584.0,2636,301389
2015-11-30,2614,2689.0,2568.0,2636,45344
2015-12-31,2590,2746.0,2476.0,2746,124288
2016-01-31,2691,2976.0,2691.0,2965,321556
2016-02-29,2944,3514.0,2944.0,3514,386114
2016-03-31,3514,5392.0,3514.0,4261,1495645
2016-04-30,4281,4393.0,3954.0,4173,124835
2016-05-31,4064,4657.0,3976.0,4657,209289
2016-06-30,4613,5150.0,4613.0,5000,71146
2016-07-31,5000,5075.0,4250.0,4500,31080
2016-08-31,4503,4932.0,4225.0,4250,44000
2016-09-30,4250,4500.0,3625.0,3750,93640
2016-10-31,3750,3750.0,3613.0,3650,80880
2016-11-30,3625,3650.0,3388.0,3475,71080
2016-12-31,3463,3625.0,3375.0,3475,217280
2017-01-31,3475,3475.0,3300.0,3375,53640
2017-02-28,3375,4250.0,3363.0,3975,283880
2017-03-31,4000,4767.0,3500.0,4425,210880
2017-04-30,4425,4500.0,4300.0,4410,148280
2017-05-31,4400,4450.0,4200.0,4350,106840
2017-06-30,4300,4450.0,4088.0,4395,115280
2017-07-31,4075,4075.0,2850.0,2950,33740
2017-08-31,2900,3205.0,2550.0,2600,88660
2017-09-30,2650,2699.0,2100.0,2100,69860
2017-10-31,2050,2400.0,1725.0,1850,71758
2017-11-30,1750,2313.0,1745.0,2098,100722
2017-12-31,2198,2500.0,2000.0,2450,83098
2018-01-31,2500,2500.0,2328.0,2350,66496
2018-02-28,2325,2600.0,2200.0,2475,105396
2018-03-31,2498,2700.0,2325.0,2493,78098
2018-04-30,2450,2495.0,2150.0,2350,39930
2018-05-31,2198,2350.0,1743.0,2295,79056
2018-06-30,2400,2400.0,2050.0,2245,56872
2018-07-31,2240,2243.0,2050.0,2243,24152
2018-08-31,2200,2248.0,1900.0,1990,29822
2018-09-30,1990,1990.0,1625.0,1700,76178
2018-10-31,1700,1700.0,1223.0,1243,234790
2018-11-30,1243,1300.0,1110.0,1148,101792
2018-12-31,1125,2100.0,1125.0,2100,555022
2019-01-31,2075,2075.0,1498.0,1988,30672
2019-02-28,1975,1975.0,1518.0,1750,73968
2019-03-31,1750,1988.0,1675.0,1840,46882
2019-04-30,1840,1850.0,1650.0,1850,74734
2019-05-31,1850,1850.0,1475.0,1490,46764
2019-06-30,1453,1453.0,1250.0,1450,41824
2019-07-31,1438,1450.0,1350.0,1400,23542
2019-08-31,1408,1443.0,1325.0,1388,41640
2019-09-30,1388,1400.0,1250.0,1300,42968
2019-10-31,1300,1350.0,1235.0,1275,49136
2019-11-30,1298,1418.0,1253.0,1418,72374
2019-12-31,1390,2043.0,1315.0,1998,202474
2020-01-31,1850,1850.0,1515.0,1750,22266
2020-02-29,1750,1753.0,1450.0,1625,81244
2020-03-31,1625,1675.0,1525.0,1550,42970
2020-04-30,1525,1675.0,1450.0,1675,42204
2020-05-31,1673,1675.0,1625.0,1675,50456
2020-06-30,1675,1703.0,1543.0,1568,32826
2020-07-31,1570,1570.0,1350.0,1500,32220
2020-08-31,1498,1500.0,1363.0,1418,83800
2020-09-30,1418,1490.0,1350.0,1405,68016
2020-10-31,1403,1408.0,1375.0,1408,64926
2020-11-30,1408,1788.0,1393.0,1600,153782
2020-12-31,1625,1948.0,1503.0,1838,364598
2021-01-31,1700,1750.0,1573.0,1750,32428
2021-02-28,1700,1800.0,1600.0,1800,77944
