Date,Open,High,Low,Close,Volume
2010-06-30,602,685,602,633,1174167
2010-09-30,633,633,586,586,250170
2010-12-31,580,633,578,633,388986
2011-03-31,633,633,569,633,37989
2011-06-30,611,680,590,614,109270
2011-09-30,622,654,580,611,79013
2011-12-31,611,678,577,590,181025
2012-03-31,611,612,559,590,547340
2012-06-30,590,633,538,611,548099
2012-09-30,590,622,588,622,866188
2012-12-31,633,816,633,780,1311228
2013-03-31,791,895,780,865,209431
2013-06-30,853,1077,822,991,520921
2013-09-30,991,1307,991,1170,259942
2013-12-31,1258,1413,1083,1360,357449
2014-03-31,1360,1603,1265,1560,213180
2014-06-30,1560,1607,1434,1497,63076
2014-09-30,1497,1792,1434,1792,1059540
2014-12-31,1792,2025,1645,1977,70833
2015-03-31,1977,2069,1867,2069,248760
2015-06-30,2087,2350,1950,2153,317550
2015-09-30,2164,2899,2131,2660,771452
2015-12-31,2680,2746,2476,2746,471021
2016-03-31,2691,5392,2691,4261,2203315
2016-06-30,4281,5150,3954,5000,405270
2016-09-30,5000,5075,3625,3750,168720
2016-12-31,3750,3750,3375,3475,369240
2017-03-31,3475,4767,3300,4425,548400
2017-06-30,4425,4500,4088,4395,370400
2017-09-30,4075,4075,2100,2100,192260
2017-12-31,2050,2500,1725,2450,255578
2018-03-31,2500,2700,2200,2493,249990
2018-06-30,2450,2495,1743,2245,175858
2018-09-30,2240,2248,1625,1700,130152
2018-12-31,1700,2100,1110,2100,891604
2019-03-31,2075,2075,1498,1840,151522
2019-06-30,1840,1850,1250,1450,163322
2019-09-30,1438,1450,1250,1300,108150
2019-12-31,1300,2043,1235,1998,323984
2020-03-31,1850,1850,1450,1550,146480
2020-06-30,1525,1703,1450,1568,125486
2020-09-30,1570,1570,1350,1405,184036
2020-12-31,1403,1948,1375,1838,583306
2021-03-31,1700,1850,1573,1850,157210
2021-06-30,1800,1988,1650,1900,105650
2021-09-30,1850,2600,1800,2600,137216
2021-12-31,2435,3350,2310,2928,350728
2022-03-31,2985,2998,2545,2698,265050
2022-06-30,2698,2850,2340,2575,87480
2022-09-30,2550,2588,2000,2248,384866
2022-12-31,2248,2250,1700,1850,653448
2023-03-31,1850,2658,1840,2575,412068
2023-06-30,2545,2850,2130,2850,868896
2023-09-30,2848,3225,2750,3100,447342
2023-12-31,3100,3580,3025,3448,423706
2024-03-31,3448,3723,3350,3638,250552
2024-06-30,3638,3750,3300,3720,418000
2024-09-30,3718,4745,3658,4450,281298
2024-12-31,4450,5950,4275,4995,410227
2025-03-31,4995,6200,4505,6110,255427
2025-06-30,6110,6300,5605,6120,379050
2025-09-30,6140,7510,5800,7375,275681
2025-12-31,7370,7495,6395,7180,529483
2026-03-31,7180,9000,7050,8395,832996
2026-06-30,8500,9525,8100,9450,884647
2026-09-30,9500,13755,9000,12500,432319
