Date,Open,High,Low,Close,Volume
2010-04-12,602,602.0,602.0,602,23713
2010-04-26,633,633.0,633.0,633,391879
2010-05-17,685,685.0,633.0,633,569963
2010-05-24,654,654.0,654.0,654,163429
2010-06-07,654,654.0,654.0,654,1423
2010-06-14,654,654.0,654.0,654,474
2010-06-21,654,654.0,654.0,654,711
2010-06-28,633,633.0,633.0,633,4980
2010-07-05,633,633.0,633.0,633,47142
2010-07-12,633,633.0,633.0,633,20772
2010-07-19,633,633.0,611.0,633,5217
2010-07-26,633,633.0,633.0,633,7540
2010-08-02,633,633.0,633.0,633,33815
2010-08-09,633,633.0,633.0,633,36091
2010-08-16,633,633.0,633.0,633,10291
2010-08-23,622,622.0,622.0,622,5217
2010-08-30,612,612.0,590.0,591,11619
2010-09-06,590,591.0,590.0,590,6639
2010-09-13,590,590.0,590.0,590,17026
2010-09-20,590,590.0,590.0,590,18923
2010-09-27,590,590.0,590.0,590,7114
2010-10-04,586,586.0,580.0,580,98693
2010-10-11,580,580.0,580.0,580,4979
2010-10-18,580,580.0,580.0,580,173436
2010-10-25,580,580.0,580.0,580,7541
2010-11-01,578,590.0,578.0,590,23286
2010-11-08,590,590.0,590.0,590,58760
2010-11-15,590,590.0,590.0,590,8299
2010-11-22,590,590.0,590.0,590,1612
2010-11-29,590,590.0,590.0,590,1043
2010-12-06,611,611.0,611.0,611,2751
2010-12-13,611,633.0,611.0,633,27554
2010-12-20,611,633.0,611.0,633,13233
2010-12-27,633,633.0,633.0,633,8158
2011-01-03,633,633.0,633.0,633,47
2011-01-10,630,630.0,630.0,630,3747
2011-01-17,630,630.0,630.0,630,1565
2011-01-24,569,611.0,569.0,611,3842
2011-01-31,611,611.0,611.0,611,3178
2011-02-07,590,630.0,590.0,630,1897
2011-02-14,633,633.0,633.0,633,23713
2011-04-18,611,611.0,590.0,590,6640
2011-04-25,590,590.0,590.0,590,3273
2011-05-09,590,590.0,590.0,590,2514
2011-05-16,590,590.0,590.0,590,47188
2011-05-23,611,611.0,611.0,611,7541
2011-05-30,633,633.0,633.0,633,6118
2011-06-06,611,633.0,611.0,633,18164
2011-06-13,680,680.0,633.0,633,1138
2011-06-20,590,611.0,590.0,611,10624
2011-06-27,611,611.0,611.0,611,4885
2011-07-04,614,633.0,614.0,633,7872
2011-07-11,633,633.0,633.0,633,10054
2011-07-18,633,633.0,633.0,633,3557
2011-07-25,633,633.0,633.0,633,4743
2011-08-01,654,654.0,654.0,654,1186
2011-08-08,611,611.0,611.0,611,4838
2011-08-15,611,611.0,611.0,611,1566
2011-08-22,611,611.0,611.0,611,5217
2011-08-29,611,611.0,611.0,611,10434
2011-09-05,580,580.0,580.0,580,664
2011-09-19,580,590.0,580.0,590,10244
2011-09-26,590,601.0,590.0,601,10101
2011-10-03,611,611.0,611.0,611,9959
2011-10-10,611,611.0,590.0,611,5454
2011-10-24,590,610.0,590.0,610,10055
2011-10-31,611,611.0,593.0,593,41023
2011-11-07,633,633.0,633.0,633,70428
2011-11-14,633,633.0,633.0,633,3604
2011-11-21,633,633.0,633.0,633,521
2011-11-28,633,633.0,633.0,633,4031
2011-12-05,633,633.0,633.0,633,2229
2011-12-12,633,678.0,630.0,678,4743
2011-12-19,675,675.0,580.0,580,5786
2011-12-26,577,577.0,577.0,577,4932
2012-01-02,577,590.0,577.0,590,27982
2012-01-09,611,611.0,611.0,611,331980
2012-01-23,590,590.0,589.0,589,6687
2012-01-30,590,612.0,590.0,611,19303
2012-02-06,611,611.0,590.0,590,5501
2012-02-13,590,590.0,590.0,590,1802
2012-02-20,590,590.0,580.0,580,2466
2012-02-27,580,580.0,565.0,569,13374
2012-03-05,569,569.0,569.0,569,28787
2012-03-12,559,569.0,559.0,569,106755
2012-03-19,590,590.0,590.0,590,20489
2012-03-26,590,590.0,590.0,590,3035
2012-04-02,590,590.0,590.0,590,7398
2012-04-09,590,590.0,546.0,546,14465
2012-04-16,546,546.0,538.0,546,4932
2012-04-23,538,569.0,538.0,569,2371
2012-04-30,548,611.0,548.0,611,36755
2012-05-07,611,611.0,611.0,611,80576
2012-05-14,611,622.0,611.0,622,9723
2012-05-21,622,622.0,616.0,616,6261
2012-06-04,601,601.0,601.0,601,1612
2012-06-11,601,605.0,601.0,605,71850
2012-06-18,601,633.0,601.0,633,4694
2012-06-25,633,633.0,633.0,633,77494
2012-07-02,611,611.0,611.0,611,237129
2012-07-09,590,590.0,590.0,590,570247
2012-07-16,590,590.0,590.0,590,8443
2012-07-23,590,611.0,590.0,611,19682
2012-07-30,590,591.0,588.0,591,2894
2012-08-06,611,622.0,611.0,622,9486
2012-08-13,622,622.0,601.0,601,103863
2012-08-20,611,611.0,611.0,611,9485
2012-08-27,622,622.0,622.0,622,84181
2012-09-03,601,601.0,591.0,591,6307
2012-09-10,601,601.0,591.0,591,11904
2012-09-17,611,611.0,611.0,611,522
2012-09-24,612,616.0,611.0,616,19824
2012-10-01,622,633.0,622.0,633,21721
2012-10-08,633,654.0,633.0,654,5217
2012-10-15,656,714.0,656.0,664,9106
2012-10-22,675,675.0,675.0,675,806
2012-10-29,675,675.0,675.0,675,21342
2012-11-05,725,738.0,725.0,738,13137
2012-11-12,738,738.0,738.0,738,4552
2012-11-19,738,738.0,717.0,717,101871
2012-11-26,738,738.0,738.0,738,30731
2012-12-03,738,794.0,738.0,794,6498
2012-12-10,738,738.0,738.0,738,6261
2012-12-17,683,683.0,683.0,683,2846
2012-12-24,734,816.0,734.0,816,559956
2012-12-31,759,780.0,759.0,780,546534
2013-01-07,791,801.0,791.0,801,2276
2013-01-14,780,816.0,780.0,816,96179
2013-01-21,816,865.0,816.0,816,12331
2013-01-28,816,816.0,816.0,816,24139
2013-02-04,816,816.0,816.0,816,10860
2013-02-11,816,816.0,814.0,814,15746
2013-02-18,814,816.0,814.0,816,10103
2013-02-25,816,822.0,816.0,822,6070
2013-03-04,843,843.0,780.0,780,7824
2013-03-11,833,895.0,828.0,828,5122
2013-03-18,828,828.0,801.0,801,5074
2013-03-25,823,843.0,823.0,843,6783
2013-04-01,865,865.0,865.0,865,6924
2013-04-08,853,865.0,853.0,854,246186
2013-04-15,854,854.0,854.0,854,101491
2013-04-22,865,865.0,865.0,865,3794
2013-04-29,865,865.0,865.0,865,53923
2013-05-06,865,865.0,822.0,822,3320
2013-05-13,822,822.0,822.0,822,1423
2013-05-20,865,929.0,865.0,929,3557
2013-05-27,932,991.0,932.0,991,23001
2013-06-03,1060,1077.0,996.0,996,22337
2013-06-10,991,991.0,983.0,991,30636
2013-06-17,991,991.0,983.0,983,20677
2013-06-24,983,983.0,983.0,983,6734
2013-07-01,991,991.0,991.0,991,3937
2013-07-08,1002,1077.0,1002.0,1077,12710
2013-07-15,1075,1075.0,1012.0,1075,25658
2013-07-22,1075,1075.0,1075.0,1075,14891
2013-07-29,1075,1075.0,1075.0,1075,11762
2013-08-05,1086,1202.0,1077.0,1202,25230
2013-08-12,1292,1292.0,1196.0,1202,10481
2013-08-19,1118,1160.0,1118.0,1160,17168
2013-08-26,1128,1139.0,1128.0,1139,25231
2013-09-02,1075,1078.0,1075.0,1075,18211
2013-09-09,1156,1202.0,1075.0,1202,7541
2013-09-16,1202,1202.0,1202.0,1202,9106
2013-09-23,1162,1265.0,1139.0,1265,59852
2013-09-30,1286,1307.0,1170.0,1170,22006
2013-10-07,1258,1258.0,1083.0,1160,3557
2013-10-14,1202,1276.0,1181.0,1181,102534
2013-10-21,1181,1276.0,1170.0,1276,66728
2013-10-28,1276,1276.0,1183.0,1183,7778
2013-11-04,1202,1272.0,1202.0,1202,3367
2013-11-11,1202,1349.0,1202.0,1202,46050
2013-11-18,1265,1265.0,1265.0,1265,1992
2013-11-25,1265,1360.0,1265.0,1265,8253
2013-12-02,1265,1307.0,1265.0,1276,30115
2013-12-09,1276,1371.0,1265.0,1265,21058
2013-12-16,1360,1413.0,1360.0,1392,49845
2013-12-23,1392,1413.0,1392.0,1413,14417
2013-12-30,1360,1371.0,1360.0,1371,475
2014-01-06,1360,1360.0,1360.0,1360,3699
2014-01-13,1360,1371.0,1349.0,1349,7826
2014-01-20,1349,1349.0,1307.0,1307,21816
2014-01-27,1265,1307.0,1265.0,1307,4174
2014-02-03,1312,1314.0,1312.0,1314,1708
2014-02-10,1329,1329.0,1328.0,1328,10718
2014-02-17,1328,1328.0,1328.0,1328,95
2014-02-24,1392,1392.0,1392.0,1392,87880
2014-03-03,1455,1518.0,1455.0,1476,44817
2014-03-10,1476,1476.0,1476.0,1476,663
2014-03-17,1581,1581.0,1581.0,1581,95
2014-03-24,1518,1518.0,1465.0,1465,9438
2014-03-31,1575,1603.0,1476.0,1560,21531
2014-04-07,1560,1560.0,1560.0,1560,47
2014-04-14,1560,1607.0,1560.0,1607,759
2014-04-28,1605,1607.0,1603.0,1603,569
2014-05-12,1476,1581.0,1476.0,1581,806
2014-05-19,1603,1603.0,1476.0,1518,2845
2014-05-26,1508,1518.0,1508.0,1518,1375
2014-06-02,1516,1516.0,1506.0,1506,4316
2014-06-09,1476,1518.0,1434.0,1518,37229
2014-06-16,1556,1556.0,1455.0,1497,8063
2014-06-23,1497,1539.0,1476.0,1529,5834
2014-06-30,1539,1539.0,1497.0,1497,1233
2014-07-07,1497,1539.0,1476.0,1539,12283
2014-07-14,1529,1539.0,1529.0,1539,1186
2014-07-21,1497,1497.0,1476.0,1487,9580
2014-07-28,1487,1487.0,1434.0,1487,17880
2014-08-04,1492,1550.0,1492.0,1539,22576
2014-08-11,1560,1603.0,1560.0,1603,16315
2014-08-18,1581,1603.0,1581.0,1603,887052
2014-08-25,1603,1708.0,1603.0,1624,27411
2014-09-01,1624,1624.0,1624.0,1624,15176
2014-09-08,1624,1634.0,1624.0,1634,4078
2014-09-15,1635,1637.0,1635.0,1636,2419
2014-09-22,1636,1752.0,1636.0,1752,23997
2014-09-29,1792,1792.0,1771.0,1792,19350
2014-10-06,1792,1792.0,1792.0,1792,522
2014-10-13,1792,1792.0,1687.0,1687,4695
2014-10-20,1687,1687.0,1687.0,1687,9912
2014-10-27,1666,1676.0,1645.0,1645,5406
2014-11-03,1729,1729.0,1729.0,1729,2988
2014-11-10,1729,1813.0,1666.0,1753,14512
2014-11-17,1708,1708.0,1708.0,1708,711
2014-11-24,1708,1740.0,1708.0,1740,2087
2014-12-01,1740,1752.0,1729.0,1752,3700
2014-12-08,1884,2025.0,1884.0,2024,5411
2014-12-15,1900,1900.0,1889.0,1889,2550
2014-12-22,2025,2025.0,2025.0,2025,46
2015-01-05,1889,1977.0,1889.0,1977,18530
2015-01-12,1977,1977.0,1977.0,1977,3414
