Date,Open,High,Low,Close,Volume
2010-12-31,602,685,578,633,1813323
2011-12-31,633,680,569,590,407297
2012-12-31,611,816,538,780,3272855
2013-12-31,791,1413,780,1360,1347743
2014-12-31,1360,2025,1265,1977,1406629
2015-12-31,1977,2899,1867,2746,1808783
2016-12-31,2691,5392,2691,3475,3146545
2017-12-31,3475,4767,1725,2450,1366638
2018-12-31,2500,2700,1110,2100,1447604
2019-12-31,2075,2075,1235,1998,746978
2020-12-31,1850,1948,1350,1838,1039308
2021-12-31,1700,3350,1573,2928,750804
2022-12-31,2985,2998,1700,1850,1390844
2023-12-31,1850,3580,1840,3448,2152012
2024-12-31,3448,5950,3300,4995,1360077
2025-12-31,4995,7510,4505,7180,1439641
2026-12-31,7180,13755,7050,13300,2019920
