Date,Open,High,Low,Close,Volume
2016-05-31,2009,2009,2009,2009,3972
2016-06-01,2160,2160,2160,2160,120
2016-06-02,2321,2321,2321,2321,2636
2016-06-03,2495,2495,2495,2495,241
2016-06-06,2682,2682,2682,2682,169
2016-06-07,2883,2883,2883,2883,60
2016-06-08,3077,3100,3077,3100,72
2016-06-09,3332,3332,3324,3332,4814
2016-06-10,3581,3581,3581,3581,710
2016-06-13,3850,3850,3850,3850,2588
2016-06-14,4139,4139,4139,4139,2973
2016-06-15,4449,4449,4449,4449,53114
2016-06-16,4782,4782,4778,4782,19775
2016-06-17,5141,5141,5141,5141,16393
2016-06-20,5526,5526,5484,5526,53487
2016-06-21,5941,5941,5234,5401,264690
2016-06-22,4996,5095,4996,4996,55569
2016-06-23,4621,4996,4621,4985,163963
2016-06-24,4827,5068,4827,5028,43341
2016-06-27,5154,5401,5154,5401,58482
2016-06-28,5442,5567,5400,5567,45471
2016-06-29,5804,5895,5484,5650,38526
2016-06-30,5733,5733,5401,5484,20762
2016-07-01,5488,5650,5401,5492,26418
2016-07-04,5517,5517,5234,5317,34013
2016-07-05,5234,5566,5193,5566,65992
2016-07-07,5409,5409,5244,5272,16657
2016-07-08,5276,5401,5268,5401,13047
2016-07-11,5268,5268,4996,4996,4959
2016-07-12,4985,4985,4621,4653,27068
2016-07-13,4653,4903,4570,4903,10254
2016-07-14,4985,4985,4902,4902,8353
2016-07-15,4902,4985,4902,4944,16080
2016-07-18,4902,4944,4902,4902,3394
2016-07-19,4902,4944,4819,4902,16224
2016-07-20,4902,4944,4819,4902,13528
2016-07-21,4910,4985,4902,4902,6909
2016-07-22,4902,4985,4902,4977,3298
2016-07-25,4981,4981,4902,4902,3587
2016-07-26,4902,4985,4819,4902,4874
2016-07-27,4943,4944,4902,4902,5693
2016-07-28,4902,4902,4902,4902,7992
2016-07-29,4902,4985,4861,4985,16754
2016-08-01,4902,4985,4902,4985,8329
2016-08-02,4944,4985,4905,4944,5597
2016-08-03,4902,4944,4902,4903,18318
2016-08-04,4903,4927,4744,4902,10892
2016-08-05,4910,4927,4902,4927,1950
2016-08-09,4927,4927,4819,4927,9881
2016-08-10,4927,4927,4819,4902,3238
2016-08-11,4902,4902,4819,4902,3298
2016-08-12,4902,4902,4820,4827,5175
2016-08-16,4861,4861,4828,4828,4501
2016-08-17,4885,4885,4827,4827,11915
2016-08-18,4828,4836,4827,4836,5512
2016-08-19,4823,4861,4823,4836,12445
2016-08-22,4860,4860,4827,4840,6957
2016-08-23,4836,4860,4832,4836,8545
2016-08-24,4860,4861,4860,4861,20906
2016-08-25,4861,4902,4852,4861,23181
2016-08-26,4861,4861,4835,4861,13805
2016-08-29,4861,4861,4837,4861,16056
2016-08-30,4861,4881,4861,4881,4658
2016-08-31,4881,4885,4861,4885,6487
