Date,Open,High,Low,Close,Volume
2016-05-31,2023,2023,2023,2023,3945
2016-06-30,2175,5981,2175,5521,842227
2016-07-31,5525,5689,4601,5019,303034
2016-08-31,4936,5019,4776,4919,200286
2016-09-30,4919,5019,3099,4138,422888
2016-10-31,4433,4433,3095,3346,103729
2016-11-30,3346,3346,3095,3262,137344
2016-12-31,3221,3346,3095,3346,106802
2017-01-31,3346,4183,3262,4165,96354
2017-02-28,4060,5011,4015,4601,132491
2017-03-31,4517,5805,4098,4433,160438
2017-04-30,4392,4601,3848,4141,92277
2017-05-31,4099,4141,3597,3681,183776
2017-06-30,3681,4137,3513,3680,162472
2017-07-31,3681,3764,3095,3346,48307
2017-08-31,3346,3346,2940,3179,24923
2017-09-30,3108,3170,2844,3137,43396
2017-10-31,3074,3137,2902,3112,56433
2017-11-30,3012,3111,2716,2986,26977
2017-12-31,2937,3262,2710,3262,21053
2018-01-31,3193,3262,2942,2980,50221
2018-02-28,2886,2886,2510,2710,49429
2018-03-31,2707,2823,2437,2666,114078
2018-04-30,2572,2635,2061,2353,26700
2018-05-31,2353,2353,1625,1659,29270
2018-06-30,1659,2008,1537,2001,63542
2018-07-31,1882,2001,1848,1945,74552
2018-08-31,1942,1945,1659,1754,17645
2018-09-30,1625,1757,1252,1255,22164
2018-10-31,1255,1537,1192,1443,37338
2018-11-30,1456,1534,1261,1377,17375
2018-12-31,1318,1650,1170,1537,18489
2019-01-31,1443,1663,1239,1443,24513
2019-02-28,1412,1415,1223,1377,32339
2019-03-31,1374,1412,1258,1346,30308
2019-04-30,1286,1882,1286,1851,87103
2019-05-31,1826,1876,1443,1503,34963
2019-06-30,1393,1443,1183,1211,30818
2019-07-31,1211,1377,1161,1346,45737
2019-08-31,1311,1318,1245,1318,28023
2019-09-30,1277,1286,853,853,43603
2019-10-31,816,816,496,580,113538
2019-11-30,587,841,565,747,44776
2019-12-31,734,872,634,721,39816
2020-01-31,693,784,690,784,30827
2020-02-29,816,841,690,709,46112
2020-03-31,721,753,505,514,28638
2020-04-30,533,687,533,621,25300
2020-05-31,602,659,599,624,8232
2020-06-30,627,709,587,690,33935
2020-07-31,690,715,609,627,18694
2020-08-31,640,640,565,602,37226
2020-09-30,624,624,565,568,50487
2020-10-31,568,703,565,656,42540
2020-11-30,668,690,640,690,31185
2020-12-31,693,753,690,706,52506
2021-01-31,690,753,684,753,21412
2021-02-28,765,1001,753,800,96677
2021-03-31,765,841,747,759,54624
2021-04-30,759,863,759,863,72186
2021-05-31,816,891,791,860,37170
2021-06-30,847,1026,847,878,51900
2021-07-31,850,1016,819,1004,84261
2021-08-31,1001,1349,944,1214,272998
2021-09-30,1214,1302,1211,1255,107546
2021-10-31,1255,1323,953,1197,61866
2021-11-30,1160,1200,1000,1033,32447
2021-12-31,1033,1067,987,990,40132
2022-01-31,987,1033,817,940,92310
2022-02-28,937,1000,863,890,69225
2022-03-31,923,1000,803,933,119173
2022-04-30,933,997,867,867,41409
2022-05-31,803,930,803,893,35539
2022-06-30,843,933,843,900,44820
2022-07-31,933,1290,933,1100,79188
2022-08-31,1093,1100,880,1000,28243
2022-09-30,1000,1077,970,1033,23398
2022-10-31,1033,1067,927,937,21491
2022-11-30,1000,1023,903,903,24161
2022-12-31,903,983,900,933,9766
2023-01-31,900,933,833,877,19911
2023-02-28,877,907,823,887,27480
2023-03-31,887,933,797,813,52578
2023-04-30,820,863,767,860,26575
2023-05-31,803,967,803,867,27744
2023-06-30,867,933,817,880,34454
2023-07-31,933,950,867,923,42080
2023-08-31,923,1023,870,913,55414
2023-09-30,913,997,880,967,19926
2023-10-31,967,1033,937,990,37454
2023-11-30,993,997,900,953,29093
2023-12-31,983,1047,933,983,56696
2024-01-31,967,980,867,867,34836
2024-02-29,867,917,853,917,38783
2024-03-31,917,1147,900,1120,52078
2024-04-30,1120,1147,1033,1147,46734
2024-05-31,1147,1147,1033,1087,37448
2024-06-30,1073,1083,1007,1057,31293
2024-07-31,1057,1413,1033,1400,61176
2024-08-31,1397,1650,1233,1650,74195
2024-09-30,1675,2090,1635,1800,24211
2024-10-31,1815,2685,1750,2045,64286
2024-11-30,2040,2090,1855,2000,42264
2024-12-31,2000,2010,1890,1890,38333
2025-01-31,1890,1890,1700,1710,30433
2025-02-28,1710,1950,1680,1930,39503
2025-03-31,1915,2430,1915,2400,96323
2025-04-30,2400,2885,2305,2500,126642
2025-05-31,2595,2900,2500,2635,125379
2025-06-30,2635,3225,2440,2990,232978
2025-07-31,2995,3490,2990,3375,126033
2025-08-31,3395,3700,3385,3620,106476
2025-09-30,3530,4400,3530,4400,141686
2025-10-31,4395,4415,3715,3715,206118
2025-11-30,3440,4015,3440,4000,151514
2025-12-31,4000,4395,3835,4000,72757
2026-01-31,3995,4395,3800,4395,113775
2026-02-28,4360,4525,4200,4515,125266
2026-03-31,4550,4795,4550,4680,148311
2026-04-30,4695,4750,4500,4670,100817
2026-05-31,4670,5295,4670,5200,91817
2026-06-30,5300,5300,4405,4980,170619
2026-07-31,4990,5800,4895,5665,153891
2026-08-31,5670,6550,5550,6550,83694
