Date,Open,High,Low,Close,Volume
2016-06-30,2023,5981,2023,5521,846172
2016-09-30,5525,5689,3099,4138,926208
2016-12-31,4433,4433,3095,3346,347875
2017-03-31,3346,5805,3262,4433,389283
2017-06-30,4392,4601,3513,3680,438525
2017-09-30,3681,3764,2844,3137,116626
2017-12-31,3074,3262,2710,3262,104463
2018-03-31,3193,3262,2437,2666,213728
2018-06-30,2572,2635,1537,2001,119512
2018-09-30,1882,2001,1252,1255,114361
2018-12-31,1255,1650,1170,1537,73202
2019-03-31,1443,1663,1223,1346,87160
2019-06-30,1286,1882,1183,1211,152884
2019-09-30,1211,1377,853,853,117363
2019-12-31,816,872,496,721,198130
2020-03-31,693,841,505,514,105577
2020-06-30,533,709,533,690,67467
2020-09-30,690,715,565,568,106407
2020-12-31,568,753,565,706,126231
2021-03-31,690,1001,684,759,172713
2021-06-30,759,1026,759,878,161256
2021-09-30,850,1349,819,1255,464805
2021-12-31,1255,1323,953,990,134445
2022-03-31,987,1033,803,933,280708
2022-06-30,933,997,803,900,121768
2022-09-30,933,1290,880,1033,130829
2022-12-31,1033,1067,900,933,55418
2023-03-31,900,933,797,813,99969
2023-06-30,820,967,767,880,88773
2023-09-30,933,1023,867,967,117420
2023-12-31,967,1047,900,983,123243
2024-03-31,967,1147,853,1120,125697
2024-06-30,1120,1147,1007,1057,115475
2024-09-30,1057,2090,1033,1800,159582
2024-12-31,1815,2685,1750,1890,144883
2025-03-31,1890,2430,1680,2400,166259
2025-06-30,2400,3225,2305,2990,484999
2025-09-30,2995,4400,2990,4400,374195
2025-12-31,4395,4415,3440,4000,430389
2026-03-31,3995,4795,3800,4680,387352
2026-06-30,4695,5300,4405,4980,363253
2026-09-30,4990,6950,4895,6650,253669
