Date,Open,High,Low,Close,Volume
2016-06-06,2023,2701,2023,2701,7089
2016-06-13,2903,3876,2903,3876,8189
2016-06-20,4167,5564,4167,5564,144757
2016-06-27,5981,5981,4653,5437,582086
2016-07-04,5479,5935,5270,5354,164074
2016-07-11,5270,5604,5030,5030,99975
2016-07-18,5019,5019,4601,4936,64709
2016-07-25,4936,5019,4852,4935,43252
2016-08-01,4935,5019,4852,5019,43347
2016-08-08,4978,5019,4776,4960,36510
2016-08-15,4960,4960,4852,4860,21447
2016-08-22,4894,4919,4856,4873,41052
2016-08-29,4869,4935,4865,4894,81936
2016-09-05,4894,5019,4894,4902,86179
2016-09-12,4935,4977,4768,4852,119592
2016-09-19,4852,4935,4410,4410,82354
2016-09-26,4080,4182,3099,3099,106801
2016-10-03,3331,4433,3331,4183,46670
2016-10-10,4183,4350,4015,4057,14118
2016-10-17,4181,4181,3482,3513,19283
2016-10-24,3347,3763,3346,3722,12684
2016-10-31,3513,3597,3095,3346,50005
2016-11-07,3346,3346,3095,3212,13102
2016-11-14,3212,3304,3095,3262,23921
2016-11-21,3262,3346,3221,3304,29204
2016-11-28,3346,3346,3263,3313,58206
2016-12-05,3304,3329,3179,3329,31955
2016-12-12,3329,3329,3095,3329,9289
2016-12-19,3304,3304,3179,3300,23622
2016-12-26,3262,3346,3179,3346,30735
2017-01-02,3264,3346,3263,3346,25845
2017-01-09,3346,3346,3262,3345,17455
2017-01-16,3345,3346,3304,3346,29001
2017-01-23,3346,3963,3338,3513,25583
2017-01-30,3597,4183,3513,4057,19426
2017-02-06,4099,4183,3982,4099,46240
2017-02-13,4141,4262,4099,4183,28105
2017-02-20,4182,5011,4174,4833,21865
2017-02-27,4833,4833,4350,4601,32886
2017-03-06,4517,4601,4256,4601,20764
2017-03-13,4434,4600,4183,4392,15206
2017-03-20,4304,4601,4304,4601,23884
2017-03-27,4601,5805,4597,4875,60608
2017-04-03,4509,4517,4098,4517,53461
2017-04-10,4517,4601,4183,4183,22870
2017-04-17,4265,4349,4183,4266,9754
2017-04-24,4266,4266,4024,4141,16294
2017-05-01,4098,4141,3848,4141,36425
2017-05-08,4099,4141,3707,3848,25032
2017-05-15,3764,3923,3597,3847,22654
2017-05-22,3806,3848,3639,3764,11811
2017-05-29,3681,3764,3681,3731,17000
2017-06-05,3763,3763,3513,3597,118516
2017-06-12,3593,3681,3555,3630,22199
2017-06-19,3607,3848,3513,3848,77704
2017-06-26,3848,4137,3806,3806,33006
2017-07-03,3848,3848,3614,3681,24088
2017-07-10,3680,3681,3429,3597,12253
2017-07-17,3513,3630,3346,3430,11919
2017-07-24,3346,3430,3095,3346,13568
2017-07-31,3179,3430,3179,3346,4805
2017-08-07,3346,3346,3262,3262,4422
2017-08-14,3262,3262,3179,3179,4555
2017-08-21,3262,3262,3179,3262,7100
2017-08-28,3179,3262,2940,3179,5953
2017-09-04,3137,3179,2970,3170,3897
2017-09-11,3137,3154,2969,3094,6409
2017-09-18,3094,3094,2844,3011,19617
2017-09-25,2927,3146,2886,3137,9791
2017-10-02,2986,3137,2986,3136,7045
2017-10-09,2912,3137,2902,3118,12018
2017-10-16,3112,3124,3011,3112,31584
