Date,Open,High,Low,Close,Volume
2003-12-30,530,530,530,530,4457
2003-12-31,530,530,530,530,944
2004-01-06,556,556,556,556,3210
2004-01-07,530,530,530,530,302
2004-01-08,530,530,530,530,378
2004-01-12,583,583,583,583,1813
2004-01-13,556,556,556,556,340
2004-01-14,530,530,530,530,340
2004-01-15,556,556,556,556,302
2004-01-16,556,556,556,556,302
2004-01-19,556,556,556,556,302
2004-01-20,556,556,556,556,302
2004-01-21,556,556,556,556,378
2004-01-22,556,556,556,556,378
2004-01-23,556,556,556,556,302
2004-01-26,556,556,556,556,227
2004-01-27,556,556,556,556,302
2004-01-28,556,556,556,556,378
2004-01-29,556,556,556,556,378
2004-01-30,556,556,556,556,340
2004-02-02,559,559,559,559,340
2004-02-03,559,559,559,559,302
2004-02-04,560,560,560,560,302
2004-02-05,560,560,560,560,302
2004-02-06,560,560,560,560,302
2004-02-09,560,560,560,560,189
2004-02-10,560,560,560,560,227
2004-02-11,560,560,560,560,340
2004-03-18,543,543,543,543,37767
2004-03-22,569,569,569,569,567
2004-03-23,569,569,569,569,189
2004-03-24,569,569,569,569,113
2004-03-26,543,543,543,543,755
2004-03-30,571,571,571,571,755
2004-03-31,571,571,571,571,1133
2004-04-01,543,543,543,543,1511
2004-04-02,571,571,571,571,2077
2004-04-05,543,543,543,543,2568
2004-04-07,556,556,556,556,302
2004-04-08,571,571,571,571,1888
2004-04-09,569,569,569,569,302
2004-04-13,543,543,543,543,1133
2004-04-14,543,543,543,543,793
2004-04-16,556,556,556,556,378
2004-04-20,556,556,556,556,302
2004-04-21,583,583,583,583,378
2004-04-23,583,583,583,583,264
2004-04-29,556,556,556,556,302
2004-04-30,556,556,556,556,378
2004-05-05,556,556,556,556,378
2004-05-06,569,569,569,569,302
2004-05-07,569,569,569,569,189
2004-05-10,569,569,569,569,302
2004-05-12,571,571,571,571,302
2004-05-13,571,571,571,571,378
2004-05-14,571,571,571,571,3286
2004-05-18,569,569,569,569,755
2004-05-19,569,569,569,569,302
2004-05-21,569,569,569,569,3286
2004-05-24,569,569,569,569,302
2004-05-25,569,569,569,569,189
2004-05-26,573,573,573,573,302
2004-05-27,573,573,573,573,189
2004-05-28,573,573,573,573,302
2004-06-01,569,569,569,569,7742
2004-06-07,575,575,575,575,302
2004-06-08,575,575,575,575,189
2004-06-09,575,575,575,575,302
2004-06-10,569,569,569,569,1888
2004-06-17,569,569,569,569,378
2004-06-18,569,569,569,569,302
2004-06-21,569,569,569,569,378
2004-06-22,569,569,569,569,189
2004-06-23,569,569,569,569,302
2004-06-24,569,569,569,569,227
2004-06-25,569,569,569,569,189
2004-06-28,569,569,569,569,1360
2004-06-29,569,569,569,569,113
2004-07-30,570,570,570,570,793
2004-08-11,570,570,570,570,37767
2004-08-12,570,570,570,570,302
2004-08-31,588,588,588,588,529
2004-09-20,583,583,583,583,302
2004-09-29,583,583,583,583,302
2004-10-06,583,583,583,583,302
2004-10-13,583,583,583,583,264
2004-11-11,609,609,609,609,302
2004-11-19,588,588,588,588,302
2004-12-01,588,588,588,588,302
2004-12-09,588,588,588,588,944
2004-12-14,590,590,590,590,378
2004-12-21,596,596,596,596,302
2004-12-30,596,596,596,596,567
2005-01-11,590,590,590,590,1020
2005-01-24,590,590,590,590,415
2005-02-02,596,596,596,596,567
2005-02-10,596,596,596,596,529
2005-02-23,596,596,596,596,1209
2005-03-03,596,596,596,596,567
2005-03-10,596,596,596,596,189
2005-03-16,596,596,596,596,604
2005-03-24,596,596,596,596,378
2005-03-31,596,596,596,596,189
2005-04-06,596,596,596,596,302
2005-04-13,596,596,596,596,189
2005-04-20,596,596,596,596,302
2005-04-28,596,596,596,596,189
2005-05-10,596,596,596,596,378
2005-05-23,596,596,596,596,302
2005-05-26,596,596,596,596,378
2005-06-03,596,596,596,596,378
2005-06-15,596,596,596,596,302
2005-06-23,609,609,609,609,6609
2005-06-27,609,609,609,609,453
2005-06-28,609,609,609,609,755
2005-07-05,609,609,609,609,453
2005-07-13,609,609,609,609,302
2005-07-20,609,609,609,609,378
2005-07-28,609,609,609,609,302
2005-08-10,609,609,609,609,302
2005-08-18,609,609,609,609,491
2005-08-23,609,609,609,609,378
2005-08-26,609,609,609,609,567
2005-09-02,609,609,609,609,567
2005-09-12,609,609,609,609,302
2005-09-16,609,609,609,609,76
2005-09-21,609,609,609,609,7553
2005-09-30,609,609,609,609,189
2005-10-05,609,609,609,609,76
2005-10-11,609,609,609,609,189
2005-10-19,609,609,609,609,378
2005-10-24,609,609,609,609,3777
2005-10-31,609,609,609,609,378
2005-11-10,609,609,609,609,378
2005-11-14,609,609,609,609,227
2005-11-18,609,609,609,609,378
2005-11-25,609,609,609,609,302
2005-11-29,609,609,609,609,5665
2005-12-08,609,609,609,609,2833
2005-12-20,609,609,609,609,755
2005-12-28,609,609,609,609,567
2006-01-05,609,609,609,609,453
2006-01-16,609,609,609,609,378
2006-01-19,609,609,609,609,56651
2006-01-27,609,609,609,609,302
2006-02-03,614,614,614,614,755
2006-02-15,614,614,614,614,567
2006-02-22,614,614,614,614,1511
2006-02-28,609,609,609,609,22660
2006-03-07,614,614,614,614,2077
