Date,Open,High,Low,Close,Volume
2003-12-31,530,530,530,530,5401
2004-03-31,556,583,530,571,53857
2004-06-30,543,583,543,569,37201
2004-09-30,570,588,570,583,39995
2004-12-31,583,609,583,596,3663
2005-03-31,590,596,590,596,5667
2005-06-30,596,609,596,609,10537
2005-09-30,609,609,609,609,11860
2005-12-31,609,609,609,609,15903
2006-03-31,609,614,609,614,87545
2006-06-30,659,678,659,678,5175
2006-09-30,678,702,675,702,2229
2006-12-31,702,715,702,715,6080
2007-03-31,715,715,715,715,1511
2007-06-30,720,808,720,808,8914
2007-09-30,715,874,715,834,182415
2007-12-31,834,838,808,808,56120
2008-03-31,762,878,735,878,23657
2008-06-30,953,980,926,926,76960
2008-09-30,939,1143,939,1048,115492
2008-12-31,1048,1090,1048,1090,31474
2009-03-31,1090,1094,1090,1092,22988
2009-06-30,1092,1092,1092,1092,24532
2009-09-30,1092,1119,1089,1119,59583
2009-12-31,1119,1218,1116,1143,141182
2010-03-31,1143,1146,1143,1146,27210
2010-06-30,1146,1167,1080,1080,65043
2010-09-30,1080,1097,1044,1097,188983
2010-12-31,1097,1097,989,1008,279989
2011-03-31,1008,1038,949,949,108528
2011-06-30,949,1008,947,1005,129875
2011-09-30,1008,1008,940,943,54568
2011-12-31,919,999,919,938,30909
2012-03-31,938,1090,908,1032,267031
2012-06-30,1059,1513,999,1336,177320
2012-09-30,1336,1475,1311,1370,190111
2012-12-31,1412,1574,1412,1473,214222
2013-03-31,1573,1739,1453,1739,170232
2013-06-30,1735,1836,1614,1816,159923
2013-09-30,1715,1822,1586,1655,117357
2013-12-31,1655,1839,1655,1765,241840
2014-03-31,1768,2178,1767,2178,318338
2014-06-30,2219,2640,2219,2452,68099
2014-09-30,2452,2969,2452,2877,509936
2014-12-31,2855,3974,2740,3974,230049
2015-03-31,3882,4222,3585,3700,440282
2015-06-30,3722,3791,3426,3608,628751
2015-09-30,3608,3928,3425,3882,140477
2015-12-31,3882,4019,3563,3882,218313
2016-03-31,3608,6075,3594,5227,397477
2016-06-30,5344,5344,4471,5049,344569
2016-09-30,5049,5065,4038,4519,99005
2016-12-31,4327,4543,4038,4327,1813718
2017-03-31,4279,5865,4087,4663,257237
2017-06-30,4712,5385,3728,3728,188276
2017-09-30,3719,3750,2500,2563,166832
2017-12-31,2500,3125,2300,3094,262908
2018-03-31,3063,3244,2563,3113,201546
2018-06-30,3063,3094,2416,2684,241935
2018-09-30,2656,2938,2250,2500,181616
2018-12-31,2469,2563,1531,2438,347405
2019-03-31,2438,2656,2191,2625,60864
2019-06-30,2631,2934,2138,2138,93087
2019-09-30,2156,2188,2003,2003,80694
2019-12-31,2003,2313,1678,2116,87410
2020-03-31,2116,2406,2000,2219,83513
2020-06-30,2188,2434,2063,2325,151026
2020-09-30,2281,2325,2000,2250,68098
2020-12-31,2206,2206,1881,2188,318706
2021-03-31,2125,2500,2088,2406,283352
2021-06-30,2406,2494,2188,2419,100114
2021-09-30,2419,3125,2281,3003,169380
2021-12-31,3003,3438,2938,3188,118894
2022-03-31,3219,4125,3000,4122,245037
2022-06-30,4122,4569,3563,3969,210985
2022-09-30,4003,4375,3753,4281,189256
2022-12-31,4281,4281,3369,3616,147772
2023-03-31,3616,4063,3297,3809,160895
2023-06-30,3809,3844,3403,3672,249230
2023-09-30,3603,3750,2519,3050,287202
2023-12-31,3063,3563,2534,3369,245146
2024-03-31,3366,3809,2850,3806,181012
2024-06-30,3806,3809,3066,3319,283140
2024-09-30,3319,3995,3095,3285,245937
2024-12-31,3485,3495,2500,2575,113498
2025-03-31,2580,3275,2115,2795,261655
2025-06-30,2790,3000,2425,2630,254943
2025-09-30,2625,2700,2225,2500,362669
2025-12-31,2495,2750,2450,2610,1404411
2026-03-31,2455,3000,2450,2620,411251
2026-06-30,2625,4200,2625,4195,673088
2026-09-30,4200,5645,4010,5645,364999
