Date,Open,High,Low,Close,Volume
2004-01-05,530,530.0,530.0,530,5401
2004-01-12,556,583.0,530.0,583,5703
2004-01-19,556,556.0,530.0,556,1586
2004-01-26,556,556.0,556.0,556,1587
2004-02-02,556,559.0,556.0,559,1738
2004-02-09,559,560.0,559.0,560,1397
2004-02-16,560,560.0,560.0,560,567
2004-03-22,543,569.0,543.0,569,38334
2004-03-29,569,569.0,543.0,543,1057
2004-04-05,571,571.0,543.0,543,8044
2004-04-12,556,571.0,556.0,569,2492
2004-04-19,543,556.0,543.0,556,2304
2004-04-26,556,583.0,556.0,583,944
2004-05-03,556,556.0,556.0,556,680
2004-05-10,556,569.0,556.0,569,1171
2004-05-17,571,571.0,571.0,571,3966
2004-05-24,569,569.0,569.0,569,4645
2004-05-31,569,573.0,569.0,573,982
2004-06-07,569,575.0,569.0,575,8044
2004-06-14,575,575.0,569.0,569,2379
2004-06-21,569,569.0,569.0,569,1058
2004-06-28,569,569.0,569.0,569,2267
2004-07-05,569,569.0,569.0,569,113
2004-08-02,570,570.0,570.0,570,793
2004-08-16,570,570.0,570.0,570,38069
2004-09-06,588,588.0,588.0,588,529
2004-09-20,583,583.0,583.0,583,302
2004-10-04,583,583.0,583.0,583,302
2004-10-11,583,583.0,583.0,583,302
2004-10-18,583,583.0,583.0,583,264
2004-11-15,609,609.0,609.0,609,302
2004-11-22,588,588.0,588.0,588,302
2004-12-06,588,588.0,588.0,588,302
2004-12-13,588,588.0,588.0,588,944
2004-12-20,590,590.0,590.0,590,378
2004-12-27,596,596.0,596.0,596,302
2005-01-03,596,596.0,596.0,596,567
2005-01-17,590,590.0,590.0,590,1020
2005-01-24,590,590.0,590.0,590,415
2005-02-07,596,596.0,596.0,596,567
2005-02-14,596,596.0,596.0,596,529
2005-02-28,596,596.0,596.0,596,1209
2005-03-07,596,596.0,596.0,596,567
2005-03-14,596,596.0,596.0,596,189
2005-03-21,596,596.0,596.0,596,604
2005-03-28,596,596.0,596.0,596,378
2005-04-04,596,596.0,596.0,596,189
2005-04-11,596,596.0,596.0,596,302
2005-04-18,596,596.0,596.0,596,189
2005-04-25,596,596.0,596.0,596,302
