Date,Open,High,Low,Close,Volume
2014-12-10,1075,1075,1075,1075,1350
2014-12-11,1156,1156,1156,1156,150
2014-12-12,1242,1242,1242,1242,60
2014-12-15,1335,1335,1335,1335,90
2014-12-16,1435,1435,1435,1435,60
2014-12-17,1543,1543,1543,1543,16440
2014-12-18,1658,1658,1650,1658,169140
2014-12-19,1700,1782,1667,1782,74520
2014-12-22,1916,1916,1900,1916,29400
2014-12-23,2000,2060,2000,2033,99690
2014-12-24,2067,2067,2000,2017,25920
2014-12-26,2067,2168,2033,2033,51360
2014-12-29,2167,2167,2067,2067,17760
2014-12-30,2067,2117,2067,2117,2400
2014-12-31,2150,2250,2150,2150,45390
2015-01-02,2247,2247,2247,2247,1890
2015-01-05,2233,2233,2213,2217,4410
2015-01-06,2167,2233,2150,2167,6900
2015-01-07,2167,2233,2004,2167,38190
2015-01-08,2123,2123,2025,2067,82920
2015-01-09,2067,2167,2034,2167,13350
2015-01-12,2133,2133,2070,2070,1320
2015-01-13,2067,2067,2017,2033,5970
2015-01-14,2000,2133,1983,2100,29460
2015-01-15,2000,2002,2000,2000,32760
2015-01-16,2033,2033,1857,2000,14400
2015-01-19,2000,2000,2000,2000,5160
2015-01-20,1983,2000,1983,2000,1110
2015-01-21,2000,2000,2000,2000,14430
2015-01-22,2000,2000,2000,2000,4680
2015-01-23,2000,2000,2000,2000,6990
2015-01-26,1967,2000,1867,1967,8340
2015-01-27,1997,2000,1933,1933,3660
2015-01-28,1934,2000,1933,2000,14010
2015-01-29,2000,2150,2000,2100,154350
2015-01-30,2100,2167,2100,2167,11670
2015-02-02,2163,2167,2100,2100,3600
2015-02-03,2100,2233,2100,2167,59550
2015-02-04,2167,2233,2167,2233,5040
2015-02-05,2167,2230,2167,2167,1530
2015-02-06,2167,2167,2137,2137,3360
2015-02-10,2137,2233,2133,2233,8670
2015-02-11,2200,2265,2167,2200,6360
2015-02-12,2200,2217,2184,2217,2130
2015-02-13,2217,2267,2200,2267,3360
2015-02-16,2233,2267,2233,2267,2400
2015-02-17,2260,2260,2217,2217,1320
2015-02-18,2250,2250,2200,2233,3690
2015-02-19,2200,2233,2200,2217,3930
2015-02-20,2217,2217,2207,2207,4500
2015-02-23,2170,2196,2170,2173,17700
2015-02-24,2170,2173,2170,2173,450
2015-02-25,2200,2267,2177,2267,2220
2015-02-26,2204,2210,2200,2200,8220
2015-02-27,2200,2200,2200,2200,1710
2015-03-02,2200,2233,2200,2200,2100
2015-03-03,2200,2267,2183,2267,7800
2015-03-04,2234,2300,2234,2300,2220
2015-03-06,2300,2333,2284,2300,3810
2015-03-09,2283,2467,2267,2334,13470
2015-03-10,2334,2500,2334,2500,9090
2015-03-11,2493,2500,2450,2500,5820
2015-03-12,2497,2500,2497,2500,11040
2015-03-13,2498,2498,2450,2450,3600
2015-03-16,2467,2467,2350,2433,2490
2015-03-17,2433,2500,2400,2500,4170
2015-03-18,2417,2417,2417,2417,2790
2015-03-19,2417,2450,2417,2450,390
2015-03-20,2467,2467,2433,2450,3540
2015-03-23,2450,2467,2433,2433,19590
2015-03-24,2433,2467,2400,2467,2400
2015-03-25,2483,2483,2467,2467,150
2015-03-26,2433,2434,2433,2434,3510
2015-03-27,2463,2467,2434,2434,2820
2015-03-30,2467,2467,2433,2467,4320
2015-03-31,2483,2483,2434,2467,4920
2015-04-01,2467,2483,2367,2467,4110
2015-04-02,2467,2467,2467,2467,60
2015-04-03,2467,2483,2467,2483,9450
2015-04-07,2500,2500,2467,2500,21180
2015-04-08,2500,2500,2500,2500,4110
2015-04-09,2333,2333,2333,2333,1980
2015-04-10,2158,2158,2158,2158,690
2015-04-13,2000,2000,2000,2000,1410
2015-04-14,2017,2133,1850,2067,12900
2015-04-15,1921,2000,1921,2000,1560
2015-04-16,2000,2000,2000,2000,1620
2015-04-17,2000,2033,2000,2033,720
2015-04-20,2050,2067,2050,2067,180
2015-04-21,2067,2067,2034,2034,1830
2015-04-22,2033,2067,2033,2067,3480
2015-04-23,2067,2067,2067,2067,2070
2015-04-24,2067,2067,2067,2067,17100
2015-04-27,2067,2067,2067,2067,2580
2015-04-28,2067,2150,2067,2137,840
2015-04-29,2133,2150,2133,2150,1860
2015-04-30,2167,2167,2133,2133,1350
2015-05-04,2167,2167,2167,2167,1050
2015-05-05,2183,2187,2183,2187,4260
2015-05-06,2200,2200,2167,2167,14880
2015-05-07,2167,2233,2133,2233,11010
2015-05-08,2200,2200,2200,2200,660
2015-05-11,2183,2183,2167,2167,5490
2015-05-12,2167,2233,2167,2167,5040
2015-05-13,2200,2200,2167,2183,8280
2015-05-15,2200,2217,2200,2217,1080
2015-05-18,2217,2217,2167,2167,11820
2015-05-19,2133,2167,2133,2167,2040
2015-05-20,2167,2167,2167,2167,600
2015-05-21,2200,2200,2167,2167,5430
2015-05-22,2200,2200,2167,2167,3360
2015-05-26,2217,2217,2173,2173,28890
2015-05-27,2167,2200,2167,2200,3690
2015-05-28,2183,2233,2167,2233,8310
2015-05-29,2233,2233,2167,2167,16080
2015-06-01,2167,2250,2167,2250,15810
2015-06-02,2167,2183,2167,2167,870
2015-06-03,2167,2167,2167,2167,1620
2015-06-04,2167,2167,2167,2167,150
2015-06-05,2233,2233,2200,2200,1080
2015-06-08,2198,2233,2167,2200,5010
2015-06-09,2167,2233,2167,2233,3900
2015-06-10,2200,2233,2200,2233,4620
2015-06-11,2233,2233,2200,2233,1140
2015-06-12,2233,2233,2233,2233,1710
2015-06-15,2233,2247,2233,2247,1320
2015-06-16,2247,2247,2233,2233,9330
2015-06-17,2217,2217,2217,2217,180
2015-06-18,2200,2233,2200,2233,12150
2015-06-19,2233,2234,2233,2233,12000
2015-06-22,2267,2267,2233,2233,2250
2015-06-23,2233,2238,2233,2238,5670
2015-06-24,2233,2240,2233,2234,3630
2015-06-25,2250,2267,2250,2267,5340
2015-06-26,2283,2300,2252,2300,15030
2015-06-29,2327,2327,2307,2307,2100
2015-06-30,2334,2480,2334,2480,390
2015-07-01,2330,2333,2330,2333,720
2015-07-02,2333,2333,2333,2333,3150
2015-07-03,2367,2367,2333,2334,810
2015-07-06,2509,2509,2334,2334,6090
2015-07-07,2467,2467,2467,2467,7050
2015-07-08,2367,2467,2350,2367,10860
2015-07-10,2414,2467,2414,2467,9210
2015-07-13,2467,2500,2467,2500,21840
2015-07-15,2467,2500,2467,2467,8100
2015-07-16,2467,2500,2467,2500,2610
2015-07-20,2500,2667,2483,2533,20550
2015-07-21,2533,2534,2533,2533,2610
2015-07-22,2557,2557,2533,2533,23100
2015-07-23,2533,2537,2533,2533,28320
2015-07-24,2537,2550,2534,2534,5430
2015-07-27,2534,2534,2534,2534,35130
2015-07-28,2533,2550,2533,2550,1230
2015-07-29,2534,2567,2534,2534,6060
2015-07-30,2534,2534,2534,2534,4170
2015-07-31,2500,2550,2500,2550,1890
2015-08-03,2533,2534,2533,2534,1170
2015-08-04,2533,2724,2533,2724,9450
2015-08-05,2600,2723,2567,2567,21840
2015-08-06,2584,2584,2567,2567,960
2015-08-10,2567,2700,2567,2700,8940
2015-08-11,2700,2767,2633,2633,15570
2015-08-12,2633,2634,2603,2634,3420
2015-08-13,2633,2724,2633,2723,5430
2015-08-14,2700,2883,2700,2778,22200
2015-08-17,2733,2833,2733,2733,6240
2015-08-18,2700,2700,2700,2700,300
2015-08-19,2717,2833,2667,2833,9690
2015-08-20,2833,2833,2833,2833,30
2015-08-21,2750,2750,2750,2750,1500
2015-08-24,2733,2767,2733,2767,9840
2015-08-25,2767,2767,2733,2767,2640
2015-08-26,2767,2900,2767,2784,4110
2015-08-27,2770,2800,2767,2800,2040
2015-08-28,2770,2817,2770,2817,15300
2015-08-31,2817,2833,2817,2833,1260
2015-09-01,2833,2833,2800,2800,57780
2015-09-02,2817,2833,2817,2817,5190
2015-09-03,2800,2817,2800,2800,1860
2015-09-04,2818,2850,2817,2850,16530
2015-09-07,2833,2833,2817,2817,2250
2015-09-08,2800,2850,2800,2850,4410
2015-09-09,2800,2800,2800,2800,450
2015-09-10,2833,2850,2833,2850,600
2015-09-11,2837,2850,2837,2837,1770
2015-09-14,2837,2870,2837,2867,4320
2015-09-15,2834,2867,2800,2800,5760
2015-09-16,2817,2833,2800,2800,1200
2015-09-17,2833,2867,2833,2833,1290
2015-09-18,2833,2833,2833,2833,90
2015-09-21,2833,2833,2800,2800,4560
2015-09-22,2800,2800,2733,2733,600
2015-09-23,2700,2700,2700,2700,300
2015-09-25,2667,2667,2667,2667,300
2015-09-28,2673,2700,2667,2700,5790
2015-09-29,2650,2700,2650,2700,4860
2015-09-30,2700,2717,2700,2700,3300
2015-10-01,2700,2733,2667,2700,79440
2015-10-02,2733,2734,2733,2734,3990
2015-10-05,2733,2733,2717,2733,32370
2015-10-06,2733,2733,2733,2733,37440
2015-10-07,2733,2733,2718,2733,5520
2015-10-08,2733,2767,2720,2733,75450
2015-10-09,2717,2732,2717,2732,17970
2015-10-12,2717,2717,2717,2717,1260
2015-10-13,2717,2733,2717,2733,1800
2015-10-14,2733,2733,2727,2733,18510
2015-10-15,2733,2733,2730,2733,5370
2015-10-16,2733,2833,2727,2727,52770
2015-10-19,2733,2733,2727,2728,18000
2015-10-20,2728,2728,2725,2725,420
2015-10-21,2725,2900,2725,2725,12570
2015-10-22,2733,2733,2725,2725,77700
2015-10-23,2723,2723,2723,2723,630
2015-10-26,2727,2733,2723,2723,630
2015-10-27,2733,2833,2725,2833,13230
2015-10-28,2726,2733,2726,2733,2730
2015-10-29,2733,2733,2725,2725,750
2015-10-30,2733,2733,2723,2723,13530
2015-11-02,2723,2733,2723,2724,3240
2015-11-03,2723,2733,2700,2700,6150
2015-11-04,2700,2723,2670,2720,2280
2015-11-05,2667,2667,2667,2667,1440
2015-11-09,2667,2667,2667,2667,300
2015-11-10,2633,2633,2583,2583,1500
2015-11-11,2600,2600,2550,2583,14340
2015-11-12,2533,2533,2500,2500,6810
2015-11-13,2500,2500,2500,2500,16470
2015-11-16,2500,2500,2500,2500,6000
2015-11-17,2483,2483,2367,2367,2820
2015-11-18,2367,2367,2367,2367,5880
2015-11-19,2200,2317,2200,2217,3300
2015-11-20,2217,2217,2200,2217,3840
2015-11-23,2217,2267,2217,2267,10770
2015-11-24,2267,2267,2233,2267,6000
2015-11-25,2250,2267,2250,2267,4530
2015-11-26,2267,2333,2267,2333,5340
2015-11-27,2267,2267,2267,2267,2100
2015-11-30,2283,2283,2267,2267,2130
2015-12-01,2267,2267,2267,2267,39090
2015-12-02,2267,2283,2267,2283,3030
2015-12-03,2267,2283,2267,2267,6180
2015-12-04,2267,2283,2267,2283,1650
2015-12-07,2267,2400,2267,2400,5280
2015-12-08,2267,2267,2267,2267,630
2015-12-09,2267,2400,2267,2400,2310
2015-12-10,2333,2333,2283,2283,1890
2015-12-11,2267,2284,2267,2284,2130
2015-12-14,2277,2277,2267,2267,1500
2015-12-15,2267,2267,2233,2233,6300
2015-12-16,2200,2267,2200,2233,5670
2015-12-17,2183,2183,2183,2183,1680
2015-12-18,2167,2233,2167,2233,19080
2015-12-21,2233,2233,2200,2233,3420
2015-12-22,2217,2233,2200,2233,4710
2015-12-23,2267,2333,2267,2333,3810
2015-12-28,2203,2203,2173,2173,1260
2015-12-29,2188,2333,2188,2333,9120
2015-12-30,2200,2467,2173,2467,2970
2015-12-31,2463,2633,2463,2633,5160
2016-01-04,2467,2467,2467,2467,750
2016-01-06,2400,2400,2367,2367,900
2016-01-08,2333,2347,2333,2333,1680
2016-01-11,2333,2333,2333,2333,2190
2016-01-12,2300,2300,2267,2297,3930
2016-01-13,2267,2267,2217,2217,3990
2016-01-14,2217,2217,2207,2217,11580
2016-01-15,2267,2333,2267,2333,2700
2016-01-18,2333,2333,2300,2333,570
2016-01-19,2333,2333,2333,2333,210
2016-01-20,2333,2333,2333,2333,900
2016-01-21,2333,2333,2283,2283,840
2016-01-22,2267,2267,2267,2267,2070
2016-01-25,2267,2267,2260,2267,1500
2016-01-26,2267,2267,2263,2265,6030
2016-01-27,2267,2267,2267,2267,3000
2016-01-29,2300,2300,2267,2267,6180
2016-02-01,2267,2267,2267,2267,11970
2016-02-02,2333,2333,2300,2333,2940
2016-02-03,2300,2300,2300,2300,480
2016-02-04,2317,2333,2300,2333,9990
2016-02-05,2333,2350,2333,2350,11340
2016-02-08,2367,2383,2367,2383,1320
2016-02-09,2400,2400,2400,2400,2190
2016-02-10,2400,2437,2400,2437,330
2016-02-11,2463,2500,2463,2467,15930
2016-02-12,2467,2467,2333,2417,45390
2016-02-15,2368,2368,2333,2333,7170
2016-02-16,2367,2417,2367,2400,19860
2016-02-17,2400,2417,2400,2417,2880
2016-02-18,2433,2500,2433,2500,4110
2016-02-19,2500,2500,2500,2500,25530
2016-02-22,2500,2500,2500,2500,3750
2016-02-23,2517,2517,2517,2517,5550
2016-02-24,2517,2517,2517,2517,1620
2016-02-25,2550,2687,2550,2687,900
2016-02-26,2667,2687,2667,2687,5250
2016-02-29,2800,2800,2690,2700,15450
2016-03-01,2690,2690,2667,2667,540
2016-03-02,2672,2687,2672,2687,1260
2016-03-03,2683,2700,2667,2700,41460
2016-03-04,2700,2767,2700,2733,2460
2016-03-07,2733,2733,2717,2733,68400
2016-03-08,2700,2733,2700,2717,3060
2016-03-09,2733,2733,2717,2733,13590
2016-03-10,2733,2767,2733,2733,11010
2016-03-11,2733,2734,2733,2734,2280
2016-03-14,2734,2734,2733,2733,7050
2016-03-15,2734,2734,2733,2733,37020
2016-03-16,2733,2767,2733,2733,4170
2016-03-17,2683,2717,2667,2667,750
2016-03-18,2700,2733,2700,2700,2040
2016-03-21,2667,2717,2667,2717,2160
2016-03-22,2700,2715,2668,2715,1920
2016-03-23,2667,2667,2667,2667,1350
2016-03-24,2667,2667,2667,2667,3450
2016-03-25,2667,2667,2660,2667,1440
2016-03-30,2467,2600,2467,2600,570
2016-03-31,2600,2600,2483,2483,2850
2016-04-01,2567,2567,2500,2500,120570
2016-04-04,2500,2633,2500,2633,8130
2016-04-05,2633,2667,2633,2650,14310
2016-04-06,2667,2667,2667,2667,300
2016-04-07,2667,2667,2667,2667,17430
2016-04-08,2633,2667,2633,2633,1350
2016-04-11,2633,2633,2567,2567,3420
2016-04-12,2567,2583,2567,2567,2040
2016-04-13,2567,2567,2567,2567,390
2016-04-14,2533,2567,2533,2567,1680
2016-04-15,2567,2567,2567,2567,870
2016-04-18,2567,2567,2533,2533,930
2016-04-19,2567,2570,2567,2570,1350
2016-04-20,2570,2570,2567,2567,8100
2016-04-21,2567,2567,2533,2567,5430
2016-04-22,2567,2567,2567,2567,1620
2016-04-25,2567,2567,2500,2500,1740
2016-04-26,2500,2533,2480,2500,6900
2016-04-27,2533,2533,2533,2533,630
2016-04-28,2533,2533,2533,2533,1800
2016-04-29,2527,2533,2527,2533,660
2016-05-03,2533,2534,2450,2467,5130
2016-05-04,2500,2517,2500,2517,2130
2016-05-06,2550,2550,2500,2500,8490
2016-05-09,2533,2533,2467,2467,2460
2016-05-10,2500,2500,2483,2483,1170
2016-05-11,2482,2482,2467,2467,1470
2016-05-12,2467,2467,2467,2467,10410
2016-05-13,2470,2500,2470,2500,1410
2016-05-17,2467,2467,2367,2367,10410
2016-05-18,2433,2433,2367,2367,660
2016-05-19,2400,2400,2300,2300,2370
2016-05-20,2300,2300,2267,2267,2070
2016-05-23,2267,2267,2267,2267,6510
2016-05-24,2267,2300,2267,2267,5610
2016-05-25,2283,2283,2267,2280,3780
2016-05-26,2280,2280,2280,2280,660
2016-05-27,2300,2300,2267,2280,450
2016-05-30,2267,2267,2250,2250,7530
2016-05-31,2233,2233,2170,2170,2130
2016-06-01,2233,2233,2170,2170,6480
2016-06-03,2200,2200,2167,2167,13770
2016-06-06,2167,2167,2133,2133,2190
2016-06-07,2167,2167,2117,2117,2730
2016-06-08,2163,2167,2133,2133,1230
2016-06-09,2167,2167,2133,2133,5130
2016-06-10,2140,2140,2117,2117,4320
2016-06-13,2133,2200,2133,2200,2760
2016-06-14,2167,2167,2150,2167,10110
2016-06-15,2167,2167,2167,2167,4050
2016-06-16,2200,2200,2167,2200,13920
2016-06-17,2200,2200,2197,2200,16530
2016-06-20,2167,2200,2167,2200,11640
2016-06-21,2200,2200,2183,2183,1800
2016-06-22,2167,2200,2167,2200,60300
2016-06-23,2200,2200,2183,2200,25290
2016-06-24,2180,2200,2180,2200,18180
2016-06-27,2200,2200,2183,2197,2580
2016-06-28,2197,2200,2197,2200,9270
2016-06-29,2200,2233,2200,2200,1500
2016-06-30,2200,2200,2167,2167,20760
2016-07-01,2167,2200,2167,2200,2640
2016-07-04,2200,2200,2167,2167,2700
2016-07-05,2167,2167,2167,2167,6870
2016-07-07,2167,2200,2167,2200,18870
2016-07-08,2200,2200,2200,2200,4710
2016-07-11,2173,2173,2167,2167,3510
2016-07-12,2150,2167,2150,2150,10530
2016-07-13,2150,2167,2133,2133,3840
2016-07-14,2133,2133,2100,2100,3030
2016-07-19,2033,2033,1967,1967,930
2016-07-20,1967,1970,1967,1967,3960
2016-07-21,1967,1967,1967,1967,3570
2016-07-22,1967,1967,1933,1967,3210
2016-07-25,1967,1967,1967,1967,240
2016-07-26,1967,1967,1967,1967,480
2016-07-27,1970,1983,1967,1970,2700
2016-07-28,1945,2017,1945,2017,5100
2016-07-29,2000,2033,2000,2033,3270
2016-08-01,2033,2033,2033,2033,870
2016-08-02,2017,2017,2005,2005,2520
2016-08-03,2003,2003,2003,2003,2670
2016-08-04,2000,2003,2000,2003,2580
2016-08-05,2003,2003,2000,2000,2220
2016-08-09,2000,2000,2000,2000,2100
2016-08-10,2000,2000,2000,2000,810
2016-08-11,2000,2000,1983,2000,3540
2016-08-12,1984,1984,1984,1984,1410
2016-08-16,2033,2034,2033,2033,4230
2016-08-17,2000,2033,2000,2000,1320
2016-08-18,2000,2000,2000,2000,480
2016-08-19,2000,2000,2000,2000,450
2016-08-22,2000,2000,2000,2000,210
2016-08-23,2000,2000,2000,2000,3630
2016-08-24,2000,2000,2000,2000,2700
2016-08-25,2000,2000,1967,1967,1530
2016-08-26,2000,2000,2000,2000,180
2016-08-29,2000,2007,2000,2007,3930
2016-08-30,2007,2007,2007,2007,1740
2016-08-31,2157,2157,2157,2157,30
2016-09-01,2133,2133,2133,2133,570
2016-09-02,2167,2167,2167,2167,270
2016-09-05,2167,2317,2160,2317,3000
2016-09-06,2160,2160,2158,2158,2400
2016-09-07,2157,2158,2137,2137,1620
2016-09-08,2136,2158,2136,2158,450
2016-09-09,2137,2158,2133,2158,2190
2016-09-13,2133,2133,2100,2100,1170
2016-09-14,2100,2158,2100,2133,2400
2016-09-15,2133,2133,2133,2133,30
2016-09-16,2133,2133,2083,2083,1050
2016-09-19,2100,2100,2100,2100,3120
2016-09-20,2117,2117,2083,2083,1350
2016-09-21,2083,2083,2067,2067,6510
2016-09-22,2033,2033,1967,1967,2670
2016-09-23,1963,1963,1833,1833,4170
2016-09-26,1833,1833,1833,1833,2790
2016-09-27,1833,1833,1817,1817,1350
2016-09-28,1833,1833,1733,1733,1890
2016-09-29,1820,1820,1816,1816,960
2016-09-30,1800,1818,1800,1800,5700
2016-10-03,1800,1800,1767,1767,960
2016-10-04,1800,1800,1800,1800,1050
2016-10-05,1770,1833,1770,1800,2520
2016-10-06,1770,1833,1770,1833,2520
2016-10-07,1837,1837,1833,1833,2610
2016-10-10,1833,1833,1833,1833,300
2016-10-11,1833,1833,1833,1833,1470
2016-10-12,1833,1833,1833,1833,1830
2016-10-13,1833,1833,1833,1833,2460
2016-10-17,1817,1817,1767,1767,690
2016-10-18,1767,1767,1767,1767,390
2016-10-20,1733,1733,1667,1667,1530
2016-10-21,1667,1667,1667,1667,1950
2016-10-24,1667,1667,1667,1667,300
2016-10-25,1667,1667,1667,1667,6420
2016-10-26,1667,1667,1667,1667,300
2016-10-27,1667,1667,1667,1667,1680
2016-10-31,1667,1667,1667,1667,150
2016-11-02,1542,1667,1542,1667,1050
2016-11-03,1567,1600,1567,1584,2160
2016-11-04,1667,1667,1667,1667,6000
2016-11-07,1650,1650,1650,1650,1200
2016-11-08,1650,1650,1567,1567,570
2016-11-09,1533,1533,1449,1449,600
2016-11-10,1341,1341,1341,1341,2520
2016-11-11,1341,1417,1333,1417,3840
2016-11-14,1433,1433,1433,1433,270
2016-11-16,1433,1433,1341,1341,2490
2016-11-17,1350,1367,1350,1367,750
2016-11-18,1400,1400,1333,1397,3540
2016-11-21,1383,1383,1333,1333,390
2016-11-22,1383,1383,1367,1367,3420
2016-11-23,1367,1367,1367,1367,7110
2016-11-24,1367,1433,1367,1433,1620
2016-11-28,1433,1433,1433,1433,3630
2016-11-29,1541,1541,1541,1541,960
2016-11-30,1541,1541,1541,1541,3060
2016-12-01,1533,1550,1533,1533,2820
2016-12-02,1533,1617,1533,1617,2160
2016-12-05,1633,1633,1633,1633,2820
2016-12-06,1600,1600,1543,1543,6120
2016-12-07,1500,1517,1500,1500,2760
2016-12-08,1500,1500,1500,1500,990
2016-12-09,1500,1533,1500,1533,690
2016-12-13,1533,1648,1500,1648,810
2016-12-14,1617,1617,1600,1600,1050
2016-12-15,1593,1593,1593,1593,150
2016-12-16,1597,1597,1567,1567,1830
2016-12-19,1567,1567,1567,1567,570
2016-12-20,1533,1534,1530,1533,570
2016-12-21,1567,1567,1567,1567,210
