Date,Open,High,Low,Close,Volume
2014-12-31,1075,2250,1075,2150,533730
2015-01-31,2247,2247,1857,2167,455970
2015-02-28,2163,2267,2100,2200,139740
2015-03-31,2200,2500,2183,2467,110040
2015-04-30,2467,2500,1850,2133,91080
2015-05-31,2167,2233,2133,2167,131970
2015-06-30,2167,2480,2167,2480,105300
2015-07-31,2330,2667,2330,2550,198930
2015-08-31,2533,2900,2533,2833,141930
2015-09-30,2833,2870,2650,2700,123210
2015-10-31,2700,2900,2667,2723,472080
2015-11-30,2723,2733,2200,2267,105240
2015-12-31,2267,2633,2167,2633,126870
2016-01-31,2467,2467,2207,2267,49020
2016-02-29,2267,2800,2267,2700,193950
2016-03-31,2690,2767,2467,2483,208830
2016-04-30,2567,2667,2480,2533,199650
2016-05-31,2533,2550,2170,2170,74850
2016-06-30,2233,2233,2117,2167,234540
2016-07-31,2167,2200,1933,2033,80160
2016-08-31,2033,2157,1967,2157,39150
2016-09-30,2133,2317,1733,1800,45660
2016-10-31,1800,1837,1667,1667,29130
2016-11-30,1542,1667,1333,1541,45180
2016-12-31,1533,1648,1500,1567,35940
2017-01-31,1583,1720,1550,1634,50880
2017-02-28,1634,1733,1567,1733,98130
2017-03-31,1733,2633,1617,2482,410130
2017-04-30,2480,2583,2467,2470,163500
2017-05-31,2470,2500,2400,2487,125760
2017-06-30,2487,2500,2159,2159,140085
2017-07-31,1997,2286,1997,2013,37380
2017-08-31,2033,2067,1993,2067,59955
2017-09-30,2067,2067,1867,2067,116625
2017-10-31,2000,2167,1883,1933,112440
2017-11-30,1867,1870,1357,1467,46487
2017-12-31,1467,1667,1433,1667,26640
2018-01-31,1667,1827,1600,1697,54068
2018-02-28,1697,2167,1660,1933,107765
2018-03-31,2077,2230,1790,1933,156386
2018-04-30,1933,1967,1353,1567,43161
2018-05-31,1467,1797,1333,1790,75168
2018-06-30,1767,1833,1603,1787,47618
2018-07-31,1780,1780,1567,1663,51294
2018-08-31,1653,1667,1533,1667,47178
2018-09-30,1630,1633,1393,1600,59496
2018-10-31,1480,1533,1267,1327,130894
2018-11-30,1330,1333,1167,1260,44149
2018-12-31,1257,1360,1067,1347,83954
2019-01-31,1263,1267,1127,1190,33572
2019-02-28,1193,1200,980,1133,72789
2019-03-31,1133,1200,1020,1100,109903
2019-04-30,1067,1333,1067,1183,59152
2019-05-31,1200,1267,1027,1133,67072
2019-06-30,1133,1167,1050,1120,34307
2019-07-31,1100,1120,1067,1113,44505
2019-08-31,1113,1160,1100,1133,50191
2019-09-30,1133,1150,1053,1090,50537
2019-10-31,1100,1100,997,1067,30820
2019-11-30,1060,1067,1007,1017,62510
2019-12-31,1063,1063,1000,1030,132569
2020-01-31,1033,1180,1000,1117,105336
2020-02-29,1123,1123,1000,1020,430907
2020-03-31,1027,1087,987,1000,57702
2020-04-30,1003,1043,933,1033,39051
2020-05-31,1033,1040,993,1013,57427
2020-06-30,1027,1133,933,990,53515
2020-07-31,997,997,860,937,132011
2020-08-31,933,943,867,900,53001
2020-09-30,900,1013,867,1013,75978
2020-10-31,1000,1000,867,900,34180
2020-11-30,900,933,867,887,89349
2020-12-31,887,1000,867,997,159608
2021-01-31,987,1000,907,1000,113478
2021-02-28,1000,1000,893,967,39385
2021-03-31,950,1037,903,1013,39386
2021-04-30,1013,1053,1010,1050,37425
2021-05-31,1050,1220,1040,1097,89268
2021-06-30,1097,1170,1003,1167,76470
2021-07-31,1163,1333,1133,1327,60122
2021-08-31,1327,1613,1300,1530,41151
2021-09-30,1530,1593,1433,1520,72448
2021-10-31,1520,1793,1507,1793,90020
2021-11-30,1800,1833,1600,1733,86627
2021-12-31,1733,1750,1533,1567,166237
2022-01-31,1567,1673,1507,1663,55700
2022-02-28,1663,1733,1533,1647,87175
2022-03-31,1643,1853,1567,1717,85595
2022-04-30,1727,1730,1503,1533,65037
2022-05-31,1517,1700,1433,1567,70291
2022-06-30,1567,1667,1500,1580,47086
2022-07-31,1580,1667,1570,1600,98507
2022-08-31,1623,1663,1603,1653,60771
2022-09-30,1653,1693,1610,1610,88434
2022-10-31,1610,1693,1527,1567,58711
2022-11-30,1567,1733,1533,1613,57199
2022-12-31,1610,1733,1533,1633,69966
2023-01-31,1720,1720,1467,1667,54146
2023-02-28,1603,1723,1600,1600,49704
2023-03-31,1600,1667,1443,1463,116122
2023-04-30,1467,1633,1450,1620,67839
2023-05-31,1620,1817,1547,1717,80220
