Date,Open,High,Low,Close,Volume
2014-12-31,1075,2250,1075,2150,533730
2015-03-31,2247,2500,1857,2467,705750
2015-06-30,2467,2500,1850,2480,328350
2015-09-30,2330,2900,2330,2700,464070
2015-12-31,2700,2900,2167,2633,704190
2016-03-31,2467,2800,2207,2483,451800
2016-06-30,2567,2667,2117,2167,509040
2016-09-30,2167,2317,1733,1800,164970
2016-12-31,1800,1837,1333,1567,110250
2017-03-31,1583,2633,1550,2482,559140
2017-06-30,2480,2583,2159,2159,429345
2017-09-30,1997,2286,1867,2067,213960
2017-12-31,2000,2167,1357,1667,185567
2018-03-31,1667,2230,1600,1933,318219
2018-06-30,1933,1967,1333,1787,165947
2018-09-30,1780,1780,1393,1600,157968
2018-12-31,1480,1533,1067,1347,258997
2019-03-31,1263,1267,980,1100,216264
2019-06-30,1067,1333,1027,1120,160531
2019-09-30,1100,1160,1053,1090,145233
2019-12-31,1100,1100,997,1030,225899
2020-03-31,1033,1180,987,1000,593945
2020-06-30,1003,1133,933,990,149993
2020-09-30,997,1013,860,1013,260990
2020-12-31,1000,1000,867,997,283137
2021-03-31,987,1037,893,1013,192249
2021-06-30,1013,1220,1003,1167,203163
2021-09-30,1163,1613,1133,1520,173721
2021-12-31,1520,1833,1507,1567,342884
2022-03-31,1567,1853,1507,1717,228470
2022-06-30,1727,1730,1433,1580,182414
2022-09-30,1580,1693,1570,1610,247712
2022-12-31,1610,1733,1527,1633,185876
2023-03-31,1720,1723,1443,1463,219972
2023-06-30,1467,1933,1450,1867,278108
2023-09-30,1867,2200,1800,2200,157820
2023-12-31,2133,2433,1913,2133,232538
2024-03-31,2130,2267,1970,2267,204510
2024-06-30,2267,2867,2200,2583,196847
2024-09-30,2593,4180,2540,3750,214692
2024-12-31,3800,4140,2955,3150,141156
2025-03-31,3150,4025,2550,3950,220193
2025-06-30,3950,4335,3765,4140,694090
2025-09-30,4140,5600,4000,5600,448302
2025-12-31,5600,5895,5050,5240,305650
2026-03-31,5240,7200,5200,6600,391560
2026-06-30,6650,8200,6255,7440,482580
2026-09-30,7440,8750,7200,8445,444668
