Date,Open,High,Low,Close,Volume
2014-12-15,1075,1335,1075,1335,1650
2014-12-22,1435,1916,1435,1916,289560
2014-12-29,2000,2168,2000,2067,194730
2015-01-05,2067,2250,2067,2217,54090
2015-01-12,2167,2233,2004,2070,142680
2015-01-19,2067,2133,1857,2000,87750
2015-01-26,1983,2000,1867,1967,35550
2015-02-02,1997,2167,1933,2100,187290
2015-02-09,2100,2233,2100,2137,69480
2015-02-16,2137,2267,2133,2267,22920
2015-02-23,2260,2260,2170,2173,31140
2015-03-02,2170,2267,2170,2200,14700
2015-03-09,2200,2467,2183,2334,27300
2015-03-16,2334,2500,2334,2433,32040
2015-03-23,2433,2500,2400,2433,30480
2015-03-30,2433,2483,2400,2467,13200
2015-04-06,2483,2483,2367,2483,18540
2015-04-13,2500,2500,2000,2000,29370
2015-04-20,2017,2133,1850,2067,16980
2015-04-27,2067,2067,2033,2067,27060
2015-05-04,2067,2167,2067,2167,5100
2015-05-11,2183,2233,2133,2167,36300
2015-05-18,2167,2233,2167,2167,26220
2015-05-25,2133,2200,2133,2167,11430
2015-06-01,2217,2250,2167,2250,72780
2015-06-08,2167,2233,2167,2200,8730
2015-06-15,2167,2247,2167,2247,12690
2015-06-22,2247,2267,2200,2233,35910
2015-06-29,2233,2327,2233,2307,31770
2015-07-06,2334,2509,2330,2334,11160
2015-07-13,2467,2500,2350,2500,48960
2015-07-20,2467,2667,2467,2533,31260
2015-07-27,2533,2557,2533,2534,94590
2015-08-03,2533,2567,2500,2534,14520
2015-08-10,2533,2724,2533,2700,41190
2015-08-17,2700,2883,2603,2733,52860
2015-08-24,2700,2833,2667,2767,21360
2015-08-31,2767,2900,2733,2833,25350
2015-09-07,2833,2850,2800,2817,83610
2015-09-14,2800,2870,2800,2867,11550
2015-09-21,2834,2867,2800,2800,12900
2015-09-28,2800,2800,2667,2700,6990
2015-10-05,2650,2734,2650,2733,123960
2015-10-12,2733,2767,2717,2717,137640
2015-10-19,2717,2833,2717,2728,96450
2015-10-26,2728,2900,2723,2723,91950
2015-11-02,2733,2833,2723,2724,33480
2015-11-09,2723,2733,2667,2667,10170
2015-11-16,2633,2633,2500,2500,45120
2015-11-23,2483,2483,2200,2267,26610
2015-11-30,2267,2333,2233,2267,20100
2015-12-07,2267,2400,2267,2400,55230
2015-12-14,2267,2400,2267,2267,8460
2015-12-21,2267,2267,2167,2233,36150
2015-12-28,2217,2333,2173,2173,9780
2016-01-04,2188,2633,2173,2467,18000
2016-01-11,2400,2400,2333,2333,4770
2016-01-18,2300,2333,2207,2333,22770
2016-01-25,2333,2333,2260,2267,5520
2016-02-01,2267,2300,2263,2267,27180
2016-02-08,2333,2383,2300,2383,26070
2016-02-15,2400,2500,2333,2333,71010
2016-02-22,2367,2500,2367,2500,56130
2016-02-29,2517,2800,2517,2700,28770
2016-03-07,2690,2767,2667,2733,114120
2016-03-14,2700,2767,2700,2733,36990
2016-03-21,2734,2767,2667,2717,46140
2016-03-28,2700,2715,2660,2667,8160
2016-04-04,2467,2633,2467,2633,132120
2016-04-11,2633,2667,2567,2567,36810
2016-04-18,2567,2583,2533,2533,5910
2016-04-25,2567,2570,2500,2500,18240
2016-05-02,2500,2533,2480,2533,9990
2016-05-09,2533,2550,2450,2467,18210
2016-05-16,2500,2500,2467,2500,14460
2016-05-23,2467,2467,2267,2267,22020
2016-05-30,2267,2300,2250,2250,18030
2016-06-06,2233,2233,2133,2133,24570
2016-06-13,2167,2200,2117,2200,16170
2016-06-20,2167,2200,2150,2200,56250
2016-06-27,2200,2200,2167,2197,108150
2016-07-04,2197,2233,2167,2167,36870
2016-07-11,2167,2200,2167,2167,33960
2016-07-18,2150,2167,2100,2100,17400
2016-07-25,2033,2033,1933,1967,11910
2016-08-01,1967,2033,1945,2033,12420
2016-08-08,2017,2017,2000,2000,9990
2016-08-15,2000,2000,1983,1984,7860
2016-08-22,2033,2034,2000,2000,6690
2016-08-29,2000,2007,1967,2007,11970
2016-09-05,2007,2317,2007,2317,5610
2016-09-12,2160,2160,2133,2158,6660
2016-09-19,2133,2158,2083,2100,7770
2016-09-26,2117,2117,1833,1833,17490
2016-10-03,1833,1833,1733,1767,10860
2016-10-10,1800,1837,1770,1833,9000
2016-10-17,1833,1833,1767,1767,6450
2016-10-24,1767,1767,1667,1667,4170
2016-10-31,1667,1667,1667,1667,8550
2016-11-07,1542,1667,1542,1650,10410
2016-11-14,1650,1650,1333,1433,7800
2016-11-21,1433,1433,1333,1333,7170
2016-11-28,1383,1433,1367,1433,15780
2016-12-05,1541,1633,1533,1633,11820
2016-12-12,1600,1600,1500,1533,10560
2016-12-19,1533,1648,1500,1567,4410
