Date,Open,High,Low,Close,Volume
2014-12-31,1075,2250,1075,2150,533730
2015-12-31,2247,2900,1850,2633,2202360
2016-12-31,2467,2800,1333,1567,1236060
2017-12-31,1583,2633,1357,1667,1388012
2018-12-31,1667,2230,1067,1347,901131
2019-12-31,1263,1333,980,1030,747927
2020-12-31,1033,1180,860,997,1288065
2021-12-31,987,1833,893,1567,912017
2022-12-31,1567,1853,1433,1633,844472
2023-12-31,1720,2433,1443,2133,888438
2024-12-31,2130,4180,1970,3150,757205
2025-12-31,3150,5895,2550,5240,1668235
2026-12-31,5240,8500,5200,8500,1293473
