Date,Open,High,Low,Close,Volume
2025-01-06,101.38,102.32,99.85,102.32,
2025-01-13,100.61,101.77,100.61,101.03,
2025-01-20,100.4,100.6,99.2,99.66,
2025-01-27,99.81,99.81,97.72,98.74,
2025-02-03,100.52,100.99,98.93,100.99,
2025-02-10,102.68,105.84,102.68,105.84,
2025-02-17,104.1,109.75,104.1,109.75,
2025-02-24,111.27,113.89,111.17,113.89,
2025-03-03,113.82,113.82,112.2,113.7,
2025-03-10,113.86,117.77,113.86,117.77,
2025-03-17,117.29,120.1,117.29,119.91,
2025-03-24,120.64,122.49,119.41,121.28,
2025-03-31,120.09,120.45,120.07,120.07,
2025-04-07,119.86,119.86,118.23,118.23,
2025-04-14,117.26,117.46,115.09,117.46,
2025-04-21,117.3,119.1,117.3,119.1,
2025-04-28,121.04,125.66,121.04,125.66,
2025-05-05,125.38,126.07,125.23,126.07,
2025-05-12,127.32,134.91,127.32,134.91,
2025-05-19,137.62,148.93,137.62,148.93,
2025-05-26,151.21,152.72,149.2,149.2,
2025-06-02,154.94,157.53,154.94,157.53,
2025-06-09,154.58,155.95,154.58,155.16,
2025-06-16,157.54,163.92,157.54,163.92,
2025-06-23,163.32,169.75,163.32,169.05,
2025-06-30,171.22,173.2,169.54,173.2,
2025-07-07,172.4,178.9,172.4,178.3,
2025-07-14,174.92,177.14,172.36,177.14,
2025-07-21,176.29,183.57,176.29,183.57,
2025-07-28,188.09,200.08,188.09,200.08,
2025-08-04,204.04,215.21,204.04,215.03,
2025-08-11,216.19,217.65,216.19,217.17,
2025-08-18,217.24,217.89,217.18,217.34,
2025-08-25,220.49,221.93,219.26,221.86,
2025-09-01,222.19,222.19,212.93,212.93,
2025-09-08,209.51,210.16,204.59,204.59,
2025-09-15,201.04,201.04,194.46,194.46,
2025-09-22,192.72,192.72,185.85,185.85,
2025-09-29,184.97,190.26,183.77,187.55,
2025-10-06,185.56,192.99,185.56,192.99,
2025-10-13,192.06,194.06,189.79,189.79,
2025-10-20,191.47,194.82,191.47,193.79,
2025-10-27,189.95,191.64,189.95,191.64,
2025-11-03,193.64,202.47,193.64,201.03,
2025-11-10,196.61,197.25,191.18,197.25,
2025-11-17,198.03,210.28,198.03,210.28,
2025-11-24,215.94,222.65,215.94,222.65,
2025-12-01,225.01,226.28,224.23,225.7,
2025-12-08,225.67,225.67,224.67,224.89,
2025-12-15,224.69,224.69,220.71,222.9,
2025-12-22,222.7,222.7,214.54,214.54,
2025-12-29,213.14,214.13,212.61,212.99,
2026-01-05,212.87,216.08,212.87,215.68,
2026-01-12,213.63,218.12,213.63,218.07,
2026-01-19,220.87,231.36,220.83,231.36,
2026-01-26,225.22,232.26,225.22,229.82,
2026-02-02,229.43,233.7,229.43,230.85,
2026-02-09,231.68,248.9,231.68,248.9,
2026-02-16,256.25,282.18,256.25,282.18,
2026-02-23,284.89,284.89,281.89,284.65,
2026-03-02,283.9,300.96,283.9,297.53,
2026-03-09,296.64,296.64,280.35,284.26,
2026-03-16,290.79,291.34,290.52,290.52,
2026-03-23,284.78,284.78,269.26,269.26,
2026-03-30,271.73,271.73,259.3,266.98,
2026-04-06,270.0,277.78,270.0,277.78,
2026-04-13,272.03,272.03,265.4,267.64,
2026-04-20,269.73,269.73,264.17,266.73,
2026-04-27,263.94,268.45,262.09,268.45,
2026-05-04,259.29,265.66,255.61,260.22,
2026-05-11,259.64,262.43,259.64,262.43,
2026-05-18,258.74,264.44,258.74,259.53,
2026-05-25,258.55,266.67,258.55,266.67,
2026-06-01,263.8,268.01,263.8,266.29,
2026-06-08,268.22,274.32,268.22,274.32,
2026-06-15,276.25,281.91,276.25,279.42,
2026-06-22,278.89,281.85,277.95,281.85,
2026-06-29,279.58,283.97,279.58,283.97,
2026-07-06,286.68,289.71,285.08,286.21,
2026-07-13,292.8,292.8,283.48,284.42,
2026-07-20,283.72,283.93,280.12,280.12,
2026-07-27,278.74,284.11,278.74,280.78,
2026-08-03,282.91,285.01,279.38,281.2,
2026-08-10,285.62,285.83,285.0,285.83,
2026-08-17,288.66,290.97,287.01,290.97,
2026-08-24,287.69,291.01,285.57,285.77,
2026-08-31,287.38,289.28,281.57,289.28,
2026-09-07,288.02,289.46,288.02,289.46,
