Date,Open,High,Low,Close,Volume
2025-01-02,100.46,100.46,100.46,100.46,0
2025-01-03,102.81,102.81,102.81,102.81,0
2025-01-06,101.58,101.58,101.58,101.58,0
2025-01-07,98.69,98.69,98.69,98.69,0
2025-01-08,100.31,100.31,100.31,100.31,0
2025-01-09,99.56,99.56,99.56,99.56,0
2025-01-10,99.61,99.61,99.61,99.61,0
2025-01-13,99.3,99.3,99.3,99.3,0
2025-01-14,98.88,98.88,98.88,98.88,0
2025-01-15,97.36,97.36,97.36,97.36,0
2025-01-16,96.45,96.45,96.45,96.45,0
2025-01-17,95.57,95.57,95.57,95.57,0
2025-01-20,98.38,98.38,98.38,98.38,0
2025-01-21,97.37,97.37,97.37,97.37,0
2025-01-22,97.8,97.8,97.8,97.8,0
2025-01-23,97.68,97.68,97.68,97.68,0
2025-01-24,96.92,96.92,96.92,96.92,0
2025-01-27,98.74,98.74,98.74,98.74,0
2025-01-28,98.7,98.7,98.7,98.7,0
2025-01-29,98.28,98.28,98.28,98.28,0
2025-01-30,97.64,97.64,97.64,97.64,0
2025-01-31,98.02,98.02,98.02,98.02,0
2025-02-03,96.72,96.72,96.72,96.72,0
2025-02-04,96.86,96.86,96.86,96.86,0
2025-02-05,97.42,97.42,97.42,97.42,0
2025-02-06,99.87,99.87,99.87,99.87,0
2025-02-07,99.37,99.37,99.37,99.37,0
2025-02-10,99.2,99.2,99.2,99.2,0
2025-02-11,97.31,97.31,97.31,97.31,0
2025-02-12,99.31,99.31,99.31,99.31,0
2025-02-13,99.17,99.17,99.17,99.17,0
2025-02-14,97.96,97.96,97.96,97.96,0
2025-02-17,98.69,98.69,98.69,98.69,0
2025-02-18,97.88,97.88,97.88,97.88,0
2025-02-19,97.96,97.96,97.96,97.96,0
2025-02-20,98.87,98.87,98.87,98.87,0
2025-02-21,99.66,99.66,99.66,99.66,0
2025-02-24,100.21,100.21,100.21,100.21,0
2025-02-25,100.13,100.13,100.13,100.13,0
2025-02-26,100.67,100.67,100.67,100.67,0
2025-02-27,100.43,100.43,100.43,100.43,0
2025-02-28,102.33,102.33,102.33,102.33,0
