Date,Open,High,Low,Close,Volume
2025-01-06,100.46,102.81,100.46,101.58,
2025-01-13,98.69,100.31,98.69,99.3,
2025-01-20,98.88,98.88,95.57,98.38,
2025-01-27,97.37,98.74,96.92,98.74,
2025-02-03,98.7,98.7,96.72,96.72,
2025-02-10,96.86,99.87,96.86,99.2,
2025-02-17,97.31,99.31,97.31,98.69,
2025-02-24,97.88,100.21,97.88,100.21,
2025-03-03,100.13,102.33,100.13,102.04,
2025-03-10,100.7,100.72,99.07,99.07,
2025-03-17,99.56,99.97,98.94,99.83,
2025-03-24,100.01,100.02,97.51,99.74,
2025-03-31,98.83,101.47,98.83,101.47,
2025-04-07,100.1,100.1,97.06,99.95,
2025-04-14,99.85,99.85,97.85,98.55,
2025-04-21,98.74,98.75,95.78,98.08,
2025-04-28,97.36,98.95,96.1,98.16,
2025-05-05,98.23,98.73,98.15,98.64,
2025-05-12,96.32,100.56,96.32,100.56,
2025-05-19,101.48,103.09,100.14,103.09,
2025-05-26,105.48,106.11,104.15,104.15,
2025-06-02,103.08,104.17,103.08,103.66,
2025-06-09,103.71,104.0,103.71,104.0,
2025-06-16,105.89,107.05,103.29,107.05,
2025-06-23,106.22,108.71,105.8,106.61,
2025-06-30,107.85,107.85,105.86,107.13,
2025-07-07,105.25,107.42,105.25,107.42,
2025-07-14,104.67,107.65,104.67,107.65,
2025-07-21,108.17,108.17,104.95,107.27,
2025-07-28,106.78,106.78,104.92,106.44,
2025-08-04,106.21,107.77,105.0,105.17,
2025-08-11,102.71,104.87,102.71,103.68,
2025-08-18,104.93,106.5,104.93,106.39,
2025-08-25,107.38,108.39,106.95,107.61,
2025-09-01,108.23,120.59,108.23,120.59,
2025-09-08,124.73,127.15,122.66,122.73,
2025-09-15,123.61,125.14,122.68,125.14,
2025-09-22,124.2,134.0,124.2,134.0,
2025-09-29,139.02,144.09,137.57,137.57,
2025-10-06,134.23,161.03,134.23,161.03,
2025-10-13,161.4,182.87,161.4,182.87,
2025-10-20,193.87,193.87,172.56,180.08,
2025-10-27,187.95,210.16,187.95,210.16,
2025-11-03,219.99,244.37,215.49,215.49,
2025-11-10,202.58,202.58,169.1,169.1,
2025-11-17,176.33,183.71,173.91,173.91,
2025-11-24,172.13,172.67,170.24,170.24,
2025-12-01,173.04,184.8,173.04,184.8,
2025-12-08,190.07,190.07,183.58,183.58,
2025-12-15,176.83,176.83,168.1,168.17,
2025-12-22,170.59,171.1,170.52,170.52,
2025-12-29,167.85,177.12,167.85,177.12,
2026-01-05,174.53,174.53,163.32,163.32,
2026-01-12,158.97,164.65,158.97,164.34,
2026-01-19,163.99,172.07,163.99,171.76,
2026-01-26,169.39,180.39,167.98,180.39,
2026-02-02,181.8,181.8,178.71,178.71,
2026-02-09,179.19,188.51,179.19,188.41,
2026-02-16,193.84,193.84,188.28,188.36,
2026-02-23,190.02,201.1,190.02,201.1,
2026-03-02,201.4,208.86,201.4,202.83,
2026-03-09,207.39,209.14,202.26,202.26,
2026-03-16,208.12,208.12,196.53,196.53,
2026-03-23,201.05,205.6,201.05,204.35,
2026-03-30,198.74,198.74,195.15,195.15,
2026-04-06,195.75,195.75,193.61,193.77,
2026-04-13,195.93,200.28,194.99,194.99,
2026-04-20,193.04,193.04,185.53,188.19,
2026-04-27,190.15,195.83,189.72,195.83,
2026-05-04,194.12,194.12,178.05,178.05,
2026-05-11,170.81,174.1,170.81,172.35,
2026-05-18,172.83,184.6,172.83,180.61,
2026-05-25,181.25,181.59,179.63,181.59,
2026-06-01,183.0,184.68,182.28,184.36,
2026-06-08,186.72,189.32,186.72,188.51,
2026-06-15,188.74,195.42,188.74,195.42,
2026-06-22,198.94,214.46,198.94,204.46,
2026-06-29,202.84,210.48,194.04,210.48,
2026-07-06,210.69,210.69,203.0,203.0,
2026-07-13,193.85,193.85,188.3,189.92,
2026-07-20,194.68,202.18,192.79,202.18,
2026-07-27,196.12,204.59,196.12,202.51,
2026-08-03,202.31,205.14,198.56,205.14,
2026-08-10,203.5,203.6,202.29,203.6,
2026-08-17,203.47,203.84,195.95,202.07,
2026-08-24,199.72,214.68,199.72,214.68,
2026-08-31,214.8,215.76,214.8,215.76,
2026-09-07,212.56,216.53,212.56,216.53,
