Date,Open,High,Low,Close,Volume
2025-01-02,101.35,101.35,101.35,101.35,0
2025-01-03,100.33,100.33,100.33,100.33,0
2025-01-06,100.6,100.6,100.6,100.6,0
2025-01-07,98.96,98.96,98.96,98.96,0
2025-01-08,100.53,100.53,100.53,100.53,0
2025-01-09,99.48,99.48,99.48,99.48,0
2025-01-10,100.72,100.72,100.72,100.72,0
2025-01-13,98.23,98.23,98.23,98.23,0
2025-01-14,99.01,99.01,99.01,99.01,0
2025-01-15,95.96,95.96,95.96,95.96,0
2025-01-16,96.35,96.35,96.35,96.35,0
2025-01-17,96.4,96.4,96.4,96.4,0
2025-01-20,97.07,97.07,97.07,97.07,0
2025-01-21,97.5,97.5,97.5,97.5,0
2025-01-22,95.74,95.74,95.74,95.74,0
2025-01-23,95.96,95.96,95.96,95.96,0
2025-01-24,96.49,96.49,96.49,96.49,0
2025-01-27,96.96,96.96,96.96,96.96,0
2025-01-28,96.23,96.23,96.23,96.23,0
2025-01-29,95.08,95.08,95.08,95.08,0
2025-01-30,94.0,94.0,94.0,94.0,0
2025-01-31,96.52,96.52,96.52,96.52,0
2025-02-03,95.76,95.76,95.76,95.76,0
2025-02-04,96.27,96.27,96.27,96.27,0
2025-02-05,96.01,96.01,96.01,96.01,0
2025-02-06,95.23,95.23,95.23,95.23,0
2025-02-07,97.6,97.6,97.6,97.6,0
2025-02-10,98.24,98.24,98.24,98.24,0
2025-02-11,97.26,97.26,97.26,97.26,0
2025-02-12,97.59,97.59,97.59,97.59,0
2025-02-13,97.19,97.19,97.19,97.19,0
2025-02-14,101.37,101.37,101.37,101.37,0
2025-02-17,103.9,103.9,103.9,103.9,0
2025-02-18,107.89,107.89,107.89,107.89,0
2025-02-19,111.27,111.27,111.27,111.27,0
2025-02-20,111.84,111.84,111.84,111.84,0
2025-02-21,111.84,111.84,111.84,111.84,0
2025-02-24,107.19,107.19,107.19,107.19,0
2025-02-25,109.58,109.58,109.58,109.58,0
2025-02-26,111.81,111.81,111.81,111.81,0
2025-02-27,116.27,116.27,116.27,116.27,0
2025-02-28,120.83,120.83,120.83,120.83,0
2025-03-03,120.58,120.58,120.58,120.58,0
2025-03-04,120.98,120.98,120.98,120.98,0
2025-03-05,119.73,119.73,119.73,119.73,0
2025-03-06,121.67,121.67,121.67,121.67,0
2025-03-07,123.72,123.72,123.72,123.72,0
