Date,Open,High,Low,Close,Volume
2025-01-31,99.16,100.17,95.91,98.24,0
2025-02-28,98.25,106.4,98.25,106.4,0
2025-03-31,107.66,120.98,107.66,119.6,0
2025-04-30,117.65,118.27,115.41,118.27,0
2025-05-31,117.3,155.65,116.51,155.65,0
2025-06-30,158.31,162.99,126.46,126.46,0
2025-07-31,125.96,139.71,125.96,138.83,0
2025-08-31,138.9,143.89,135.88,137.31,0
2025-09-30,138.77,143.57,118.39,121.66,0
2025-10-31,122.54,132.12,122.54,123.7,0
2025-11-30,122.24,134.35,120.52,122.49,0
2025-12-31,123.14,132.83,121.55,132.33,0
2026-01-31,132.35,159.73,130.52,159.73,0
2026-02-28,161.02,219.53,161.02,213.45,0
2026-03-31,208.33,208.79,186.6,202.24,0
2026-04-30,204.44,217.43,188.61,190.29,0
2026-05-31,184.8,189.88,180.14,189.88,0
2026-06-30,192.59,224.53,192.59,221.43,0
2026-07-31,216.65,225.74,201.27,215.02,0
2026-08-31,218.78,222.87,200.22,219.6,0
