Date,Open,High,Low,Close,Volume
2025-01-06,99.16,100.17,98.97,100.17,0
2025-01-13,98.08,98.72,97.69,97.78,0
2025-01-20,97.1,98.38,95.91,98.38,0
2025-01-27,98.8,98.9,98.37,98.9,0
2025-02-03,97.35,98.25,97.35,98.25,0
2025-02-10,98.48,104.95,98.48,104.95,0
2025-02-17,103.59,104.1,103.34,103.35,0
2025-02-24,102.87,105.94,102.87,105.94,0
2025-03-03,105.82,107.66,105.54,107.66,0
2025-03-10,109.06,116.3,109.06,116.3,0
2025-03-17,116.77,120.57,116.0,120.57,0
2025-03-24,120.98,120.98,118.68,119.91,0
2025-03-31,118.82,119.6,118.27,119.6,0
2025-04-07,117.65,117.65,116.46,116.46,0
2025-04-14,115.57,117.67,115.41,117.67,0
2025-04-21,117.31,118.1,117.31,117.51,0
2025-04-28,117.79,117.79,116.67,116.67,0
2025-05-05,117.06,118.27,116.51,116.51,0
2025-05-12,119.21,128.55,119.21,128.55,0
2025-05-19,127.92,131.85,127.92,131.85,0
2025-05-26,131.05,137.16,129.71,137.16,0
2025-06-02,140.69,158.31,140.69,158.31,0
2025-06-09,162.99,162.99,155.94,155.94,0
2025-06-16,152.67,155.39,152.51,153.56,0
2025-06-23,154.69,154.69,149.5,149.5,0
2025-06-30,143.45,143.45,126.46,126.46,0
2025-07-07,125.96,133.4,125.96,133.4,0
2025-07-14,134.55,134.55,130.22,130.22,0
2025-07-21,131.02,133.06,131.02,133.06,0
2025-07-28,134.61,139.71,134.55,134.55,0
2025-08-04,135.91,138.9,135.88,137.14,0
2025-08-11,138.15,138.37,136.99,136.99,0
2025-08-18,135.88,139.13,135.88,139.13,0
2025-08-25,140.04,143.89,140.04,143.89,0
2025-09-01,142.06,142.06,137.31,138.77,0
2025-09-08,137.76,138.39,136.53,138.39,0
2025-09-15,138.45,142.19,138.45,142.19,0
2025-09-22,142.01,143.57,141.25,143.57,0
2025-09-29,142.38,142.38,118.39,119.09,0
2025-10-06,121.66,131.68,121.66,131.68,0
2025-10-13,130.0,132.12,126.51,132.12,0
2025-10-20,130.44,131.37,128.07,128.88,0
2025-10-27,129.32,129.32,126.65,127.69,0
2025-11-03,128.59,128.59,122.24,122.24,0
2025-11-10,120.52,131.46,120.52,131.46,0
2025-11-17,134.35,134.35,124.51,124.51,0
2025-11-24,122.1,124.2,122.1,123.77,0
2025-12-01,123.36,123.36,120.59,123.14,0
2025-12-08,121.55,123.69,121.55,121.78,0
2025-12-15,123.99,125.48,122.97,125.48,0
2025-12-22,125.63,128.91,125.63,127.01,0
2025-12-29,130.26,132.83,130.26,132.49,0
2026-01-05,132.17,132.35,130.82,130.82,0
2026-01-12,130.52,138.53,130.52,138.53,0
2026-01-19,140.11,146.16,140.11,146.16,0
2026-01-26,145.41,147.6,145.41,147.6,0
2026-02-02,149.68,161.02,149.68,161.02,0
2026-02-09,161.21,187.66,161.21,187.66,0
2026-02-16,197.02,199.49,184.63,184.63,0
2026-02-23,193.58,215.2,193.58,215.2,0
2026-03-02,219.53,219.53,208.33,208.33,0
2026-03-09,206.26,208.79,197.71,203.04,0
2026-03-16,207.84,207.84,201.11,202.16,0
2026-03-23,198.21,198.21,186.6,192.49,0
2026-03-30,196.8,205.8,196.8,202.72,0
2026-04-06,202.24,208.44,202.24,208.44,0
2026-04-13,212.16,217.43,211.55,212.78,0
2026-04-20,207.09,207.09,188.61,190.41,0
2026-04-27,192.57,195.51,190.94,191.52,0
2026-05-04,190.69,190.88,184.8,184.8,0
2026-05-11,184.77,187.43,180.14,180.14,0
2026-05-18,182.75,188.39,182.75,182.99,0
2026-05-25,182.73,184.86,182.73,184.86,0
2026-06-01,186.14,192.59,185.74,192.59,0
2026-06-08,197.81,206.16,197.67,203.17,0
2026-06-15,203.11,210.79,203.11,210.79,0
2026-06-22,217.03,217.26,215.12,215.12,0
2026-06-29,221.17,224.53,221.17,222.57,0
2026-07-06,221.43,221.43,216.65,218.5,0
2026-07-13,214.33,214.33,201.27,201.45,0
2026-07-20,208.27,225.74,208.27,225.74,0
2026-07-27,224.21,224.42,215.53,215.53,0
2026-08-03,215.55,218.78,215.02,218.78,0
2026-08-10,209.79,212.78,200.22,212.78,0
2026-08-17,216.84,222.87,216.84,217.68,0
2026-08-24,215.09,222.99,215.09,219.4,0
2026-08-31,211.68,214.34,211.68,214.34,0
