Date,Open,High,Low,Close,Volume
2025-01-06,99.57,99.57,98.98,98.98,
2025-01-13,97.23,97.81,96.07,96.78,
2025-01-20,96.46,96.71,96.06,96.66,
2025-01-27,96.13,97.23,96.13,97.23,
2025-02-03,97.42,98.59,97.37,98.25,
2025-02-10,99.59,100.89,99.51,100.65,
2025-02-17,100.06,102.57,99.55,102.57,
2025-02-24,103.05,105.51,103.05,105.51,
2025-03-03,105.12,106.13,105.12,106.13,
2025-03-10,106.1,109.02,106.1,109.02,
2025-03-17,109.08,109.88,109.08,109.77,
2025-03-24,110.74,113.39,110.74,113.39,
2025-03-31,113.68,113.68,112.88,112.88,
2025-04-07,111.56,112.13,111.48,111.96,
2025-04-14,112.27,113.2,111.94,113.2,
2025-04-21,113.28,113.28,112.61,112.61,
2025-04-28,113.42,113.64,112.62,112.62,
2025-05-05,112.19,112.19,110.72,110.72,
2025-05-12,111.51,112.75,111.51,112.36,
2025-05-19,112.35,115.77,112.35,115.58,
2025-05-26,116.96,118.17,115.85,118.17,
2025-06-02,118.04,118.04,115.55,115.55,
2025-06-09,114.28,115.54,114.28,115.54,
2025-06-16,116.91,118.49,116.91,118.49,
2025-06-23,118.38,122.41,118.38,122.41,
2025-06-30,121.2,121.62,121.06,121.27,
2025-07-07,120.91,120.91,119.56,120.1,
2025-07-14,118.24,120.67,118.24,120.42,
2025-07-21,119.92,120.83,119.3,120.29,
2025-07-28,120.55,121.35,120.55,120.7,
2025-08-04,120.41,120.78,118.52,118.52,
2025-08-11,119.14,119.38,118.56,119.21,
2025-08-18,119.65,121.16,119.65,121.16,
2025-08-25,121.59,122.68,121.59,121.82,
2025-09-01,122.77,123.32,122.22,123.32,
2025-09-08,123.8,126.45,123.8,126.45,
2025-09-15,127.23,130.05,127.23,130.05,
2025-09-22,129.9,132.29,129.9,131.66,
2025-09-29,131.68,133.32,131.68,132.92,
2025-10-06,133.58,133.58,132.82,132.82,
2025-10-13,133.28,137.36,133.28,137.36,
2025-10-20,136.94,139.05,136.94,138.42,
2025-10-27,137.78,141.26,137.78,141.26,
2025-11-03,140.7,141.83,139.26,139.26,
2025-11-10,139.45,142.19,139.02,141.13,
2025-11-17,141.1,142.37,140.45,142.37,
2025-11-24,142.41,143.41,142.41,143.19,
2025-12-01,143.07,145.69,142.33,145.69,
2025-12-08,144.25,147.55,144.25,147.43,
2025-12-15,145.38,145.38,144.5,144.88,
2025-12-22,144.84,144.84,142.96,142.96,
2025-12-29,142.7,143.56,142.51,143.56,
2026-01-05,145.05,145.91,144.7,144.7,
2026-01-12,145.69,146.84,145.01,146.84,
2026-01-19,147.99,149.63,146.74,149.63,
2026-01-26,150.29,152.17,150.21,151.31,
2026-02-02,152.66,156.69,152.66,156.69,
2026-02-09,155.15,159.16,155.15,159.16,
2026-02-16,158.93,163.5,158.93,163.5,
2026-02-23,164.6,170.42,164.6,170.42,
2026-03-02,171.11,176.96,171.11,176.47,
2026-03-09,175.66,177.65,173.66,177.65,
2026-03-16,178.55,179.95,177.34,178.41,
2026-03-23,177.57,178.94,177.18,177.18,
2026-03-30,176.1,177.05,175.68,176.17,
2026-04-06,176.68,178.17,176.68,178.17,
2026-04-13,177.64,177.88,175.92,175.92,
2026-04-20,174.45,174.45,173.67,174.41,
2026-04-27,177.28,177.46,175.85,177.16,
2026-05-04,177.78,180.19,177.71,180.19,
2026-05-11,177.52,180.3,177.52,180.01,
2026-05-18,181.24,186.63,181.24,186.63,
2026-05-25,188.05,191.45,188.05,191.45,
2026-06-01,190.84,194.28,190.84,194.28,
2026-06-08,196.29,200.45,196.29,200.45,
2026-06-15,199.62,200.59,198.65,199.35,
2026-06-22,198.5,203.21,198.5,203.21,
2026-06-29,201.92,206.75,201.92,206.75,
2026-07-06,208.2,214.76,208.2,214.76,
2026-07-13,217.73,231.57,217.73,231.57,
2026-07-20,232.77,234.05,225.78,225.78,
2026-07-27,226.48,236.93,226.48,236.93,
2026-08-03,234.93,236.82,234.01,236.82,
2026-08-10,235.94,238.48,234.86,238.48,
2026-08-17,240.95,240.95,237.89,240.77,
2026-08-24,243.48,245.54,243.36,245.54,
2026-08-31,245.3,247.43,245.26,246.15,
2026-09-07,250.12,251.9,250.12,251.9,
