Date,Open,High,Low,Close,Volume
2025-01-31,100.19,100.63,96.67,100.11,0
2025-02-28,100.89,108.1,100.89,107.63,0
2025-03-31,110.84,124.19,110.84,117.66,0
2025-04-30,117.12,121.14,105.17,109.97,0
2025-05-31,107.53,109.97,103.01,106.82,0
2025-06-30,109.61,115.01,109.61,113.05,0
2025-07-31,112.76,112.76,101.59,104.49,0
2025-08-31,105.01,105.01,98.89,103.43,0
2025-09-30,103.41,109.35,103.41,104.39,0
2025-10-31,104.29,115.08,104.29,115.08,0
2025-11-30,114.25,116.46,111.93,111.93,0
2025-12-31,111.93,112.01,102.52,105.9,0
2026-01-31,107.19,118.54,106.15,118.42,0
2026-02-28,118.13,142.51,115.68,142.51,0
2026-03-31,149.37,151.78,141.71,148.15,0
2026-04-30,147.63,151.05,133.73,151.05,0
2026-05-31,151.05,190.5,143.82,190.5,0
2026-06-30,192.1,233.01,192.1,233.01,0
2026-07-31,233.05,238.69,216.0,222.36,0
2026-08-31,222.36,282.66,219.78,282.66,0
