Date,Open,High,Low,Close,Volume
2025-01-06,100.19,100.19,99.66,99.92,
2025-01-13,99.92,99.92,98.82,99.39,
2025-01-20,99.37,99.37,98.97,98.97,
2025-01-27,98.98,99.24,96.67,99.24,
2025-02-03,100.11,100.89,99.6,100.89,
2025-02-10,101.07,101.76,101.07,101.71,
2025-02-17,101.53,104.75,101.53,103.05,
2025-02-24,102.89,103.27,102.89,103.11,
2025-03-03,103.22,110.84,102.7,110.84,
2025-03-10,110.92,115.86,110.92,115.86,
2025-03-17,119.49,122.58,118.03,122.58,
2025-03-24,124.19,124.19,117.18,117.18,
2025-03-31,117.18,117.66,117.15,117.66,
2025-04-07,117.12,121.14,117.12,118.02,
2025-04-14,117.78,117.78,109.26,109.26,
2025-04-21,112.67,112.67,105.17,109.52,
2025-04-28,111.72,111.72,109.1,110.27,
2025-05-05,108.82,109.97,106.29,106.29,
2025-05-12,106.33,106.33,103.01,103.91,
2025-05-19,105.36,105.72,105.36,105.56,
2025-05-26,103.99,109.97,103.99,108.68,
2025-06-02,109.97,109.97,103.98,109.61,
2025-06-09,111.32,111.32,109.68,110.19,
2025-06-16,110.43,110.43,109.77,109.77,
2025-06-23,111.54,112.35,111.49,112.35,
2025-06-30,112.96,115.01,112.96,113.05,
2025-07-07,112.76,112.76,112.08,112.76,
2025-07-14,111.7,112.02,110.43,110.97,
2025-07-21,110.97,111.54,101.59,111.54,
2025-07-28,111.35,111.35,108.22,108.22,
2025-08-04,107.23,107.23,101.52,101.52,
2025-08-11,100.18,102.31,100.05,100.05,
2025-08-18,100.18,100.18,99.66,100.02,
2025-08-25,100.18,100.18,98.89,99.36,
2025-09-01,102.63,103.43,102.24,103.41,
2025-09-08,103.71,104.4,103.71,104.4,
2025-09-15,106.04,109.35,106.04,109.35,
2025-09-22,109.28,109.35,108.93,108.93,
2025-09-29,108.0,108.0,104.33,104.33,
2025-10-06,104.39,105.89,104.29,105.89,
2025-10-13,106.37,112.88,106.37,112.88,
2025-10-20,107.66,110.27,105.88,108.97,
2025-10-27,111.89,113.66,111.89,113.66,
2025-11-03,112.53,115.08,111.96,114.25,
2025-11-10,113.5,115.14,113.5,115.14,
2025-11-17,115.5,115.65,112.59,115.65,
2025-11-24,115.33,116.46,115.33,115.82,
2025-12-01,111.96,112.06,111.93,111.93,
2025-12-08,111.96,111.96,111.96,111.96,
2025-12-15,111.96,112.01,111.85,111.85,
2025-12-22,111.85,111.85,108.64,108.64,
2025-12-29,105.42,105.42,103.71,103.97,
2026-01-05,102.52,107.19,102.52,106.15,
2026-01-12,106.38,110.06,106.38,110.06,
2026-01-19,110.41,114.45,110.41,114.45,
2026-01-26,116.07,118.54,116.07,117.93,
2026-02-02,116.89,118.42,116.89,118.13,
2026-02-09,118.84,119.59,115.68,119.59,
2026-02-16,119.67,119.94,117.82,119.42,
2026-02-23,121.62,127.92,121.62,125.94,
2026-03-02,127.69,149.37,127.69,149.37,
2026-03-09,151.78,151.78,147.03,147.03,
2026-03-16,146.27,147.77,145.1,146.14,
2026-03-23,146.48,147.25,143.21,147.25,
2026-03-30,146.38,146.38,141.71,144.41,
2026-04-06,148.15,148.15,147.63,147.63,
2026-04-13,146.54,146.54,138.29,138.29,
2026-04-20,137.81,137.97,135.34,135.34,
2026-04-27,136.97,139.55,133.73,133.99,
2026-05-04,142.57,151.05,142.57,151.05,
2026-05-11,143.82,154.14,143.82,149.96,
2026-05-18,154.57,162.13,154.57,162.13,
2026-05-25,164.79,187.32,164.79,187.32,
2026-06-01,186.41,192.1,186.41,192.1,
2026-06-08,202.11,228.52,202.11,224.38,
2026-06-15,224.49,224.49,221.01,222.98,
2026-06-22,222.74,222.74,214.48,222.46,
2026-06-29,223.34,232.53,223.34,232.53,
2026-07-06,233.01,238.69,232.76,238.69,
2026-07-13,238.69,238.69,229.92,229.92,
2026-07-20,225.69,228.47,216.0,228.47,
2026-07-27,228.84,234.91,228.8,229.0,
2026-08-03,234.58,234.58,221.07,222.36,
2026-08-10,222.2,227.14,219.78,227.14,
2026-08-17,231.04,251.93,231.04,251.93,
2026-08-24,266.47,293.79,266.47,286.25,
2026-08-31,288.78,288.78,280.54,282.39,
2026-09-07,278.23,278.23,278.23,278.23,
