Date,Open,High,Low,Close,Volume
2025-01-02,99.99,99.99,99.99,99.99,
2025-01-03,100.14,100.14,100.14,100.14,
2025-01-06,99.95,99.95,99.95,99.95,
2025-01-07,100.57,100.57,100.57,100.57,
2025-01-08,98.98,98.98,98.98,98.98,
2025-01-09,99.59,99.59,99.59,99.59,
2025-01-10,98.27,98.27,98.27,98.27,
2025-01-13,100.61,100.61,100.61,100.61,
2025-01-14,98.48,98.48,98.48,98.48,
2025-01-15,98.58,98.58,98.58,98.58,
2025-01-16,99.03,99.03,99.03,99.03,
2025-01-17,100.89,100.89,100.89,100.89,
2025-01-20,99.93,99.93,99.93,99.93,
2025-01-21,99.93,99.93,99.93,99.93,
2025-01-22,100.13,100.13,100.13,100.13,
2025-01-23,100.99,100.99,100.99,100.99,
2025-01-24,101.35,101.35,101.35,101.35,
2025-01-27,102.4,102.4,102.4,102.4,
2025-01-28,103.36,103.36,103.36,103.36,
2025-01-29,103.36,103.36,103.36,103.36,
2025-01-30,102.1,102.1,102.1,102.1,
2025-01-31,102.47,102.47,102.47,102.47,
2025-02-03,102.2,102.2,102.2,102.2,
2025-02-04,102.78,102.78,102.78,102.78,
2025-02-05,102.91,102.91,102.91,102.91,
2025-02-06,103.83,103.83,103.83,103.83,
2025-02-07,103.56,103.56,103.56,103.56,
2025-02-10,102.29,102.29,102.29,102.29,
2025-02-11,102.79,102.79,102.79,102.79,
2025-02-12,103.44,103.44,103.44,103.44,
2025-02-13,103.66,103.66,103.66,103.66,
2025-02-14,103.6,103.6,103.6,103.6,
2025-02-17,102.47,102.47,102.47,102.47,
2025-02-18,102.56,102.56,102.56,102.56,
2025-02-19,103.45,103.45,103.45,103.45,
2025-02-20,105.42,105.42,105.42,105.42,
2025-02-21,106.36,106.36,106.36,106.36,
2025-02-24,105.31,105.31,105.31,105.31,
2025-02-25,103.13,103.13,103.13,103.13,
2025-02-26,103.71,103.71,103.71,103.71,
2025-02-27,103.61,103.61,103.61,103.61,
2025-02-28,103.88,103.88,103.88,103.88,
2025-03-03,103.62,103.62,103.62,103.62,
2025-03-04,101.82,101.82,101.82,101.82,
2025-03-05,101.58,101.58,101.58,101.58,
2025-03-06,101.61,101.61,101.61,101.61,
2025-03-07,101.77,101.77,101.77,101.77,
2025-03-10,100.33,100.33,100.33,100.33,
2025-03-11,99.9,99.9,99.9,99.9,
2025-03-12,99.54,99.54,99.54,99.54,
2025-03-13,98.84,98.84,98.84,98.84,
2025-03-14,98.8,98.8,98.8,98.8,
2025-03-17,99.0,99.0,99.0,99.0,
2025-03-18,98.07,98.07,98.07,98.07,
2025-03-19,95.3,95.3,95.3,95.3,
2025-03-20,92.95,92.95,92.95,92.95,
2025-03-21,90.0,90.0,90.0,90.0,
2025-03-24,91.17,91.17,91.17,91.17,
2025-03-25,91.06,91.06,91.06,91.06,
2025-03-26,92.5,92.5,92.5,92.5,
2025-03-28,93.84,93.84,93.84,93.84,
2025-04-01,95.36,95.36,95.36,95.36,
2025-04-02,95.25,95.25,95.25,95.25,
2025-04-03,95.11,95.11,95.11,95.11,
2025-04-04,96.19,96.19,96.19,96.19,
2025-04-07,95.66,95.66,95.66,95.66,
2025-04-08,95.36,95.36,95.36,95.36,
2025-04-09,93.84,93.84,93.84,93.84,
2025-04-10,95.84,95.84,95.84,95.84,
2025-04-11,97.47,97.47,97.47,97.47,
2025-04-14,93.97,93.97,93.97,93.97,
2025-04-15,93.67,93.67,93.67,93.67,
2025-04-16,93.54,93.54,93.54,93.54,
2025-04-17,94.99,94.99,94.99,94.99,
2025-04-18,90.4,90.4,90.4,90.4,
2025-04-22,92.83,92.83,92.83,92.83,
2025-04-23,92.78,92.78,92.78,92.78,
2025-04-24,93.62,93.62,93.62,93.62,
2025-04-25,93.2,93.2,93.2,93.2,
2025-04-28,92.43,92.43,92.43,92.43,
2025-04-29,94.04,94.04,94.04,94.04,
2025-04-30,94.24,94.24,94.24,94.24,
2025-05-02,96.06,96.06,96.06,96.06,
2025-05-05,95.87,95.87,95.87,95.87,
2025-05-06,97.59,97.59,97.59,97.59,
2025-05-07,97.74,97.74,97.74,97.74,
2025-05-08,98.58,98.58,98.58,98.58,
2025-05-09,99.36,99.36,99.36,99.36,
2025-05-12,99.53,99.53,99.53,99.53,
2025-05-13,99.54,99.54,99.54,99.54,
2025-05-14,99.63,99.63,99.63,99.63,
2025-05-15,99.63,99.63,99.63,99.63,
2025-05-16,99.31,99.31,99.31,99.31,
2025-05-19,99.31,99.31,99.31,99.31,
2025-05-20,98.84,98.84,98.84,98.84,
2025-05-21,99.17,99.17,99.17,99.17,
2025-05-22,97.42,97.42,97.42,97.42,
2025-05-23,97.44,97.44,97.44,97.44,
2025-05-26,96.69,96.69,96.69,96.69,
2025-05-27,97.25,97.25,97.25,97.25,
2025-05-28,97.11,97.11,97.11,97.11,
2025-05-30,97.34,97.34,97.34,97.34,
2025-06-02,97.32,97.32,97.32,97.32,
2025-06-03,97.27,97.27,97.27,97.27,
2025-06-04,96.66,96.66,96.66,96.66,
2025-06-05,96.62,96.62,96.62,96.62,
2025-06-10,97.22,97.22,97.22,97.22,
2025-06-11,97.23,97.23,97.23,97.23,
2025-06-12,97.84,97.84,97.84,97.84,
2025-06-13,96.69,96.69,96.69,96.69,
2025-06-16,96.33,96.33,96.33,96.33,
2025-06-17,97.59,97.59,97.59,97.59,
2025-06-18,97.31,97.31,97.31,97.31,
2025-06-19,97.35,97.35,97.35,97.35,
2025-06-20,98.35,98.35,98.35,98.35,
2025-06-23,97.23,97.23,97.23,97.23,
2025-06-24,97.44,97.44,97.44,97.44,
2025-06-25,96.03,96.03,96.03,96.03,
2025-06-26,98.19,98.19,98.19,98.19,
2025-06-27,96.01,96.01,96.01,96.01,
2025-06-30,97.63,97.63,97.63,97.63,
2025-07-01,95.5,95.5,95.5,95.5,
2025-07-02,93.84,93.84,93.84,93.84,
2025-07-03,95.56,95.56,95.56,95.56,
2025-07-04,95.34,95.34,95.34,95.34,
2025-07-07,94.66,94.66,94.66,94.66,
2025-07-08,93.85,93.85,93.85,93.85,
2025-07-09,93.66,93.66,93.66,93.66,
2025-07-10,94.16,94.16,94.16,94.16,
2025-07-11,93.54,93.54,93.54,93.54,
2025-07-14,92.48,92.48,92.48,92.48,
2025-07-15,94.01,94.01,94.01,94.01,
2025-07-16,96.03,96.03,96.03,96.03,
2025-07-17,93.93,93.93,93.93,93.93,
2025-07-18,94.25,94.25,94.25,94.25,
2025-07-21,93.29,93.29,93.29,93.29,
2025-07-22,93.83,93.83,93.83,93.83,
2025-07-23,92.84,92.84,92.84,92.84,
2025-07-24,92.67,92.67,92.67,92.67,
2025-07-25,93.79,93.79,93.79,93.79,
2025-07-28,92.17,92.17,92.17,92.17,
2025-07-29,92.52,92.52,92.52,92.52,
2025-07-30,92.13,92.13,92.13,92.13,
2025-07-31,92.05,92.05,92.05,92.05,
2025-08-01,92.57,92.57,92.57,92.57,
2025-08-04,92.36,92.36,92.36,92.36,
2025-08-05,91.54,91.54,91.54,91.54,
2025-08-06,91.84,91.84,91.84,91.84,
2025-08-08,92.11,92.11,92.11,92.11,
2025-08-11,92.02,92.02,92.02,92.02,
2025-08-12,92.01,92.01,92.01,92.01,
2025-08-13,92.06,92.06,92.06,92.06,
2025-08-14,93.32,93.32,93.32,93.32,
2025-08-18,93.19,93.19,93.19,93.19,
2025-08-19,93.71,93.71,93.71,93.71,
2025-08-20,92.94,92.94,92.94,92.94,
2025-08-21,93.83,93.83,93.83,93.83,
2025-08-22,93.61,93.61,93.61,93.61,
2025-08-25,93.22,93.22,93.22,93.22,
2025-08-26,94.79,94.79,94.79,94.79,
2025-08-27,93.87,93.87,93.87,93.87,
2025-08-28,94.43,94.43,94.43,94.43,
2025-08-29,94.72,94.72,94.72,94.72,
2025-09-01,94.42,94.42,94.42,94.42,
2025-09-02,94.34,94.34,94.34,94.34,
2025-09-03,94.71,94.71,94.71,94.71,
2025-09-05,94.42,94.42,94.42,94.42,
2025-09-08,94.44,94.44,94.44,94.44,
2025-09-09,94.26,94.26,94.26,94.26,
2025-09-10,93.9,93.9,93.9,93.9,
2025-09-11,93.91,93.91,93.91,93.91,
2025-09-12,94.64,94.64,94.64,94.64,
2025-09-15,94.45,94.45,94.45,94.45,
2025-09-16,94.94,94.94,94.94,94.94,
2025-09-17,94.95,94.95,94.95,94.95,
2025-09-18,95.9,95.9,95.9,95.9,
2025-09-19,95.87,95.87,95.87,95.87,
2025-09-22,94.99,94.99,94.99,94.99,
2025-09-23,95.06,95.06,95.06,95.06,
2025-09-24,95.38,95.38,95.38,95.38,
2025-09-25,95.39,95.39,95.39,95.39,
2025-09-26,94.64,94.64,94.64,94.64,
2025-09-29,94.68,94.68,94.68,94.68,
2025-09-30,94.91,94.91,94.91,94.91,
2025-10-01,95.56,95.56,95.56,95.56,
2025-10-02,95.94,95.94,95.94,95.94,
2025-10-03,94.48,94.48,94.48,94.48,
2025-10-06,96.62,96.62,96.62,96.62,
2025-10-07,95.99,95.99,95.99,95.99,
2025-10-08,96.32,96.32,96.32,96.32,
2025-10-09,96.0,96.0,96.0,96.0,
2025-10-10,95.57,95.57,95.57,95.57,
2025-10-13,95.39,95.39,95.39,95.39,
2025-10-14,94.77,94.77,94.77,94.77,
2025-10-15,96.41,96.41,96.41,96.41,
2025-10-16,94.96,94.96,94.96,94.96,
2025-10-17,95.13,95.13,95.13,95.13,
2025-10-20,97.25,97.25,97.25,97.25,
2025-10-21,97.09,97.09,97.09,97.09,
2025-10-22,97.69,97.69,97.69,97.69,
2025-10-23,96.72,96.72,96.72,96.72,
2025-10-24,97.63,97.63,97.63,97.63,
2025-10-27,97.27,97.27,97.27,97.27,
2025-10-28,96.38,96.38,96.38,96.38,
2025-10-29,96.05,96.05,96.05,96.05,
2025-10-30,95.65,95.65,95.65,95.65,
2025-10-31,95.46,95.46,95.46,95.46,
2025-11-03,95.22,95.22,95.22,95.22,
2025-11-04,95.17,95.17,95.17,95.17,
2025-11-05,94.48,94.48,94.48,94.48,
2025-11-06,95.7,95.7,95.7,95.7,
2025-11-07,94.35,94.35,94.35,94.35,
2025-11-10,94.24,94.24,94.24,94.24,
2025-11-11,94.93,94.93,94.93,94.93,
2025-11-12,94.38,94.38,94.38,94.38,
2025-11-13,94.77,94.77,94.77,94.77,
2025-11-14,93.87,93.87,93.87,93.87,
2025-11-17,94.29,94.29,94.29,94.29,
2025-11-18,93.35,93.35,93.35,93.35,
2025-11-19,94.25,94.25,94.25,94.25,
2025-11-20,95.02,95.02,95.02,95.02,
2025-11-21,95.12,95.12,95.12,95.12,
2025-11-24,93.91,93.91,93.91,93.91,
2025-11-25,94.7,94.7,94.7,94.7,
2025-11-26,96.88,96.88,96.88,96.88,
2025-11-27,96.39,96.39,96.39,96.39,
2025-11-28,95.13,95.13,95.13,95.13,
2025-12-01,98.8,98.8,98.8,98.8,
2025-12-02,96.8,96.8,96.8,96.8,
2025-12-03,97.25,97.25,97.25,97.25,
2025-12-04,96.87,96.87,96.87,96.87,
2025-12-05,97.06,97.06,97.06,97.06,
2025-12-08,96.77,96.77,96.77,96.77,
2025-12-09,96.89,96.89,96.89,96.89,
2025-12-10,96.95,96.95,96.95,96.95,
2025-12-11,95.41,95.41,95.41,95.41,
2025-12-12,96.2,96.2,96.2,96.2,
2025-12-15,95.43,95.43,95.43,95.43,
2025-12-16,94.63,94.63,94.63,94.63,
2025-12-17,94.97,94.97,94.97,94.97,
2025-12-18,92.92,92.92,92.92,92.92,
2025-12-19,93.68,93.68,93.68,93.68,
2025-12-22,93.7,93.7,93.7,93.7,
2025-12-23,93.48,93.48,93.48,93.48,
2025-12-24,93.58,93.58,93.58,93.58,
2025-12-26,93.28,93.28,93.28,93.28,
2025-12-29,93.02,93.02,93.02,93.02,
2025-12-30,91.74,91.74,91.74,91.74,
2025-12-31,94.9,94.9,94.9,94.9,
2026-01-02,94.05,94.05,94.05,94.05,
2026-01-05,92.06,92.06,92.06,92.06,
2026-01-06,93.5,93.5,93.5,93.5,
2026-01-07,93.52,93.52,93.52,93.52,
2026-01-08,93.26,93.26,93.26,93.26,
2026-01-09,93.28,93.28,93.28,93.28,
2026-01-12,92.94,92.94,92.94,92.94,
2026-01-13,92.78,92.78,92.78,92.78,
2026-01-14,93.18,93.18,93.18,93.18,
2026-01-15,94.21,94.21,94.21,94.21,
2026-01-16,94.3,94.3,94.3,94.3,
2026-01-19,94.38,94.38,94.38,94.38,
2026-01-20,93.75,93.75,93.75,93.75,
2026-01-21,94.6,94.6,94.6,94.6,
2026-01-22,94.26,94.26,94.26,94.26,
2026-01-23,94.27,94.27,94.27,94.27,
2026-01-26,94.12,94.12,94.12,94.12,
2026-01-27,94.29,94.29,94.29,94.29,
