Date,Open,High,Low,Close,Volume
2023-01-02,100.13,100.13,100.13,100.13,0
2023-01-03,99.7,99.7,99.7,99.7,0
2023-01-04,98.92,98.92,98.92,98.92,0
2023-01-05,98.8,98.8,98.8,98.8,0
2023-01-06,97.36,97.36,97.36,97.36,0
2023-01-09,97.1,97.1,97.1,97.1,0
2023-01-10,96.34,96.34,96.34,96.34,0
2023-01-11,96.48,96.48,96.48,96.48,0
2023-01-12,97.19,97.19,97.19,97.19,0
2023-01-13,96.2,96.2,96.2,96.2,0
2023-01-16,96.07,96.07,96.07,96.07,0
2023-01-17,96.29,96.29,96.29,96.29,0
2023-01-18,96.81,96.81,96.81,96.81,0
2023-01-19,96.92,96.92,96.92,96.92,0
2023-01-20,97.44,97.44,97.44,97.44,0
2023-01-23,97.1,97.1,97.1,97.1,0
2023-01-24,97.32,97.32,97.32,97.32,0
2023-01-25,97.52,97.52,97.52,97.52,0
2023-01-26,98.49,98.49,98.49,98.49,0
2023-01-27,98.04,98.04,98.04,98.04,0
2023-01-30,98.71,98.71,98.71,98.71,0
2023-01-31,98.15,98.15,98.15,98.15,0
2023-02-01,98.26,98.26,98.26,98.26,0
2023-02-02,98.42,98.42,98.42,98.42,0
2023-02-03,98.57,98.57,98.57,98.57,0
2023-02-06,98.37,98.37,98.37,98.37,0
2023-02-07,98.37,98.37,98.37,98.37,0
2023-02-08,98.37,98.37,98.37,98.37,0
2023-02-09,99.15,99.15,99.15,99.15,0
2023-02-10,99.37,99.37,99.37,99.37,0
2023-02-13,100.22,100.22,100.22,100.22,0
2023-02-14,100.93,100.93,100.93,100.93,0
2023-02-15,101.22,101.22,101.22,101.22,0
2023-02-16,102.04,102.04,102.04,102.04,0
2023-02-17,101.82,101.82,101.82,101.82,0
2023-02-20,101.35,101.35,101.35,101.35,0
2023-02-21,101.59,101.59,101.59,101.59,0
2023-02-22,101.13,101.13,101.13,101.13,0
2023-02-23,100.96,100.96,100.96,100.96,0
2023-02-24,101.81,101.81,101.81,101.81,0
2023-02-27,102.06,102.06,102.06,102.06,0
2023-02-28,102.72,102.72,102.72,102.72,0
2023-03-01,102.86,102.86,102.86,102.86,0
2023-03-02,102.67,102.67,102.67,102.67,0
2023-03-03,102.88,102.88,102.88,102.88,0
2023-03-06,103.14,103.14,103.14,103.14,0
2023-03-07,103.2,103.2,103.2,103.2,0
2023-03-08,102.95,102.95,102.95,102.95,0
2023-03-09,103.45,103.45,103.45,103.45,0
2023-03-10,104.07,104.07,104.07,104.07,0
2023-03-13,104.01,104.01,104.01,104.01,0
2023-03-14,104.21,104.21,104.21,104.21,0
2023-03-15,103.7,103.7,103.7,103.7,0
2023-03-16,103.34,103.34,103.34,103.34,0
2023-03-17,103.28,103.28,103.28,103.28,0
2023-03-20,103.01,103.01,103.01,103.01,0
2023-03-21,102.56,102.56,102.56,102.56,0
2023-03-22,102.56,102.56,102.56,102.56,0
2023-03-23,102.46,102.46,102.46,102.46,0
2023-03-24,102.26,102.26,102.26,102.26,0
2023-03-27,102.02,102.02,102.02,102.02,0
2023-03-28,101.81,101.81,101.81,101.81,0
2023-03-29,101.53,101.53,101.53,101.53,0
2023-03-30,101.02,101.02,101.02,101.02,0
2023-03-31,100.49,100.49,100.49,100.49,0
2023-04-03,100.17,100.17,100.17,100.17,0
2023-04-04,100.01,100.01,100.01,100.01,0
2023-04-05,99.71,99.71,99.71,99.71,0
2023-04-06,99.98,99.98,99.98,99.98,0
2023-04-07,99.84,99.84,99.84,99.84,0
2023-04-11,100.11,100.11,100.11,100.11,0
2023-04-12,100.12,100.12,100.12,100.12,0
2023-04-13,99.52,99.52,99.52,99.52,0
2023-04-14,99.9,99.9,99.9,99.9,0
2023-04-17,99.68,99.68,99.68,99.68,0
2023-04-19,99.24,99.24,99.24,99.24,0
2023-04-20,98.9,98.9,98.9,98.9,0
2023-04-24,99.07,99.07,99.07,99.07,0
2023-04-25,99.71,99.71,99.71,99.71,0
