Date,Open,High,Low,Close,Volume
2023-03-31,100.13,104.21,96.07,100.49,
2023-06-30,100.17,100.3,97.62,100.3,
2023-09-30,100.3,108.8,100.3,105.78,
2023-12-31,105.41,108.24,103.56,107.85,
2024-03-31,107.03,108.43,103.88,108.26,
2024-06-30,108.37,115.01,108.08,114.62,
2024-09-30,114.31,132.96,114.31,131.78,
2024-12-31,131.71,138.74,130.44,138.74,
2025-03-31,138.71,148.15,135.8,144.53,
2025-06-30,144.88,156.33,141.29,155.83,
2025-09-30,153.99,161.71,150.48,160.28,
2025-12-31,161.13,169.89,160.97,166.24,
2026-03-31,165.32,196.25,162.86,191.47,
2026-06-30,191.49,212.45,186.29,212.45,
2026-09-30,214.62,259.91,214.62,259.91,
