Date,Open,High,Low,Close,Volume
2023-01-02,100.13,100.13,100.13,100.13,0
2023-01-09,99.7,99.7,97.1,97.1,0
2023-01-16,96.34,97.19,96.07,96.07,0
2023-01-23,96.29,97.44,96.29,97.1,0
2023-01-30,97.32,98.71,97.32,98.71,0
2023-02-06,98.15,98.57,98.15,98.37,0
2023-02-13,98.37,100.22,98.37,100.22,0
2023-02-20,100.93,102.04,100.93,101.35,0
2023-02-27,101.59,102.06,100.96,102.06,0
2023-03-06,102.72,103.14,102.67,103.14,0
2023-03-13,103.2,104.07,102.95,104.01,0
2023-03-20,104.21,104.21,103.01,103.01,0
2023-03-27,102.56,102.56,102.02,102.02,0
2023-04-03,101.81,101.81,100.17,100.17,0
2023-04-10,100.01,100.01,99.71,99.84,0
2023-04-17,100.11,100.12,99.52,99.68,0
2023-04-24,99.24,99.24,98.9,99.07,0
2023-05-01,99.71,99.71,99.05,99.35,0
2023-05-08,99.57,99.61,98.6,99.45,0
2023-05-15,99.83,100.29,98.01,98.01,0
2023-05-22,98.23,98.39,97.97,98.39,0
2023-05-29,98.26,98.45,97.62,97.62,0
2023-06-05,97.93,98.27,97.75,98.27,0
2023-06-12,98.32,100.03,98.32,99.13,0
2023-06-19,98.0,98.71,98.0,98.71,0
2023-06-26,98.84,99.21,98.68,98.99,0
2023-07-03,99.36,100.3,99.36,100.3,0
2023-07-10,100.37,101.88,100.37,101.88,0
2023-07-17,101.94,102.26,101.77,102.26,0
2023-07-24,102.36,103.03,101.63,102.68,0
2023-07-31,103.1,104.79,103.1,104.79,0
2023-08-07,104.5,104.54,103.51,103.61,0
2023-08-14,103.12,103.37,103.02,103.36,0
2023-08-21,103.77,104.18,103.45,104.18,0
2023-08-28,103.62,104.36,103.62,103.69,0
2023-09-04,103.73,105.99,103.73,105.43,0
2023-09-11,105.83,106.83,105.83,106.68,0
2023-09-18,108.05,108.8,107.26,107.26,0
2023-09-25,106.74,106.74,105.89,106.2,0
2023-10-02,105.64,105.78,105.41,105.41,0
2023-10-09,104.83,105.68,104.54,104.54,0
2023-10-16,104.67,106.11,104.67,106.11,0
2023-10-23,106.01,106.01,104.6,104.6,0
