Date,Open,High,Low,Close,Volume
1999-06-16,99.98,99.98,99.98,99.98,
1999-06-18,99.6,99.6,99.6,99.6,
1999-06-21,99.6,99.6,99.6,99.6,
1999-06-23,95.7,95.7,95.7,95.7,
1999-06-25,96.13,96.13,96.13,96.13,
1999-06-28,94.71,94.71,94.71,94.71,
1999-06-30,94.71,94.71,94.71,94.71,
1999-07-02,94.67,94.67,94.67,94.67,
1999-07-05,94.67,94.67,94.67,94.67,
1999-07-07,93.93,93.93,93.93,93.93,
1999-07-09,93.93,93.93,93.93,93.93,
1999-07-12,93.93,93.93,93.93,93.93,
1999-07-14,88.36,88.36,88.36,88.36,
1999-07-16,87.86,87.86,87.86,87.86,
1999-07-19,87.86,87.86,87.86,87.86,
1999-07-21,83.47,83.47,83.47,83.47,
1999-07-23,80.09,80.09,80.09,80.09,
1999-07-26,79.94,79.94,79.94,79.94,
1999-07-28,79.5,79.5,79.5,79.5,
1999-07-30,75.7,75.7,75.7,75.7,
1999-08-02,75.63,75.63,75.63,75.63,
1999-08-04,77.63,77.63,77.63,77.63,
1999-08-06,77.63,77.63,77.63,77.63,
1999-08-09,75.05,75.05,75.05,75.05,
1999-08-11,73.12,73.12,73.12,73.12,
1999-08-13,73.12,73.12,73.12,73.12,
1999-08-16,73.12,73.12,73.12,73.12,
1999-08-18,77.97,77.97,77.97,77.97,
1999-08-20,77.97,77.97,77.97,77.97,
1999-08-23,77.97,77.97,77.97,77.97,
1999-08-25,76.69,76.69,76.69,76.69,
1999-08-27,76.69,76.69,76.69,76.69,
1999-08-30,76.37,76.37,76.37,76.37,
1999-09-01,76.48,76.48,76.48,76.48,
1999-09-03,76.48,76.48,76.48,76.48,
1999-09-06,76.58,76.58,76.58,76.58,
1999-09-08,75.7,75.7,75.7,75.7,
1999-09-10,75.7,75.7,75.7,75.7,
1999-09-13,75.7,75.7,75.7,75.7,
1999-09-15,75.75,75.75,75.75,75.75,
1999-09-17,75.75,75.75,75.75,75.75,
1999-09-20,75.75,75.75,75.75,75.75,
1999-09-22,75.75,75.75,75.75,75.75,
1999-09-24,75.75,75.75,75.75,75.75,
1999-09-27,75.75,75.75,75.75,75.75,
1999-09-29,75.75,75.75,75.75,75.75,
1999-10-01,75.36,75.36,75.36,75.36,
1999-10-06,75.35,75.35,75.35,75.35,
1999-10-08,75.35,75.35,75.35,75.35,
1999-10-11,75.35,75.35,75.35,75.35,
1999-10-13,75.69,75.69,75.69,75.69,
1999-10-15,75.69,75.69,75.69,75.69,
1999-10-18,75.69,75.69,75.69,75.69,
1999-10-20,74.43,74.43,74.43,74.43,
1999-10-22,74.45,74.45,74.45,74.45,
1999-10-25,67.6,67.6,67.6,67.6,
1999-10-27,66.65,66.65,66.65,66.65,
1999-10-29,66.65,66.65,66.65,66.65,
1999-11-03,66.96,66.96,66.96,66.96,
1999-11-05,67.0,67.0,67.0,67.0,
1999-11-08,67.0,67.0,67.0,67.0,
1999-11-10,67.0,67.0,67.0,67.0,
1999-11-12,68.09,68.09,68.09,68.09,
1999-11-17,69.2,69.2,69.2,69.2,
1999-11-19,69.21,69.21,69.21,69.21,
1999-11-22,69.22,69.22,69.22,69.22,
1999-11-24,70.31,70.31,70.31,70.31,
1999-11-26,70.31,70.31,70.31,70.31,
1999-11-29,70.31,70.31,70.31,70.31,
1999-12-01,69.2,69.2,69.2,69.2,
1999-12-03,70.31,70.31,70.31,70.31,
1999-12-06,70.68,70.68,70.68,70.68,
1999-12-08,71.79,71.79,71.79,71.79,
1999-12-10,72.45,72.45,72.45,72.45,
1999-12-13,72.45,72.45,72.45,72.45,
1999-12-15,72.45,72.45,72.45,72.45,
1999-12-17,75.12,75.12,75.12,75.12,
1999-12-20,75.79,75.79,75.79,75.79,
1999-12-22,75.79,75.79,75.79,75.79,
1999-12-27,75.68,75.68,75.68,75.68,
1999-12-29,75.28,75.28,75.28,75.28,
1999-12-31,75.28,75.28,75.28,75.28,
2000-01-05,74.61,74.61,74.61,74.61,
2000-01-07,74.57,74.57,74.57,74.57,
2000-01-10,74.57,74.57,74.57,74.57,
2000-01-12,74.57,74.57,74.57,74.57,
2000-01-14,74.57,74.57,74.57,74.57,
2000-01-17,74.57,74.57,74.57,74.57,
2000-01-19,75.0,75.0,75.0,75.0,
2000-01-21,75.0,75.0,75.0,75.0,
2000-01-24,72.78,72.78,72.78,72.78,
2000-01-26,72.78,72.78,72.78,72.78,
2000-01-28,72.78,72.78,72.78,72.78,
2000-01-31,72.78,72.78,72.78,72.78,
2000-02-02,72.74,72.74,72.74,72.74,
2000-02-04,72.74,72.74,72.74,72.74,
2000-02-07,72.74,72.74,72.74,72.74,
2000-02-09,72.62,72.62,72.62,72.62,
2000-02-11,72.62,72.62,72.62,72.62,
2000-02-14,72.62,72.62,72.62,72.62,
2000-02-16,72.62,72.62,72.62,72.62,
2000-02-18,72.57,72.57,72.57,72.57,
2000-02-21,72.57,72.57,72.57,72.57,
2000-02-23,72.57,72.57,72.57,72.57,
2000-02-25,68.46,68.46,68.46,68.46,
2000-02-28,68.46,68.46,68.46,68.46,
2000-03-01,68.03,68.03,68.03,68.03,
2000-03-03,68.03,68.03,68.03,68.03,
2000-03-06,67.97,67.97,67.97,67.97,
2000-03-08,67.97,67.97,67.97,67.97,
2000-03-10,65.75,65.75,65.75,65.75,
2000-03-13,65.71,65.71,65.71,65.71,
2000-03-15,65.47,65.47,65.47,65.47,
2000-03-17,65.47,65.47,65.47,65.47,
2000-03-20,64.39,64.39,64.39,64.39,
2000-03-22,64.37,64.37,64.37,64.37,
2000-03-24,64.32,64.32,64.32,64.32,
2000-03-27,64.31,64.31,64.31,64.31,
2000-03-29,64.29,64.29,64.29,64.29,
2000-03-31,64.02,64.02,64.02,64.02,
2000-04-03,62.45,62.45,62.45,62.45,
2000-04-05,62.45,62.45,62.45,62.45,
2000-04-07,62.45,62.45,62.45,62.45,
2000-04-10,62.45,62.45,62.45,62.45,
2000-04-12,61.83,61.83,61.83,61.83,
2000-04-14,61.83,61.83,61.83,61.83,
2000-04-17,61.83,61.83,61.83,61.83,
2000-04-19,61.83,61.83,61.83,61.83,
2000-04-21,61.83,61.83,61.83,61.83,
2000-04-26,61.77,61.77,61.77,61.77,
2000-04-28,61.77,61.77,61.77,61.77,
2000-05-03,61.73,61.73,61.73,61.73,
2000-05-05,61.73,61.73,61.73,61.73,
2000-05-08,61.73,61.73,61.73,61.73,
2000-05-10,61.73,61.73,61.73,61.73,
2000-05-12,61.7,61.7,61.7,61.7,
2000-05-15,61.7,61.7,61.7,61.7,
2000-05-17,59.2,59.2,59.2,59.2,
2000-05-19,59.2,59.2,59.2,59.2,
2000-05-22,59.2,59.2,59.2,59.2,
2000-05-24,59.2,59.2,59.2,59.2,
2000-05-26,59.18,59.18,59.18,59.18,
2000-05-29,59.18,59.18,59.18,59.18,
2000-05-31,59.18,59.18,59.18,59.18,
2000-06-02,59.18,59.18,59.18,59.18,
2000-06-05,59.18,59.18,59.18,59.18,
2000-06-07,58.29,58.29,58.29,58.29,
2000-06-09,58.29,58.29,58.29,58.29,
2000-06-16,58.47,58.47,58.47,58.47,
2000-06-19,58.47,58.47,58.47,58.47,
2000-06-21,58.47,58.47,58.47,58.47,
2000-06-23,58.91,58.91,58.91,58.91,
2000-06-26,58.91,58.91,58.91,58.91,
2000-06-28,57.67,57.67,57.67,57.67,
2000-06-30,57.67,57.67,57.67,57.67,
2000-07-03,57.67,57.67,57.67,57.67,
2000-07-07,57.04,57.04,57.04,57.04,
2000-07-10,57.04,57.04,57.04,57.04,
2000-07-12,57.29,57.29,57.29,57.29,
2000-07-14,57.29,57.29,57.29,57.29,
2000-07-17,57.42,57.42,57.42,57.42,
2000-07-19,56.55,56.55,56.55,56.55,
2000-07-21,56.6,56.6,56.6,56.6,
2000-07-26,55.37,55.37,55.37,55.37,
2000-07-31,55.37,55.37,55.37,55.37,
2000-08-04,54.77,54.77,54.77,54.77,
2000-08-09,54.73,54.73,54.73,54.73,
2000-08-11,54.64,54.64,54.64,54.64,
2000-08-14,54.64,54.64,54.64,54.64,
2000-08-16,53.45,53.45,53.45,53.45,
2000-08-18,53.45,53.45,53.45,53.45,
2000-08-21,53.43,53.43,53.43,53.43,
2000-08-28,51.72,51.72,51.72,51.72,
2000-08-30,51.67,51.67,51.67,51.67,
2000-09-01,50.69,50.69,50.69,50.69,
