Date,Open,High,Low,Close,Volume
1999-06-30,99.98,99.98,94.71,94.71,
1999-07-31,94.67,94.67,75.7,75.7,
1999-08-31,75.63,77.97,73.12,76.37,
1999-09-30,76.48,76.58,75.7,75.75,
1999-10-31,75.36,75.69,66.65,66.65,
1999-11-30,66.96,70.31,66.96,70.31,
1999-12-31,69.2,75.79,69.2,75.28,
2000-01-31,74.61,75.0,72.78,72.78,
2000-02-29,72.74,72.74,68.46,68.46,
2000-03-31,68.03,68.03,64.02,64.02,
2000-04-30,62.45,62.45,61.77,61.77,
2000-05-31,61.73,61.73,59.18,59.18,
2000-06-30,59.18,59.18,57.67,57.67,
2000-07-31,57.67,57.67,55.37,55.37,
2000-08-31,54.77,54.77,51.67,51.67,
2000-09-30,50.69,51.7,49.62,51.7,
2000-10-31,51.64,51.64,49.64,49.66,
2000-11-30,49.66,49.66,48.8,48.8,
2000-12-31,49.62,49.63,49.41,49.41,
2001-01-31,49.41,49.41,47.44,47.44,
2001-02-28,47.44,47.44,47.44,47.44,
2001-03-31,47.44,47.72,47.31,47.72,
2001-04-30,47.72,47.72,44.97,45.4,
2001-05-31,45.63,46.16,45.09,46.16,
2001-06-30,46.17,46.17,42.34,42.34,
2001-07-31,42.34,42.34,41.1,41.1,
2001-08-31,41.1,41.1,40.95,40.95,
2001-09-30,40.95,41.61,40.95,41.61,
2001-10-31,41.61,41.61,39.68,39.68,
2001-11-30,39.68,39.68,39.27,39.27,
2001-12-31,39.27,50.96,39.27,50.96,
2002-01-31,50.15,50.15,48.44,48.44,
2002-02-28,48.44,48.44,47.4,47.4,
2002-03-31,47.4,47.4,43.36,43.36,
2002-04-30,43.36,43.44,41.98,41.98,
2002-05-31,41.96,41.96,38.04,38.99,
2002-06-30,38.99,39.35,33.39,33.41,
2002-07-31,33.41,36.74,33.4,36.16,
2002-08-31,36.14,36.14,34.74,34.74,
2002-09-30,34.81,35.19,34.81,35.19,
2002-10-31,35.15,35.15,34.84,34.84,
2002-11-30,34.84,37.82,34.4,37.82,
2002-12-31,37.4,44.42,37.4,44.42,
2003-01-31,44.42,44.42,44.32,44.32,
2003-02-28,44.32,44.32,43.44,43.44,
2003-03-31,43.44,43.44,38.56,38.56,
2003-04-30,37.68,37.68,36.61,36.61,
2003-05-31,36.61,36.61,32.64,32.66,
2003-06-30,32.64,32.66,32.22,32.64,
2003-07-31,32.64,32.64,30.69,32.12,
2003-08-31,32.12,32.15,31.09,31.31,
2003-09-30,31.31,32.25,31.31,32.25,
2003-10-31,32.25,33.89,32.25,33.89,
2003-11-30,33.77,35.63,33.77,35.63,
2003-12-31,35.63,38.0,34.04,38.0,
2004-01-31,37.97,41.2,35.25,41.2,
2004-02-29,41.2,44.59,41.2,44.43,
2004-03-31,44.43,44.43,44.05,44.11,
2004-04-30,45.06,45.75,44.26,45.75,
2004-05-31,45.75,52.19,45.75,52.19,
2004-06-30,52.19,52.19,50.84,50.84,
2004-07-31,50.84,50.84,45.11,45.11,
2004-08-31,45.11,45.12,44.91,44.91,
2004-09-30,44.91,45.16,42.84,44.06,
2004-10-31,44.06,51.44,43.71,50.6,
2004-11-30,50.6,50.63,46.55,47.26,
2004-12-31,45.18,50.6,43.88,50.6,
2005-01-31,50.6,50.6,46.0,46.0,
2005-02-28,45.95,45.95,42.12,42.18,
2005-03-31,42.25,46.12,42.25,46.04,
2005-04-30,46.04,51.22,46.04,51.22,
2005-05-31,51.22,53.34,51.16,51.16,
2005-06-30,49.9,49.9,48.55,48.66,
2005-07-31,48.66,49.03,44.77,44.77,
2005-08-31,44.77,48.45,43.95,48.45,
2005-09-30,48.45,49.6,46.88,46.91,
2005-10-31,47.4,47.4,44.1,46.18,
2005-11-30,46.18,47.43,44.3,44.49,
2005-12-31,45.62,50.71,45.07,50.71,
2006-01-31,50.71,50.71,47.49,48.07,
2006-02-28,48.07,49.27,47.63,47.65,
2006-03-31,47.67,51.57,47.66,50.98,
2006-04-30,52.05,70.06,52.02,70.06,
2006-05-31,69.78,69.78,64.62,66.41,
2006-06-30,66.41,79.26,66.41,79.26,
2006-07-31,79.26,89.45,79.26,84.93,
2006-08-31,84.93,91.46,84.93,91.46,
2006-09-30,91.46,91.58,90.27,90.69,
2006-10-31,90.69,90.69,82.13,85.04,
2006-11-30,88.15,100.36,88.15,98.5,
2006-12-31,98.5,98.5,95.0,95.98,
2007-01-31,96.82,100.69,96.82,100.69,
2007-02-28,98.59,116.98,98.59,116.98,
2007-03-31,116.98,137.2,116.98,137.2,
2007-04-30,140.16,166.96,140.16,159.83,
2007-05-31,159.83,192.91,159.83,188.32,
2007-06-30,188.14,190.79,164.6,190.79,
2007-07-31,192.79,261.41,192.79,217.97,
2007-08-31,223.14,254.25,223.14,250.1,
2007-09-30,254.34,258.2,238.25,238.25,
2007-10-31,238.09,238.09,222.48,234.0,
2007-11-30,232.23,239.24,221.74,231.94,
2007-12-31,227.74,239.23,227.64,236.54,
