Date,Open,High,Low,Close,Volume
1999-06-30,99.98,99.98,94.71,94.71,
1999-09-30,94.67,94.67,73.12,75.75,
1999-12-31,75.36,75.79,66.65,75.28,
2000-03-31,74.61,75.0,64.02,64.02,
2000-06-30,62.45,62.45,57.67,57.67,
2000-09-30,57.67,57.67,49.62,51.7,
2000-12-31,51.64,51.64,48.8,49.41,
2001-03-31,49.41,49.41,47.31,47.72,
2001-06-30,47.72,47.72,42.34,42.34,
2001-09-30,42.34,42.34,40.95,41.61,
2001-12-31,41.61,50.96,39.27,50.96,
2002-03-31,50.15,50.15,43.36,43.36,
2002-06-30,43.36,43.44,33.39,33.41,
2002-09-30,33.41,36.74,33.4,35.19,
2002-12-31,35.15,44.42,34.4,44.42,
2003-03-31,44.42,44.42,38.56,38.56,
2003-06-30,37.68,37.68,32.22,32.64,
2003-09-30,32.64,32.64,30.69,32.25,
2003-12-31,32.25,38.0,32.25,38.0,
2004-03-31,37.97,44.59,35.25,44.11,
2004-06-30,45.06,52.19,44.26,50.84,
2004-09-30,50.84,50.84,42.84,44.06,
2004-12-31,44.06,51.44,43.71,50.6,
2005-03-31,50.6,50.6,42.12,46.04,
2005-06-30,46.04,53.34,46.04,48.66,
2005-09-30,48.66,49.6,43.95,46.91,
2005-12-31,47.4,50.71,44.1,50.71,
2006-03-31,50.71,51.57,47.49,50.98,
2006-06-30,52.05,79.26,52.02,79.26,
2006-09-30,79.26,91.58,79.26,90.69,
2006-12-31,90.69,100.36,82.13,95.98,
2007-03-31,96.82,137.2,96.82,137.2,
2007-06-30,140.16,192.91,140.16,190.79,
2007-09-30,192.79,261.41,192.79,238.25,
2007-12-31,238.09,239.24,221.74,236.54,
2008-03-31,236.54,310.57,236.18,310.57,
2008-06-30,301.77,409.98,301.77,409.98,
2008-09-30,419.29,431.7,381.0,381.0,
2008-12-31,374.65,374.73,233.59,248.14,
2009-03-31,240.88,240.88,150.7,151.59,
2009-06-30,151.59,180.11,99.28,180.11,
2009-09-30,183.5,183.5,122.16,138.24,
2009-12-31,138.26,142.09,115.48,125.2,
2010-03-31,122.22,139.63,114.87,129.28,
2010-06-30,131.38,159.89,130.91,159.04,
2010-09-30,159.65,256.07,159.65,234.15,
2010-12-31,238.92,295.88,238.16,254.46,
2011-03-31,254.46,283.43,233.52,233.52,
2011-06-30,233.52,322.73,210.46,280.39,
2011-09-30,280.17,330.5,268.66,303.92,
2011-12-31,303.33,402.09,299.46,368.2,
2012-03-31,375.98,499.02,353.7,478.88,
2012-06-30,469.06,489.0,444.17,468.8,
2012-09-30,456.63,463.13,348.51,400.56,
2012-12-31,403.71,403.71,334.08,398.94,
2013-03-31,406.32,417.53,372.76,417.53,
2013-06-30,414.07,414.07,334.25,338.04,
2013-09-30,334.25,335.66,270.92,303.74,
2013-12-31,306.94,372.85,284.25,372.85,
2014-03-31,359.05,359.05,267.02,267.02,
2014-06-30,269.68,269.68,242.61,248.25,
2014-09-30,250.06,258.31,239.4,241.31,
2014-12-31,239.86,247.09,204.1,240.92,
2015-03-31,240.55,246.46,216.88,216.88,
2015-06-30,218.16,225.3,210.57,215.44,
2015-09-30,217.74,217.74,185.48,189.43,
2015-12-31,193.47,201.1,153.82,174.26,
2016-03-31,168.54,172.37,158.26,167.43,
2016-06-30,166.63,213.88,166.63,192.58,
2016-09-30,200.79,206.89,174.23,187.67,
2016-12-31,185.56,217.49,168.14,217.49,
2017-03-31,202.75,210.9,181.3,187.83,
2017-06-30,186.67,230.63,186.26,189.32,
2017-09-30,188.0,194.48,160.6,165.78,
2017-12-31,168.99,185.04,149.14,183.48,
2018-03-31,180.81,249.86,180.72,242.06,
2018-06-30,239.67,244.8,149.3,155.88,
2018-09-30,155.58,158.75,134.21,136.77,
2018-12-31,138.08,138.08,106.11,127.2,
2019-03-31,126.77,128.74,111.42,123.42,
2019-06-30,122.08,127.72,87.65,88.27,
2019-09-30,85.47,85.47,62.62,66.39,
2019-12-31,64.48,85.88,59.32,85.88,
2020-03-31,85.71,100.26,69.06,69.06,
2020-06-30,68.96,68.96,58.13,66.75,
2020-09-30,66.76,67.66,55.4,66.94,
2020-12-31,67.0,87.77,65.29,86.54,
2021-03-31,85.65,125.57,82.58,115.65,
2021-06-30,117.04,151.99,109.53,151.99,
2021-09-30,153.11,216.41,150.74,216.41,
2021-12-31,225.5,259.08,225.5,243.31,
2022-03-31,242.73,288.96,237.75,284.69,
2022-06-30,284.03,349.65,277.74,341.24,
2022-09-30,341.62,341.62,295.71,314.85,
2022-12-31,303.68,305.57,278.51,283.56,
2023-03-31,282.87,296.61,269.26,284.29,
2023-06-30,285.44,285.5,226.31,238.38,
2023-09-30,234.25,234.25,180.54,180.54,
2023-12-31,185.28,185.28,143.08,161.56,
2024-03-31,162.95,177.01,154.49,177.01,
2024-06-30,173.54,186.71,147.33,170.86,
2024-09-30,167.57,175.6,161.07,172.86,
2024-12-31,172.61,204.09,171.93,193.78,
2025-03-31,194.99,237.83,182.74,235.96,
2025-06-30,233.83,336.77,205.41,334.2,
2025-09-30,331.52,366.4,301.87,354.06,
2025-12-31,360.73,386.43,315.23,341.63,
