Date,Open,High,Low,Close,Volume
1999-06-21,99.98,99.98,99.6,99.6,
1999-06-28,95.7,96.13,94.71,94.71,
1999-07-05,94.71,94.71,94.67,94.67,
1999-07-12,93.93,93.93,93.93,93.93,
1999-07-19,88.36,88.36,87.86,87.86,
1999-07-26,83.47,83.47,79.94,79.94,
1999-08-02,79.5,79.5,75.63,75.63,
1999-08-09,77.63,77.63,75.05,75.05,
1999-08-16,73.12,73.12,73.12,73.12,
1999-08-23,77.97,77.97,77.97,77.97,
1999-08-30,76.69,76.69,76.37,76.37,
1999-09-06,76.48,76.58,76.48,76.58,
1999-09-13,75.7,75.7,75.7,75.7,
1999-09-20,75.75,75.75,75.75,75.75,
1999-09-27,75.75,75.75,75.75,75.75,
1999-10-04,75.75,75.75,75.36,75.36,
1999-10-11,75.35,75.35,75.35,75.35,
1999-10-18,75.69,75.69,75.69,75.69,
1999-10-25,74.43,74.45,67.6,67.6,
1999-11-01,66.65,66.65,66.65,66.65,
1999-11-08,66.96,67.0,66.96,67.0,
1999-11-15,67.0,68.09,67.0,68.09,
1999-11-22,69.2,69.22,69.2,69.22,
1999-11-29,70.31,70.31,70.31,70.31,
1999-12-06,69.2,70.68,69.2,70.68,
1999-12-13,71.79,72.45,71.79,72.45,
1999-12-20,72.45,75.79,72.45,75.79,
1999-12-27,75.79,75.79,75.68,75.68,
2000-01-03,75.28,75.28,75.28,75.28,
2000-01-10,74.61,74.61,74.57,74.57,
2000-01-17,74.57,74.57,74.57,74.57,
2000-01-24,75.0,75.0,72.78,72.78,
2000-01-31,72.78,72.78,72.78,72.78,
2000-02-07,72.74,72.74,72.74,72.74,
2000-02-14,72.62,72.62,72.62,72.62,
2000-02-21,72.62,72.62,72.57,72.57,
2000-02-28,72.57,72.57,68.46,68.46,
2000-03-06,68.03,68.03,67.97,67.97,
2000-03-13,67.97,67.97,65.71,65.71,
2000-03-20,65.47,65.47,64.39,64.39,
2000-03-27,64.37,64.37,64.31,64.31,
2000-04-03,64.29,64.29,62.45,62.45,
2000-04-10,62.45,62.45,62.45,62.45,
2000-04-17,61.83,61.83,61.83,61.83,
2000-04-24,61.83,61.83,61.83,61.83,
2000-05-01,61.77,61.77,61.77,61.77,
2000-05-08,61.73,61.73,61.73,61.73,
2000-05-15,61.73,61.73,61.7,61.7,
2000-05-22,59.2,59.2,59.2,59.2,
2000-05-29,59.2,59.2,59.18,59.18,
2000-06-05,59.18,59.18,59.18,59.18,
2000-06-12,58.29,58.29,58.29,58.29,
2000-06-19,58.47,58.47,58.47,58.47,
2000-06-26,58.47,58.91,58.47,58.91,
2000-07-03,57.67,57.67,57.67,57.67,
2000-07-10,57.04,57.04,57.04,57.04,
2000-07-17,57.29,57.42,57.29,57.42,
2000-07-24,56.55,56.6,56.55,56.6,
2000-07-31,55.37,55.37,55.37,55.37,
