Date,Open,High,Low,Close,Volume
1999-12-31,99.98,99.98,66.65,75.28,
2000-12-31,74.61,75.0,48.8,49.41,
2001-12-31,49.41,50.96,39.27,50.96,
2002-12-31,50.15,50.15,33.39,44.42,
2003-12-31,44.42,44.42,30.69,38.0,
2004-12-31,37.97,52.19,35.25,50.6,
2005-12-31,50.6,53.34,42.12,50.71,
2006-12-31,50.71,100.36,47.49,95.98,
2007-12-31,96.82,261.41,96.82,236.54,
2008-12-31,236.54,431.7,233.59,248.14,
2009-12-31,240.88,240.88,99.28,125.2,
2010-12-31,122.22,295.88,114.87,254.46,
2011-12-31,254.46,402.09,210.46,368.2,
2012-12-31,375.98,499.02,334.08,398.94,
2013-12-31,406.32,417.53,270.92,372.85,
2014-12-31,359.05,359.05,204.1,240.92,
2015-12-31,240.55,246.46,153.82,174.26,
2016-12-31,168.54,217.49,158.26,217.49,
2017-12-31,202.75,230.63,149.14,183.48,
2018-12-31,180.81,249.86,106.11,127.2,
2019-12-31,126.77,128.74,59.32,85.88,
2020-12-31,85.71,100.26,55.4,86.54,
2021-12-31,85.65,259.08,82.58,243.31,
2022-12-31,242.73,349.65,237.75,283.56,
2023-12-31,282.87,296.61,143.08,161.56,
2024-12-31,162.95,204.09,147.33,193.78,
2025-12-31,194.99,386.43,182.74,341.63,
