Date,Open,High,Low,Close,Volume
1999-06-30,100.0,100.0,100.0,100.0,
1999-07-31,100.0,100.0,100.0,100.0,
1999-08-31,100.0,100.0,100.0,100.0,
1999-09-30,100.0,100.0,100.0,100.0,
1999-10-31,100.0,100.0,100.0,100.0,
1999-11-30,100.0,100.0,100.0,100.0,
1999-12-31,100.0,100.0,100.0,100.0,
2000-01-31,100.0,100.0,100.0,100.0,
2000-02-29,100.0,100.0,100.0,100.0,
2000-03-31,100.0,100.0,100.0,100.0,
2000-04-30,100.0,100.0,100.0,100.0,
2000-05-31,100.0,100.0,100.0,100.0,
2000-06-30,100.0,100.0,100.0,100.0,
2000-07-31,100.0,100.0,92.59,92.59,
2000-08-31,92.59,92.59,92.59,92.59,
2000-09-30,92.59,92.59,92.59,92.59,
2000-10-31,92.59,92.59,92.59,92.59,
2000-11-30,92.59,92.59,92.59,92.59,
2000-12-31,92.59,92.59,92.59,92.59,
2001-01-31,92.59,92.59,91.36,91.36,
2001-02-28,91.36,91.36,91.36,91.36,
2001-03-31,91.36,91.36,86.42,86.42,
2001-04-30,86.42,86.42,85.8,85.8,
2001-05-31,85.8,85.8,85.8,85.8,
2001-06-30,85.8,85.8,85.8,85.8,
2001-07-31,85.8,85.8,85.8,85.8,
2001-08-31,85.8,85.8,85.8,85.8,
2001-09-30,85.8,85.8,85.8,85.8,
2001-10-31,85.8,85.8,85.8,85.8,
2001-11-30,85.8,85.8,85.8,85.8,
2001-12-31,85.8,85.8,85.8,85.8,
2002-01-31,85.8,85.8,85.8,85.8,
2002-02-28,85.8,85.8,85.8,85.8,
2002-03-31,85.8,85.8,85.8,85.8,
2002-04-30,85.8,85.8,85.8,85.8,
2002-05-31,85.8,85.8,85.8,85.8,
2002-06-30,85.8,85.8,85.8,85.8,
2002-07-31,85.8,85.8,85.8,85.8,
2002-08-31,85.8,85.8,85.5,85.8,
2002-09-30,85.8,85.8,85.8,85.8,
2002-10-31,85.8,85.8,85.8,85.8,
2002-11-30,85.8,85.8,85.5,85.8,
2002-12-31,85.8,85.8,85.8,85.8,
2003-01-31,85.8,85.8,85.8,85.8,
2003-02-28,85.8,85.8,85.8,85.8,
2003-03-31,85.8,85.8,85.8,85.8,
2003-04-30,85.8,85.8,85.8,85.8,
2003-05-31,85.8,85.8,85.8,85.8,
2003-06-30,85.8,85.8,85.8,85.8,
2003-07-31,85.8,85.8,85.8,85.8,
2003-08-31,85.8,85.8,85.8,85.8,
2003-09-30,85.8,85.8,85.8,85.8,
2003-10-31,85.8,85.8,85.8,85.8,
2003-11-30,85.8,85.8,85.8,85.8,
2003-12-31,85.8,85.8,85.8,85.8,
2004-01-31,85.8,85.8,85.8,85.8,
2004-02-29,85.19,85.19,85.19,85.19,
2004-03-31,85.19,85.19,85.19,85.19,
2004-04-30,85.19,85.19,85.19,85.19,
2004-05-31,85.19,85.19,85.19,85.19,
2004-06-30,85.19,85.19,85.19,85.19,
2004-07-31,85.19,85.19,85.19,85.19,
2004-08-31,85.19,85.19,85.19,85.19,
2004-09-30,85.19,85.19,85.19,85.19,
2004-10-31,85.19,85.19,85.19,85.19,
2004-11-30,85.19,85.19,85.19,85.19,
2004-12-31,85.19,85.19,85.19,85.19,
2005-01-31,85.19,85.19,85.19,85.19,
2005-02-28,85.19,85.19,85.19,85.19,
2005-03-31,85.19,85.19,85.19,85.19,
2005-04-30,85.19,85.19,85.19,85.19,
2005-05-31,85.19,85.19,85.19,85.19,
2005-06-30,85.19,85.19,85.19,85.19,
2005-07-31,85.19,85.19,85.19,85.19,
2005-08-31,85.19,85.19,85.19,85.19,
2005-09-30,85.19,85.19,85.19,85.19,
2005-10-31,85.19,85.19,85.19,85.19,
2005-11-30,85.19,85.19,85.19,85.19,
2005-12-31,85.19,85.19,85.19,85.19,
2006-01-31,85.19,85.19,85.19,85.19,
2006-02-28,85.19,85.19,85.19,85.19,
2006-03-31,85.19,85.19,85.19,85.19,
2006-04-30,85.19,85.19,85.19,85.19,
2006-05-31,85.19,85.19,85.19,85.19,
2006-06-30,85.19,85.19,85.19,85.19,
2006-07-31,85.19,85.19,85.19,85.19,
2006-08-31,85.19,85.19,85.19,85.19,
2006-09-30,85.19,85.19,85.19,85.19,
2006-10-31,85.19,85.19,85.19,85.19,
2006-11-30,85.19,85.19,85.19,85.19,
2006-12-31,85.19,85.19,85.19,85.19,
2007-01-31,85.19,85.19,85.19,85.19,
2007-02-28,85.19,85.19,85.19,85.19,
2007-03-31,85.19,85.19,85.19,85.19,
2007-04-30,85.19,85.19,85.19,85.19,
2007-05-31,85.19,85.19,85.19,85.19,
2007-06-30,85.19,85.19,84.57,84.57,
2007-07-31,84.57,84.57,84.57,84.57,
2007-08-31,84.57,84.57,84.57,84.57,
2007-09-30,84.57,84.57,84.57,84.57,
2007-10-31,84.57,84.57,84.57,84.57,
2007-11-30,84.57,84.57,84.57,84.57,
2007-12-31,84.57,84.57,84.57,84.57,
2008-01-31,84.57,84.57,84.57,84.57,
2008-02-29,84.57,84.57,84.57,84.57,
2008-03-31,84.57,84.57,84.57,84.57,
2008-04-30,84.57,84.57,84.57,84.57,
2008-05-31,67.04,67.04,57.41,57.41,
2008-06-30,53.15,53.15,53.15,53.15,
2008-07-31,53.15,53.15,53.15,53.15,
2008-08-31,53.15,53.15,50.62,50.62,
2008-09-30,50.62,50.62,50.62,50.62,
2008-10-31,50.62,67.9,50.62,67.9,
2008-11-30,67.9,74.07,67.9,74.07,
2008-12-31,74.07,74.07,61.73,61.73,
