Date,Open,High,Low,Close,Volume
1999-06-30,100.0,100.0,100.0,100.0,
1999-09-30,100.0,100.0,100.0,100.0,
1999-12-31,100.0,100.0,100.0,100.0,
2000-03-31,100.0,100.0,100.0,100.0,
2000-06-30,100.0,100.0,100.0,100.0,
2000-09-30,100.0,100.0,92.59,92.59,
2000-12-31,92.59,92.59,92.59,92.59,
2001-03-31,92.59,92.59,86.42,86.42,
2001-06-30,86.42,86.42,85.8,85.8,
2001-09-30,85.8,85.8,85.8,85.8,
2001-12-31,85.8,85.8,85.8,85.8,
2002-03-31,85.8,85.8,85.8,85.8,
2002-06-30,85.8,85.8,85.8,85.8,
2002-09-30,85.8,85.8,85.5,85.8,
2002-12-31,85.8,85.8,85.5,85.8,
2003-03-31,85.8,85.8,85.8,85.8,
2003-06-30,85.8,85.8,85.8,85.8,
2003-09-30,85.8,85.8,85.8,85.8,
2003-12-31,85.8,85.8,85.8,85.8,
2004-03-31,85.8,85.8,85.19,85.19,
2004-06-30,85.19,85.19,85.19,85.19,
2004-09-30,85.19,85.19,85.19,85.19,
2004-12-31,85.19,85.19,85.19,85.19,
2005-03-31,85.19,85.19,85.19,85.19,
2005-06-30,85.19,85.19,85.19,85.19,
2005-09-30,85.19,85.19,85.19,85.19,
2005-12-31,85.19,85.19,85.19,85.19,
2006-03-31,85.19,85.19,85.19,85.19,
2006-06-30,85.19,85.19,85.19,85.19,
2006-09-30,85.19,85.19,85.19,85.19,
2006-12-31,85.19,85.19,85.19,85.19,
2007-03-31,85.19,85.19,85.19,85.19,
2007-06-30,85.19,85.19,84.57,84.57,
2007-09-30,84.57,84.57,84.57,84.57,
2007-12-31,84.57,84.57,84.57,84.57,
2008-03-31,84.57,84.57,84.57,84.57,
2008-06-30,84.57,84.57,53.15,53.15,
2008-09-30,53.15,53.15,50.62,50.62,
2008-12-31,50.62,74.07,50.62,61.73,
2009-03-31,61.73,61.73,61.73,61.73,
2009-06-30,61.73,61.73,61.73,61.73,
2009-09-30,61.73,61.79,61.73,61.73,
2009-12-31,61.73,61.73,61.73,61.73,
2010-03-31,61.73,61.73,57.1,57.1,
2010-06-30,57.1,57.1,57.1,57.1,
2010-09-30,57.1,57.1,57.1,57.1,
2010-12-31,57.1,57.1,57.1,57.1,
2011-03-31,57.1,57.1,57.1,57.1,
2011-06-30,57.1,57.1,45.25,45.25,
2011-09-30,45.25,45.25,35.93,43.21,
2011-12-31,43.21,61.73,43.21,59.26,
2012-03-31,59.26,59.26,54.2,54.2,
2012-06-30,54.2,54.2,54.2,54.2,
2012-09-30,54.2,72.84,54.2,72.84,
2012-12-31,72.84,104.44,72.84,103.7,
2013-03-31,103.7,103.7,96.3,96.3,
2013-06-30,96.3,172.65,95.8,172.65,
2013-09-30,185.56,185.56,148.15,148.15,
2013-12-31,148.15,197.53,148.15,197.53,
2014-03-31,197.53,426.54,197.53,331.17,
2014-06-30,306.36,329.32,258.49,264.2,
2014-09-30,264.2,271.6,244.38,246.91,
2014-12-31,246.91,419.75,244.38,419.75,
2015-03-31,419.75,470.8,370.37,469.14,
2015-06-30,469.14,599.2,469.14,518.52,
2015-09-30,518.52,597.22,518.52,597.22,
2015-12-31,597.22,650.68,555.56,650.68,
2016-03-31,650.68,650.68,567.9,567.9,
2016-06-30,555.56,716.05,555.56,555.56,
2016-09-30,592.59,592.59,481.42,481.42,
2016-12-31,481.42,481.42,432.1,432.1,
2017-03-31,407.41,432.1,327.16,332.1,
2017-06-30,332.1,332.1,246.91,246.91,
2017-09-30,246.85,246.91,205.56,220.93,
2017-12-31,220.93,234.44,209.88,222.1,
2018-03-31,222.1,604.6,209.76,487.38,
2018-06-30,462.71,481.21,252.95,277.62,
2018-09-30,277.62,419.52,277.62,345.49,
2018-12-31,345.49,345.49,209.76,209.76,
2019-03-31,209.76,209.76,185.08,209.76,
2019-06-30,203.59,228.27,203.59,209.76,
2019-09-30,209.76,228.27,209.76,215.93,
2019-12-31,228.27,302.3,222.1,302.3,
2020-03-31,320.81,357.83,289.96,289.96,
2020-06-30,289.96,308.47,271.45,289.96,
2020-09-30,296.13,320.81,215.93,320.81,
2020-12-31,320.81,370.16,320.81,345.49,
2021-03-31,345.49,394.84,326.98,333.15,
2021-06-30,357.83,950.09,345.49,839.04,
2021-09-30,795.85,888.4,758.84,814.36,
2021-12-31,820.53,950.09,802.02,900.73,
2022-03-31,888.4,2584.98,863.72,1702.76,
2022-06-30,1727.43,2233.33,1665.74,1721.27,
2022-09-30,1844.65,1955.7,1394.29,1715.1,
2022-12-31,1752.11,1752.11,1116.66,1172.19,
2023-03-31,1110.49,1468.32,1110.49,1295.58,
2023-06-30,1295.58,1449.81,1048.8,1240.05,
2023-09-30,1240.05,1418.96,1233.88,1412.79,
2023-12-31,1412.79,1418.96,857.55,1110.49,
2024-03-31,1110.49,1110.49,925.41,987.11,
2024-06-30,987.11,993.28,857.55,857.55,
2024-09-30,857.55,950.09,802.02,863.72,
2024-12-31,863.72,863.72,641.62,670.1,
2025-03-31,661.09,696.88,658.25,689.12,
2025-06-30,672.78,675.4,651.66,665.45,
2025-09-30,661.58,666.75,571.79,571.79,
2025-12-31,566.83,716.02,559.66,669.2,
