Date,Open,High,Low,Close,Volume
1999-06-21,100.0,100.0,100.0,100.0,
1999-06-28,100.0,100.0,100.0,100.0,
1999-07-05,100.0,100.0,100.0,100.0,
1999-07-12,100.0,100.0,100.0,100.0,
1999-07-19,100.0,100.0,100.0,100.0,
1999-07-26,100.0,100.0,100.0,100.0,
1999-08-02,100.0,100.0,100.0,100.0,
1999-08-09,100.0,100.0,100.0,100.0,
1999-08-16,100.0,100.0,100.0,100.0,
1999-08-23,100.0,100.0,100.0,100.0,
1999-08-30,100.0,100.0,100.0,100.0,
1999-09-06,100.0,100.0,100.0,100.0,
1999-09-13,100.0,100.0,100.0,100.0,
1999-09-20,100.0,100.0,100.0,100.0,
1999-09-27,100.0,100.0,100.0,100.0,
1999-10-04,100.0,100.0,100.0,100.0,
1999-10-11,100.0,100.0,100.0,100.0,
1999-10-18,100.0,100.0,100.0,100.0,
1999-10-25,100.0,100.0,100.0,100.0,
1999-11-01,100.0,100.0,100.0,100.0,
1999-11-08,100.0,100.0,100.0,100.0,
1999-11-15,100.0,100.0,100.0,100.0,
1999-11-22,100.0,100.0,100.0,100.0,
1999-11-29,100.0,100.0,100.0,100.0,
1999-12-06,100.0,100.0,100.0,100.0,
1999-12-13,100.0,100.0,100.0,100.0,
1999-12-20,100.0,100.0,100.0,100.0,
1999-12-27,100.0,100.0,100.0,100.0,
2000-01-03,100.0,100.0,100.0,100.0,
2000-01-10,100.0,100.0,100.0,100.0,
2000-01-17,100.0,100.0,100.0,100.0,
2000-01-24,100.0,100.0,100.0,100.0,
2000-01-31,100.0,100.0,100.0,100.0,
2000-02-07,100.0,100.0,100.0,100.0,
2000-02-14,100.0,100.0,100.0,100.0,
2000-02-21,100.0,100.0,100.0,100.0,
2000-02-28,100.0,100.0,100.0,100.0,
2000-03-06,100.0,100.0,100.0,100.0,
2000-03-13,100.0,100.0,100.0,100.0,
2000-03-20,100.0,100.0,100.0,100.0,
2000-03-27,100.0,100.0,100.0,100.0,
2000-04-03,100.0,100.0,100.0,100.0,
2000-04-10,100.0,100.0,100.0,100.0,
2000-04-17,100.0,100.0,100.0,100.0,
2000-04-24,100.0,100.0,100.0,100.0,
2000-05-01,100.0,100.0,100.0,100.0,
2000-05-08,100.0,100.0,100.0,100.0,
2000-05-15,100.0,100.0,100.0,100.0,
2000-05-22,100.0,100.0,100.0,100.0,
2000-05-29,100.0,100.0,100.0,100.0,
2000-06-05,100.0,100.0,100.0,100.0,
2000-06-12,100.0,100.0,100.0,100.0,
2000-06-19,100.0,100.0,100.0,100.0,
2000-06-26,100.0,100.0,100.0,100.0,
2000-07-03,100.0,100.0,100.0,100.0,
2000-07-10,100.0,100.0,100.0,100.0,
2000-07-17,100.0,100.0,100.0,100.0,
2000-07-24,100.0,100.0,100.0,100.0,
2000-07-31,92.59,92.59,92.59,92.59,
2000-08-07,92.59,92.59,92.59,92.59,
2000-08-14,92.59,92.59,92.59,92.59,
2000-08-21,92.59,92.59,92.59,92.59,
2000-08-28,92.59,92.59,92.59,92.59,
2000-09-04,92.59,92.59,92.59,92.59,
2000-09-11,92.59,92.59,92.59,92.59,
2000-09-18,92.59,92.59,92.59,92.59,
2000-09-25,92.59,92.59,92.59,92.59,
2000-10-02,92.59,92.59,92.59,92.59,
2000-10-09,92.59,92.59,92.59,92.59,
2000-10-16,92.59,92.59,92.59,92.59,
2000-10-23,92.59,92.59,92.59,92.59,
2000-10-30,92.59,92.59,92.59,92.59,
2000-11-06,92.59,92.59,92.59,92.59,
2000-11-13,92.59,92.59,92.59,92.59,
2000-11-20,92.59,92.59,92.59,92.59,
2000-11-27,92.59,92.59,92.59,92.59,
2000-12-04,92.59,92.59,92.59,92.59,
2000-12-11,92.59,92.59,92.59,92.59,
2000-12-18,92.59,92.59,92.59,92.59,
2000-12-25,92.59,92.59,92.59,92.59,
2001-01-01,92.59,92.59,92.59,92.59,
2001-01-08,92.59,92.59,92.59,92.59,
2001-01-15,92.59,92.59,92.59,92.59,
2001-01-22,92.59,92.59,92.53,92.53,
2001-01-29,91.36,91.36,91.36,91.36,
2001-02-05,91.36,91.36,91.36,91.36,
2001-02-12,91.36,91.36,91.36,91.36,
2001-02-19,91.36,91.36,91.36,91.36,
2001-02-26,91.36,91.36,91.36,91.36,
2001-03-05,91.36,91.36,91.36,91.36,
2001-03-12,91.36,91.36,91.36,91.36,
2001-03-19,91.36,91.36,90.68,90.68,
2001-03-26,90.68,90.68,86.42,86.42,
2001-04-02,86.42,86.42,86.42,86.42,
2001-04-09,86.42,86.42,85.8,85.8,
2001-04-16,85.8,85.8,85.8,85.8,
2001-04-23,85.8,85.8,85.8,85.8,
