Date,Open,High,Low,Close,Volume
1999-12-31,100.0,100.0,100.0,100.0,
2000-12-31,100.0,100.0,92.59,92.59,
2001-12-31,92.59,92.59,85.8,85.8,
2002-12-31,85.8,85.8,85.5,85.8,
2003-12-31,85.8,85.8,85.8,85.8,
2004-12-31,85.8,85.8,85.19,85.19,
2005-12-31,85.19,85.19,85.19,85.19,
2006-12-31,85.19,85.19,85.19,85.19,
2007-12-31,85.19,85.19,84.57,84.57,
2008-12-31,84.57,84.57,50.62,61.73,
2009-12-31,61.73,61.79,61.73,61.73,
2010-12-31,61.73,61.73,57.1,57.1,
2011-12-31,57.1,61.73,35.93,59.26,
2012-12-31,59.26,104.44,54.2,103.7,
2013-12-31,103.7,197.53,95.8,197.53,
2014-12-31,197.53,426.54,197.53,419.75,
2015-12-31,419.75,650.68,370.37,650.68,
2016-12-31,650.68,716.05,432.1,432.1,
2017-12-31,407.41,432.1,205.56,222.1,
2018-12-31,222.1,604.6,209.76,209.76,
2019-12-31,209.76,302.3,185.08,302.3,
2020-12-31,320.81,370.16,215.93,345.49,
2021-12-31,345.49,950.09,326.98,900.73,
2022-12-31,888.4,2584.98,863.72,1172.19,
2023-12-31,1110.49,1468.32,857.55,1110.49,
2024-12-31,1110.49,1110.49,641.62,670.1,
2025-12-31,661.09,716.02,559.66,669.2,
