Date,Open,High,Low,Close,Volume
1998-09-16,100.56,100.56,100.56,100.56,
1998-09-18,103.85,103.85,103.85,103.85,
1998-09-21,106.19,106.19,106.19,106.19,
1998-09-23,107.42,107.42,107.42,107.42,
1998-09-25,107.75,107.75,107.75,107.75,
1998-09-28,107.15,107.15,107.15,107.15,
1998-09-30,107.35,107.35,107.35,107.35,
1998-10-02,108.91,108.91,108.91,108.91,
1998-10-05,110.09,110.09,110.09,110.09,
1998-10-07,110.95,110.95,110.95,110.95,
1998-10-09,109.85,109.85,109.85,109.85,
1998-10-12,111.05,111.05,111.05,111.05,
1998-10-14,111.77,111.77,111.77,111.77,
1998-10-16,110.35,110.35,110.35,110.35,
1998-10-19,112.73,112.73,112.73,112.73,
1998-10-21,111.62,111.62,111.62,111.62,
1998-10-23,111.14,111.14,111.14,111.14,
1998-10-26,111.01,111.01,111.01,111.01,
1998-10-28,111.0,111.0,111.0,111.0,
1998-10-30,108.5,108.5,108.5,108.5,
1998-11-02,104.9,104.9,104.9,104.9,
1998-11-04,103.74,103.74,103.74,103.74,
1998-11-06,101.74,101.74,101.74,101.74,
1998-11-09,99.35,99.35,99.35,99.35,
1998-11-11,98.31,98.31,98.31,98.31,
1998-11-13,94.44,94.44,94.44,94.44,
1998-11-16,96.14,96.14,96.14,96.14,
1998-11-18,95.4,95.4,95.4,95.4,
1998-11-20,95.81,95.81,95.81,95.81,
1998-11-23,96.85,96.85,96.85,96.85,
1998-11-25,97.06,97.06,97.06,97.06,
1998-11-27,97.26,97.26,97.26,97.26,
1998-11-30,97.8,97.8,97.8,97.8,
1998-12-02,97.81,97.81,97.81,97.81,
1998-12-04,97.46,97.46,97.46,97.46,
1998-12-09,98.3,98.3,98.3,98.3,
1998-12-11,97.56,97.56,97.56,97.56,
1998-12-14,97.73,97.73,97.73,97.73,
1998-12-16,97.66,97.66,97.66,97.66,
1998-12-18,97.47,97.47,97.47,97.47,
1998-12-21,97.66,97.66,97.66,97.66,
1998-12-23,97.18,97.18,97.18,97.18,
1998-12-28,97.77,97.77,97.77,97.77,
1998-12-30,98.05,98.05,98.05,98.05,
1999-01-04,98.04,98.04,98.04,98.04,
1999-01-06,97.87,97.87,97.87,97.87,
1999-01-08,97.91,97.91,97.91,97.91,
1999-01-11,97.36,97.36,97.36,97.36,
1999-01-13,97.38,97.38,97.38,97.38,
1999-01-18,96.84,96.84,96.84,96.84,
1999-01-20,96.68,96.68,96.68,96.68,
1999-01-22,96.92,96.92,96.92,96.92,
1999-01-25,96.73,96.73,96.73,96.73,
1999-01-27,96.54,96.54,96.54,96.54,
1999-01-29,96.75,96.75,96.75,96.75,
1999-02-01,96.61,96.61,96.61,96.61,
1999-02-03,95.33,95.33,95.33,95.33,
1999-02-05,95.04,95.04,95.04,95.04,
1999-02-08,94.77,94.77,94.77,94.77,
1999-02-10,94.84,94.84,94.84,94.84,
1999-02-12,94.44,94.44,94.44,94.44,
1999-02-15,94.26,94.26,94.26,94.26,
1999-02-17,93.93,93.93,93.93,93.93,
1999-02-19,92.88,92.88,92.88,92.88,
1999-02-22,92.83,92.83,92.83,92.83,
1999-02-24,93.46,93.46,93.46,93.46,
1999-02-26,93.53,93.53,93.53,93.53,
1999-03-01,93.93,93.93,93.93,93.93,
1999-03-03,94.0,94.0,94.0,94.0,
1999-03-05,93.77,93.77,93.77,93.77,
1999-03-12,94.49,94.49,94.49,94.49,
1999-03-15,94.41,94.41,94.41,94.41,
1999-03-17,94.44,94.44,94.44,94.44,
1999-03-19,94.34,94.34,94.34,94.34,
1999-03-22,94.24,94.24,94.24,94.24,
1999-03-24,94.44,94.44,94.44,94.44,
1999-03-26,95.65,95.65,95.65,95.65,
1999-04-07,95.23,95.23,95.23,95.23,
1999-04-09,97.44,97.44,97.44,97.44,
1999-04-12,99.4,99.4,99.4,99.4,
1999-04-14,98.93,98.93,98.93,98.93,
1999-04-16,98.78,98.78,98.78,98.78,
1999-04-19,100.9,100.9,100.9,100.9,
1999-04-21,98.2,98.2,98.2,98.2,
1999-04-23,97.14,97.14,97.14,97.14,
1999-04-26,96.56,96.56,96.56,96.56,
1999-04-28,95.71,95.71,95.71,95.71,
1999-04-30,95.08,95.08,95.08,95.08,
1999-05-03,92.77,92.77,92.77,92.77,
1999-05-05,94.54,94.54,94.54,94.54,
1999-05-07,95.5,95.5,95.5,95.5,
1999-05-10,95.66,95.66,95.66,95.66,
1999-05-12,96.13,96.13,96.13,96.13,
1999-05-14,96.61,96.61,96.61,96.61,
1999-05-17,96.28,96.28,96.28,96.28,
1999-05-19,96.52,96.52,96.52,96.52,
1999-05-21,96.21,96.21,96.21,96.21,
1999-05-26,95.93,95.93,95.93,95.93,
1999-05-28,96.22,96.22,96.22,96.22,
1999-05-31,96.02,96.02,96.02,96.02,
1999-06-02,96.06,96.06,96.06,96.06,
1999-06-04,96.28,96.28,96.28,96.28,
1999-06-07,96.4,96.4,96.4,96.4,
1999-06-09,96.62,96.62,96.62,96.62,
1999-06-11,96.49,96.49,96.49,96.49,
1999-06-14,97.4,97.4,97.4,97.4,
1999-06-16,97.86,97.86,97.86,97.86,
1999-06-18,98.2,98.2,98.2,98.2,
1999-06-21,98.58,98.58,98.58,98.58,
1999-06-23,98.09,98.09,98.09,98.09,
1999-06-25,98.1,98.1,98.1,98.1,
1999-06-28,98.05,98.05,98.05,98.05,
1999-06-30,97.78,97.78,97.78,97.78,
1999-07-02,96.46,96.46,96.46,96.46,
1999-07-05,95.7,95.7,95.7,95.7,
1999-07-07,93.8,93.8,93.8,93.8,
1999-07-09,92.7,92.7,92.7,92.7,
1999-07-12,93.36,93.36,93.36,93.36,
1999-07-14,91.59,91.59,91.59,91.59,
1999-07-16,90.05,90.05,90.05,90.05,
1999-07-19,90.08,90.08,90.08,90.08,
1999-07-21,89.44,89.44,89.44,89.44,
1999-07-23,89.94,89.94,89.94,89.94,
1999-07-26,90.24,90.24,90.24,90.24,
1999-07-28,89.97,89.97,89.97,89.97,
1999-07-30,89.53,89.53,89.53,89.53,
1999-08-02,89.81,89.81,89.81,89.81,
1999-08-04,90.3,90.3,90.3,90.3,
1999-08-06,90.08,90.08,90.08,90.08,
1999-08-09,89.9,89.9,89.9,89.9,
1999-08-11,89.14,89.14,89.14,89.14,
1999-08-13,89.02,89.02,89.02,89.02,
1999-08-16,88.97,88.97,88.97,88.97,
1999-08-18,88.63,88.63,88.63,88.63,
1999-08-20,88.33,88.33,88.33,88.33,
1999-08-23,88.29,88.29,88.29,88.29,
1999-08-25,87.83,87.83,87.83,87.83,
1999-08-27,87.32,87.32,87.32,87.32,
1999-08-30,87.35,87.35,87.35,87.35,
1999-09-01,87.44,87.44,87.44,87.44,
1999-09-03,87.79,87.79,87.79,87.79,
1999-09-06,87.85,87.85,87.85,87.85,
1999-09-08,87.7,87.7,87.7,87.7,
1999-09-10,87.55,87.55,87.55,87.55,
1999-09-13,87.4,87.4,87.4,87.4,
1999-09-15,87.06,87.06,87.06,87.06,
1999-09-17,87.06,87.06,87.06,87.06,
1999-09-20,86.99,86.99,86.99,86.99,
1999-09-22,87.26,87.26,87.26,87.26,
1999-09-24,87.18,87.18,87.18,87.18,
1999-09-27,87.14,87.14,87.14,87.14,
1999-09-29,87.13,87.13,87.13,87.13,
1999-10-01,87.03,87.03,87.03,87.03,
1999-10-04,86.02,86.02,86.02,86.02,
1999-10-06,87.5,87.5,87.5,87.5,
1999-10-08,87.15,87.15,87.15,87.15,
1999-10-11,87.32,87.32,87.32,87.32,
1999-10-13,87.96,87.96,87.96,87.96,
1999-10-15,87.9,87.9,87.9,87.9,
1999-10-18,88.03,88.03,88.03,88.03,
1999-10-20,88.08,88.08,88.08,88.08,
