Date,Open,High,Low,Close,Volume
1998-09-30,100.56,107.75,100.56,107.35,0
1998-10-31,108.91,112.73,108.5,108.5,0
1998-11-30,104.9,104.9,94.44,97.8,0
1998-12-31,97.81,98.3,97.18,98.05,0
1999-01-31,98.04,98.04,96.54,96.75,0
1999-02-28,96.61,96.61,92.83,93.53,0
1999-03-31,93.93,95.65,93.77,95.65,0
1999-04-30,95.23,100.9,95.08,95.08,0
1999-05-31,92.77,96.61,92.77,96.02,0
1999-06-30,96.06,98.58,96.06,97.78,0
1999-07-31,96.46,96.46,89.44,89.53,0
1999-08-31,89.81,90.3,87.32,87.35,0
1999-09-30,87.44,87.85,86.99,87.13,0
1999-10-31,87.03,88.25,86.02,87.68,0
1999-11-30,87.36,87.86,86.87,87.7,0
1999-12-31,87.64,91.34,87.23,91.34,0
2000-01-31,91.28,91.28,86.25,86.25,0
2000-02-29,85.61,85.66,84.83,84.83,0
2000-03-31,84.88,84.99,83.16,83.21,0
2000-04-30,83.55,83.55,82.74,82.74,0
2000-05-31,82.75,83.27,82.19,82.19,0
2000-06-30,82.66,82.72,82.15,82.16,0
2000-07-31,81.95,81.95,79.4,80.0,0
2000-08-31,78.97,78.97,74.93,75.4,0
2000-09-30,75.34,75.37,72.99,73.3,0
2000-10-31,73.38,74.66,72.7,73.68,0
2000-11-30,73.66,73.92,72.98,73.92,0
2000-12-31,73.51,74.99,73.36,74.76,0
2001-01-31,74.88,74.88,73.01,73.01,0
2001-02-28,73.04,73.04,71.64,71.66,0
2001-03-31,71.65,71.95,71.29,71.69,0
2001-04-30,71.95,71.95,71.23,71.38,0
2001-05-31,71.4,77.88,71.28,77.88,0
2001-06-30,77.8,78.51,73.8,74.72,0
2001-07-31,75.16,75.16,69.63,69.63,0
2001-08-31,69.34,69.49,68.52,69.4,0
2001-09-30,70.46,70.46,68.34,68.65,0
2001-10-31,68.41,68.43,67.73,68.03,0
2001-11-30,68.03,68.11,67.46,67.46,0
2001-12-31,67.46,77.46,67.31,77.46,0
2002-01-31,77.39,77.39,73.14,73.23,0
2002-02-28,73.59,74.04,71.57,71.57,0
2002-03-31,71.57,71.57,69.71,70.11,0
2002-04-30,70.34,70.91,69.73,70.09,0
2002-05-31,70.03,72.09,69.58,71.66,0
2002-06-30,71.37,71.48,69.48,70.5,0
2002-07-31,70.44,70.87,67.23,68.2,0
2002-08-31,67.67,67.93,66.5,66.5,0
2002-09-30,66.51,67.2,66.51,67.2,0
2002-10-31,67.18,67.18,66.28,66.34,0
2002-11-30,66.32,68.64,66.32,68.64,0
2002-12-31,68.71,75.15,68.55,74.34,0
2003-01-31,74.33,74.36,72.83,73.36,0
2003-02-28,73.46,73.46,72.36,73.24,0
2003-03-31,73.24,73.24,67.33,67.33,0
2003-04-30,67.67,69.05,67.67,68.72,0
2003-05-31,69.35,69.6,68.82,68.86,0
2003-06-30,68.91,69.21,67.75,67.75,0
2003-07-31,68.0,68.0,64.93,66.12,0
2003-08-31,65.85,65.86,65.17,65.19,0
2003-09-30,65.11,67.4,64.97,67.4,0
2003-10-31,66.91,67.94,66.69,67.94,0
2003-11-30,68.05,68.05,67.29,68.0,0
2003-12-31,68.01,76.53,67.79,76.53,0
2004-01-31,76.97,76.97,73.42,73.49,0
2004-02-29,73.48,75.11,73.48,75.11,0
2004-03-31,74.98,76.99,74.98,76.76,0
2004-04-30,76.84,79.53,76.83,78.55,0
2004-05-31,78.65,79.0,78.65,78.87,0
2004-06-30,79.22,83.06,78.62,83.06,0
2004-07-31,82.96,82.96,78.71,78.8,0
2004-08-31,78.8,79.12,78.65,78.96,0
2004-09-30,78.96,79.23,76.64,77.06,0
2004-10-31,77.28,79.73,76.63,79.73,0
2004-11-30,77.76,80.81,77.76,80.81,0
