Date,Open,High,Low,Close,Volume
1998-09-30,100.56,107.75,100.56,107.35,0
1998-12-31,108.91,112.73,94.44,98.05,0
1999-03-31,98.04,98.04,92.83,95.65,0
1999-06-30,95.23,100.9,92.77,97.78,0
1999-09-30,96.46,96.46,86.99,87.13,0
1999-12-31,87.03,91.34,86.02,91.34,0
2000-03-31,91.28,91.28,83.16,83.21,0
2000-06-30,83.55,83.55,82.15,82.16,0
2000-09-30,81.95,81.95,72.99,73.3,0
2000-12-31,73.38,74.99,72.7,74.76,0
2001-03-31,74.88,74.88,71.29,71.69,0
2001-06-30,71.95,78.51,71.23,74.72,0
2001-09-30,75.16,75.16,68.34,68.65,0
2001-12-31,68.41,77.46,67.31,77.46,0
2002-03-31,77.39,77.39,69.71,70.11,0
2002-06-30,70.34,72.09,69.48,70.5,0
2002-09-30,70.44,70.87,66.5,67.2,0
2002-12-31,67.18,75.15,66.28,74.34,0
2003-03-31,74.33,74.36,67.33,67.33,0
2003-06-30,67.67,69.6,67.67,67.75,0
2003-09-30,68.0,68.0,64.93,67.4,0
2003-12-31,66.91,76.53,66.69,76.53,0
2004-03-31,76.97,76.99,73.42,76.76,0
2004-06-30,76.84,83.06,76.83,83.06,0
2004-09-30,82.96,82.96,76.64,77.06,0
2004-12-31,77.28,87.61,76.63,87.61,0
2005-03-31,87.61,87.61,83.68,87.16,0
2005-06-30,87.09,103.0,86.54,100.73,0
2005-09-30,96.5,96.53,93.62,95.62,0
2005-12-31,95.64,112.68,95.33,112.68,0
2006-03-31,112.68,135.89,112.68,135.89,0
2006-06-30,136.02,138.04,131.01,132.85,0
2006-09-30,132.8,178.01,125.08,147.83,0
2006-12-31,147.81,147.81,112.65,112.65,0
2007-03-31,112.7,136.79,110.89,134.47,0
2007-06-30,134.12,166.41,133.18,166.41,0
2007-09-30,165.63,197.02,160.9,190.47,0
2007-12-31,190.5,200.67,188.85,199.45,0
2008-03-31,199.22,231.82,199.22,231.61,0
2008-06-30,229.79,242.68,221.08,236.8,0
2008-09-30,233.64,246.73,219.87,219.87,0
2008-12-31,219.07,219.71,173.79,178.17,0
2009-03-31,175.65,176.27,149.08,149.08,0
2009-06-30,149.0,149.0,125.85,144.01,0
2009-09-30,144.56,144.56,133.2,135.29,0
2009-12-31,134.79,136.28,129.87,132.05,0
2010-03-31,134.38,143.11,129.93,143.11,0
2010-06-30,142.98,159.89,142.76,142.76,0
2010-09-30,142.68,147.67,139.06,147.67,0
2010-12-31,147.75,159.64,147.75,159.1,0
2011-03-31,159.32,174.89,157.47,161.29,0
2011-06-30,161.29,161.29,147.14,150.56,0
2011-09-30,150.69,151.35,138.59,140.73,0
2011-12-31,140.8,146.99,134.37,138.88,0
2012-03-31,139.76,152.7,139.37,152.56,0
2012-06-30,155.35,156.18,143.93,148.18,0
2012-09-30,148.13,148.27,141.4,148.27,0
2012-12-31,144.81,166.58,144.81,166.58,0
2013-03-31,164.98,196.95,164.98,191.34,0
2013-06-30,192.11,222.63,188.48,210.9,0
2013-09-30,207.52,211.9,200.23,204.37,0
2013-12-31,204.35,232.02,204.35,232.02,0
2014-03-31,230.89,248.56,230.29,240.39,0
2014-06-30,241.65,245.12,219.81,238.6,0
